instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c4,2,0,1,0,1.0,80,100,40,60,20,100,20,0,3.367346840268412,0
scenario2,c4,1,2,2,0,0.8,40,0,0,20,100,60,40,0,2.884463333080149,0
scenario3,c4,2,0,1,2,0.2,100,20,60,100,40,0,60,0,1.1794790931662995,0
scenario4,c4,1,0,2,0,0.1,60,60,80,0,80,80,0,0,3.417057238903232,0
scenario5,c4,2,0,1,0,0.4,20,40,20,40,60,20,80,0,22.12706523781103,0
scenario6,c4,1,2,2,0,0.6,0,80,100,80,0,40,100,1,0.0,1
scenario7,c2,0,1,2,1,1.0,80,100,40,60,20,100,20,0,3.3541052123209925,0
scenario8,c2,2,1,0,1,0.8,40,0,0,20,100,60,20,0,2.819290284404314,0
scenario9,c2,2,0,0,1,0.2,100,20,60,100,40,0,20,0,2.226135760431484,0
scenario10,c2,0,1,2,0,0.8,80,0,0,20,100,100,40,0,2.0755626047918647,0
scenario11,c2,0,1,2,1,0.2,40,60,40,0,80,100,20,0,2.918895422363036,0
scenario12,c2,2,1,0,1,0.2,80,100,0,20,60,60,20,0,2.1822566531717467,0
scenario13,c2,2,0,0,1,0.8,80,100,40,20,40,0,60,0,2.264305908510906,0
scenario14,c2,0,1,2,0,1.0,100,20,0,20,40,100,60,1,0.0,1
scenario15,c2,0,1,2,1,1.0,40,100,80,40,0,60,20,0,3.055954918829663,0
scenario16,c2,2,1,0,1,0.8,60,40,40,60,20,60,20,0,3.15094973226073,0
scenario17,c2,2,0,0,1,1.0,80,20,0,100,80,0,0,1,0.0,1
scenario18,c2,0,1,2,0,0.2,40,40,0,60,20,100,0,0,2.0728964470490987,0
scenario19,c2,0,1,2,1,0.1,80,60,60,20,20,80,20,0,2.88723522941132,0
scenario20,c2,2,1,0,1,1.0,40,100,40,100,60,100,40,1,0.0,1
scenario21,c2,2,0,0,1,0.4,40,80,20,60,20,0,20,0,2.001402623878757,0
scenario22,c1,0,2,1,2,1.0,20,0,40,80,20,20,20,0,2.352208226869354,0
scenario23,c2,0,1,2,0,0.2,100,100,40,60,20,60,40,0,2.226100977366664,0
scenario24,c1,1,2,0,1,0.1,80,40,60,0,0,100,80,0,6.103930719741827,0
scenario25,c2,0,1,2,1,0.2,0,0,100,60,100,40,20,0,4.738376447099341,0
scenario26,c2,2,1,0,1,1.0,80,80,80,40,100,0,40,0,2.78419576624848,0
scenario27,c2,2,0,0,1,0.8,100,100,80,40,100,100,0,0,2.356524853767718,0
scenario28,c2,0,1,2,0,0.2,60,100,60,60,80,100,60,0,1.6403697243073092,0
scenario29,c2,0,1,2,1,1.0,40,60,0,0,20,60,60,0,3.4181544289005013,0
scenario30,c2,2,1,0,1,0.1,100,0,40,20,100,0,0,0,3.2134511522514018,0
scenario31,c2,2,0,0,1,0.6,20,80,20,60,40,100,20,0,2.220070402975944,0
scenario32,c2,0,1,2,0,0.8,40,20,40,100,40,60,0,0,1.803721036651404,0
scenario33,c2,0,1,2,1,0.8,80,20,20,60,80,20,40,0,2.728085236929471,0
scenario34,c2,2,1,0,1,0.8,0,100,60,0,60,100,40,0,3.0079975228509985,0
scenario35,c1,0,1,1,2,0.8,80,60,100,20,80,40,40,0,3.6952584442291534,0
scenario36,c2,2,0,0,1,1.0,60,60,60,60,60,0,40,0,2.246064877369222,0
scenario37,c2,0,1,2,0,1.0,80,40,60,80,80,60,100,0,1.927312399623204,0
scenario38,c2,0,1,2,1,1.0,40,20,60,100,20,80,60,0,3.1174841425121507,0
scenario39,c1,1,2,0,2,0.1,60,100,0,80,40,100,40,0,3.807416205640228,0
scenario40,c2,2,1,0,1,0.8,20,0,40,40,0,80,60,0,3.425977998898324,0
scenario41,c2,2,0,0,1,0.2,60,100,0,20,0,80,40,0,2.561598810275244,0
