instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario52,-30,20,40,0,0,0,0.8,0,100,0,40,100,c1,0.00741,1,2,0,2,0,3.3462298729501443,0
scenario53,-60,20,20,0,0,0,0.8,0,100,0,40,100,c2,0.00787,0,1,2,1,0,2.1891329692075074,0
scenario54,60,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.00684,1,2,2,0,0,3.944046629215628,0
scenario55,-90,40,40,0,0,0,0.8,0,100,0,60,0,c1,0.00563,1,2,0,1,0,3.6651275924055793,0
scenario56,-90,40,80,0,0,0,0.8,0,100,0,60,0,c2,0.00568,0,1,2,0,0,1.71793443389228,0
scenario57,0,20,20,0,0,0,0.8,0,100,0,60,0,c4,0.00526,1,0,2,0,0,2.1461229981862893,0
scenario58,60,40,40,0,0,0,0.8,0,100,0,60,20,c1,0.00295,0,1,1,2,0,3.1379934034899617,0
scenario59,-30,40,20,0,0,0,0.8,0,100,0,60,20,c2,0.00231,2,0,0,1,0,2.631125822437157,0
scenario60,-90,20,60,0,0,0,0.8,0,100,0,60,20,c4,0.01474,2,0,1,2,0,0.9320642392575248,0
scenario61,-90,20,100,0,0,0,0.8,0,100,0,60,40,c1,0.0129,0,2,1,2,0,2.915622647686713,0
scenario62,30,20,40,0,0,0,0.8,0,100,0,60,40,c2,0.00825,2,1,0,1,0,2.715105937257306,0
scenario63,0,20,60,0,0,0,0.8,0,100,0,60,40,c4,0.00787,2,0,1,0,0,4.697611666535837,0
scenario64,0,20,80,0,0,0,0.8,0,100,0,60,60,c1,0.00833,1,2,0,2,0,3.224675223964943,0
scenario65,90,20,40,0,0,0,0.8,0,100,0,60,60,c2,0.00691,0,1,2,1,0,3.026268410803389,0
scenario66,-30,20,100,0,0,0,0.8,0,100,0,60,60,c4,0.0069,1,2,2,0,0,4.163930358856986,0
scenario67,60,20,60,0,0,0,0.8,0,100,0,60,80,c1,0.00697,1,2,0,1,0,3.740178742747919,0
scenario68,-30,20,60,0,0,0,0.8,0,100,0,60,80,c2,0.00674,0,1,2,0,0,1.750097891467716,0
scenario69,-60,20,100,0,0,0,0.8,0,100,0,60,80,c4,0.00664,1,0,2,0,0,2.1220598668372617,0
scenario70,60,20,100,0,0,0,0.8,0,100,0,60,100,c1,0.00591,0,1,1,2,0,1.961918990313608,0
scenario71,90,20,80,0,0,0,0.8,0,100,0,60,100,c2,0.00611,2,0,0,1,0,3.2577854220471663,0
scenario72,30,20,100,0,0,0,0.8,0,100,0,60,100,c4,0.00574,2,0,1,2,0,1.0169040810762071,0
scenario73,-60,20,60,0,0,0,0.8,0,100,0,80,0,c1,0.00587,0,2,1,2,0,2.472006246063988,0
scenario74,-90,40,60,0,0,0,0.8,0,100,0,80,0,c2,0.00583,2,1,0,1,0,4.299952526658769,0
scenario75,-90,40,100,0,0,0,0.8,0,100,0,80,0,c4,0.00499,2,0,1,0,0,3.783923452531409,0
scenario76,-90,60,40,0,0,0,0.8,0,100,0,80,20,c1,0.00481,1,2,0,2,0,3.308981846318086,0
scenario77,-90,60,80,0,0,0,0.8,0,100,0,80,20,c2,0.00442,0,1,2,1,0,4.541661824349354,0
scenario78,-90,40,20,0,0,0,0.8,0,100,0,80,20,c4,0.00368,1,2,2,0,0,4.84418180201514,0
scenario79,90,60,40,0,0,0,0.8,0,100,0,80,40,c1,0.00319,1,2,0,1,0,4.328527915022853,0
scenario80,0,40,40,0,0,0,0.8,0,100,0,80,40,c2,0.00296,0,1,2,0,0,1.7380983155847969,0
scenario81,-30,40,40,0,0,0,0.8,0,100,0,80,40,c4,0.00294,1,0,2,0,0,2.2378337956916146,0
scenario82,-30,40,80,0,0,0,0.8,0,100,0,80,60,c1,0.0029,0,1,1,2,0,2.616411569234286,0
scenario83,90,40,20,0,0,0,0.8,0,100,0,80,60,c2,0.00293,2,0,0,1,0,3.0806240756171293,0
scenario84,-60,60,20,0,0,0,0.8,0,100,0,80,60,c4,0.00276,2,0,1,2,0,0.9035282784166826,0
scenario85,60,60,40,0,0,0,0.8,0,100,0,80,80,c1,0.00278,0,2,1,2,0,3.212951134547001,0
scenario86,0,40,100,0,0,0,0.8,0,100,0,80,80,c2,0.00283,2,1,0,1,0,4.056393790400122,0
scenario87,30,60,40,0,0,0,0.8,0,100,0,80,80,c4,0.00273,2,0,1,0,0,2.6850056287518127,0
scenario88,30,40,80,0,0,0,0.8,0,100,0,80,100,c1,0.00264,1,2,0,2,0,3.252258649156346,0
scenario89,60,40,20,0,0,0,0.8,0,100,0,80,100,c2,0.00264,0,1,2,1,0,2.925293556221466,0
scenario90,30,40,60,0,0,0,0.8,0,100,0,80,100,c4,0.0027,1,2,2,0,0,3.999668514239481,0
scenario91,-60,40,40,0,0,0,0.8,0,100,0,100,0,c1,0.00273,1,2,0,1,0,3.8110170357980167,0
scenario92,60,40,60,0,0,0,0.8,0,100,0,100,0,c2,0.00243,0,1,2,0,1,0.0,1
scenario93,-60,60,100,0,0,0,0.8,0,100,0,100,0,c4,0.00236,1,0,2,0,0,2.821859716227133,0
scenario94,90,60,80,0,0,0,0.8,0,100,0,100,20,c1,0.00239,0,1,1,2,0,2.644313356778889,0
scenario95,-90,20,60,0,20,40,0.8,0,100,0,100,20,c2,0.00245,2,0,0,1,0,2.914436259011798,0
scenario96,0,60,80,0,0,0,0.8,0,100,0,100,20,c4,0.00241,2,0,1,2,0,0.925549001540058,0
scenario97,-90,20,80,0,20,40,0.8,0,100,0,100,40,c1,0.0025,0,2,1,2,0,2.892411562227606,0
scenario98,-60,40,80,0,0,0,0.8,0,100,0,100,40,c2,0.00247,2,1,0,1,0,2.7727552371304847,0
scenario99,30,40,20,0,0,0,0.8,0,100,0,100,40,c4,0.00247,2,0,1,0,0,2.4727885181778984,0
scenario100,0,60,60,0,0,0,0.8,0,100,0,100,60,c1,0.0022,1,2,0,2,0,3.459550929599555,0
scenario101,60,60,100,0,0,0,0.8,0,100,0,100,60,c2,0.00245,0,1,2,1,0,2.939787708226342,0
scenario102,60,40,80,0,0,0,0.8,0,100,0,100,60,c4,0.00238,1,2,2,0,0,4.1056398588665,0
scenario103,-30,60,100,0,0,0,0.8,0,100,0,100,80,c1,0.00225,1,2,0,1,0,4.208583229597322,0
scenario104,90,40,100,0,0,0,0.8,0,100,0,100,80,c2,0.00218,0,1,2,0,1,0.0,1
scenario105,90,40,60,0,0,0,0.8,0,100,0,100,80,c4,0.002,1,0,2,0,0,2.1886136530700915,0
scenario106,30,60,100,0,0,0,0.8,0,100,0,100,100,c1,0.00203,0,1,1,2,0,2.6300197875923983,0
scenario107,-60,60,60,0,0,0,0.8,0,100,0,100,100,c2,0.00201,2,0,0,1,0,2.870377104155318,0
scenario108,-30,60,60,0,0,0,0.8,0,100,0,100,100,c4,0.00216,2,0,1,2,0,0.9997037637158616,0
scenario109,-90,20,40,0,0,0,0.8,0,100,20,0,0,c1,0.01566,0,2,1,2,0,1.97856386255806,0
scenario110,-90,20,80,0,0,0,0.8,0,100,20,0,0,c2,0.01571,2,1,0,1,0,3.569024657482028,0
scenario111,-90,20,40,0,0,0,0.8,0,100,20,0,0,c4,0.01594,2,0,1,0,0,3.8510232385324974,0
scenario112,-90,20,40,0,0,0,0.8,0,100,20,0,20,c1,0.01578,1,2,0,2,0,3.496123568202188,0
scenario113,-90,20,80,0,0,0,0.8,0,100,20,0,20,c2,0.01574,0,1,2,1,0,2.1824831113438385,0
scenario114,-90,20,40,0,0,0,0.8,0,100,20,0,20,c4,0.01534,1,2,2,0,0,4.11872461902549,0
scenario115,-90,20,60,0,0,0,0.8,0,100,20,0,40,c1,0.01526,1,2,0,1,0,3.856288194023688,0
scenario116,-90,20,40,0,0,0,0.8,0,100,20,0,40,c2,0.01565,0,1,2,0,1,0.0,1
scenario117,-90,20,40,0,0,0,0.8,0,100,20,0,40,c4,0.0161,1,0,2,0,0,3.0055432134459816,0
scenario118,-90,20,60,0,0,0,0.8,0,100,20,0,60,c1,0.01513,0,1,1,2,0,1.882631206833378,0
scenario119,-90,20,80,0,0,0,0.8,0,100,20,0,60,c2,0.01534,2,0,0,1,0,2.1671415391138646,0
scenario120,-90,20,80,0,0,0,0.8,0,100,20,0,60,c4,0.01513,2,0,1,2,0,0.9472274270662338,0
scenario121,-90,20,40,0,0,0,0.8,0,100,20,0,80,c1,0.01526,0,2,1,2,1,0.0,1
scenario122,-90,20,40,0,0,0,0.8,0,100,20,0,80,c2,0.01639,2,1,0,1,0,4.323954469595536,0
scenario123,-90,20,40,0,0,0,0.8,0,100,20,0,80,c4,0.01573,2,0,1,0,0,6.886050878460711,0
scenario124,-90,20,40,0,0,0,0.8,0,100,20,0,100,c1,0.01548,1,2,0,2,0,3.2047057705018003,0
scenario125,-90,20,40,0,0,0,0.8,0,100,20,0,100,c2,0.01557,0,1,2,1,0,1.8345047292022565,0
scenario126,-90,20,20,0,20,40,0.8,0,100,20,0,100,c4,0.00193,1,2,2,0,0,4.928361496769043,0
scenario127,-30,60,20,0,0,0,0.8,0,100,20,20,0,c1,0.002,1,2,0,1,0,3.434663074739809,0
scenario128,-90,20,40,0,0,0,0.8,0,100,20,20,0,c2,0.01581,0,1,2,0,0,1.785705696852123,0
scenario129,-90,20,100,0,0,0,0.8,80,20,20,20,0,c4,0.002,1,0,2,0,0,2.461952875560435,0
scenario130,-90,20,60,0,0,0,0.8,0,100,20,20,20,c1,0.01543,0,1,1,2,0,2.640129778607721,0
scenario131,-90,20,40,0,0,0,0.8,0,100,20,20,20,c2,0.01492,2,0,0,1,0,3.873177348283444,0
scenario132,-90,20,80,0,0,0,0.8,0,100,20,20,20,c4,0.01595,2,0,1,2,0,1.0000981044660489,0
scenario133,-90,20,40,0,0,0,0.8,0,100,20,20,40,c1,0.01606,0,2,1,2,0,1.0215862639140942,0
scenario134,-90,20,40,0,0,0,0.8,0,100,20,20,40,c2,0.01619,2,1,0,1,0,4.564853677647913,0
scenario135,-90,20,40,0,0,0,0.8,0,100,20,20,40,c4,0.01565,2,0,1,0,0,12.412682662342826,0
scenario136,-90,20,60,0,0,0,0.8,0,100,20,20,60,c1,0.01572,1,2,0,2,0,3.103735508911347,0
scenario137,-90,20,60,0,0,0,0.8,0,100,20,20,60,c2,0.0155,0,1,2,1,0,2.232499999768452,0
scenario138,-90,20,40,0,0,0,0.8,0,100,20,20,60,c4,0.01535,1,2,2,0,0,4.365513140174217,0
scenario139,-90,20,40,0,0,0,0.8,0,100,20,20,80,c1,0.01572,1,2,0,1,0,3.9103093751105806,0
scenario140,-90,20,40,0,0,0,0.8,0,100,20,20,80,c2,0.01528,0,1,2,0,0,1.6927850514355447,0
scenario141,-90,20,80,0,0,0,0.8,0,100,20,20,80,c4,0.01538,1,0,2,0,0,2.3341790265233127,0
scenario142,-90,20,60,0,0,0,0.8,0,100,20,20,100,c1,0.01516,0,1,1,2,0,2.097921392193081,0
scenario143,-90,20,60,0,0,0,0.8,0,100,20,20,100,c2,0.01567,2,0,0,1,0,2.491472622146346,0
scenario144,-90,20,40,0,0,0,0.8,0,100,20,20,100,c4,0.01551,2,0,1,2,0,1.016502010815379,0
scenario145,-90,20,60,0,0,0,0.8,0,100,20,40,0,c1,0.01549,0,2,1,2,0,3.125976935437957,0
scenario146,-90,20,40,0,0,0,0.8,0,100,20,40,0,c2,0.01585,2,1,0,1,0,2.5372671516839937,0
scenario147,-90,20,40,0,0,0,0.8,0,100,20,40,0,c4,0.0156,2,0,1,0,0,5.411955699417882,0
scenario148,-90,20,40,0,0,0,0.8,0,100,20,40,20,c1,0.01556,1,2,0,2,0,3.5523547869173724,0
scenario149,-90,20,40,0,0,0,0.8,0,100,20,40,20,c2,0.01587,0,1,2,1,0,3.015845418186041,0
scenario150,-90,20,40,0,0,0,0.8,0,100,20,40,20,c4,0.01562,1,2,2,0,0,4.19023646564788,0
scenario151,-90,20,40,0,0,0,0.8,0,100,20,40,40,c1,0.01566,1,2,0,1,0,3.749006967571412,0
scenario152,-90,20,40,0,0,0,0.8,0,100,20,40,40,c2,0.01549,0,1,2,0,0,1.7152448490364485,0
scenario153,-90,20,40,0,0,0,0.8,0,100,20,40,40,c4,0.01576,1,0,2,0,0,1.9580075760571547,0
scenario154,-90,20,60,0,0,0,0.8,0,100,20,40,60,c1,0.01519,0,1,1,2,0,2.613745963371973,0
scenario155,-90,20,80,0,0,0,0.8,0,100,20,40,60,c2,0.01585,2,0,0,1,0,2.5519824012106365,0
scenario156,-90,20,40,0,0,0,0.8,0,100,20,40,60,c4,0.01558,2,0,1,2,0,0.950767249283938,0
scenario157,-90,20,40,0,0,0,0.8,0,100,20,40,80,c1,0.01564,0,2,1,2,0,3.140897454336641,0
scenario158,-90,20,40,0,0,0,0.8,0,100,20,40,80,c2,0.01542,2,1,0,1,0,3.86009163101549,0
scenario159,-90,20,40,0,0,0,0.8,0,100,20,40,80,c4,0.01594,2,0,1,0,0,3.381327675215022,0
scenario160,-90,20,40,0,0,0,0.8,0,100,20,40,100,c1,0.01552,1,2,0,2,0,3.422156589833412,0
