Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,startego
Z_{1},0.5568,0.1234,0.1207,0.0337,0.148,-0.0268,-0.0936,0.0079,0.1829,-0.0287,-0.0558,-0.6106
Z_{2},0.1123,0.0548,-0.0252,0.1285,-0.8064,0.0992,0.0596,-0.0229,0.6034,0.1486,0.1471,0.204
