Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,startego
scenario1,0.208079320172796,-0.722833054842948,-0.265578247981616,-1.74940323297639,1.16711977136158,-1.72333887890382,-0.0888345261763978,-1.75548262811026,0.157140372813278,0.867632323624378,-0.773297467301945,-1.25156017294578
scenario2,1.17351912341069,-0.0998393258457872,1.39707691199099,-0.773556887196247,1.16711977136158,0.878237483252922,1.24617794276228,0.398069838297382,-1.20382992525605,-1.73578197365775,-0.773297467301945,0.110228822374703
scenario3,0.208079320172796,-1.75116878939945,0.353251237220563,-1.74940323297639,-1.11110078064397,-1.72333887890382,1.24617794276228,1.25549973245764,0.157140372813278,-1.73578197365775,-0.156516174772593,1.17779668780271
scenario4,1.17351912341069,0.863872465490141,-1.37515935721419,0.81713727609593,-0.077554361975758,-1.72333887890382,0.410541405791276,1.25549973245764,1.15751861316236,1.2703530551474,-0.773297467301945,-1.25156017294578
scenario5,0.208079320172796,-1.75116878939945,-1.37515935721419,-0.773556887196247,1.16711977136158,-0.700298062862759,-0.699023326585322,0.398069838297382,-1.20382992525605,-0.700565605007697,-0.156516174772593,-1.25156017294578
scenario6,-1.17817556714753,-0.0998393258457872,1.39707691199099,0.358756354573744,-1.11110078064397,0.878237483252922,-1.72073174868176,-1.75548262811026,0.157140372813278,-0.082309534597588,0.810568686153969,1.17779668780271
scenario7,-1.17817556714753,-0.722833054842948,1.39707691199099,-0.156670824265133,-0.077554361975758,-0.0805121393709608,-1.72073174868176,1.25549973245764,1.15751861316236,0.867632323624378,0.810568686153969,1.17779668780271
scenario8,-1.17817556714753,0.863872465490141,0.353251237220563,-1.74940323297639,1.16711977136158,1.28644200069152,1.24617794276228,0.398069838297382,-1.20382992525605,-0.082309534597588,1.22587066625397,0.110228822374703
scenario9,0.208079320172796,0.412665961383469,1.39707691199099,0.358756354573744,1.16711977136158,-1.72333887890382,0.848712083826459,-0.73203342218176,-1.20382992525605,0.423668616998792,1.22587066625397,-1.25156017294578
scenario10,-1.17817556714753,1.27418971354865,0.90255429539413,-1.74940323297639,-1.11110078064397,-0.700298062862759,1.24617794276228,0.847132262970298,0.157140372813278,-0.700565605007697,0.810568686153969,1.17779668780271
scenario11,1.17351912341069,1.27418971354865,-0.975775697502214,0.358756354573744,-0.077554361975758,-0.0805121393709608,-1.72073174868176,-0.112000084999754,1.15751861316236,-1.73578197365775,1.22587066625397,-1.25156017294578
scenario12,-1.17817556714753,-0.722833054842948,-0.265578247981616,-0.156670824265133,1.16711977136158,0.878237483252922,0.410541405791276,0.847132262970298,-1.20382992525605,-1.73578197365775,1.22587066625397,0.110228822374703
scenario13,0.208079320172796,-0.722833054842948,1.39707691199099,0.358756354573744,-0.077554361975758,-0.700298062862759,-1.72073174868176,0.847132262970298,1.15751861316236,-1.73578197365775,-1.76285138695347,-1.25156017294578
scenario14,1.17351912341069,1.27418971354865,0.90255429539413,-0.773556887196247,-1.88913602759517,0.429354249254055,0.848712083826459,0.847132262970298,1.15751861316236,-0.700565605007697,-0.156516174772593,0.110228822374703
scenario15,1.17351912341069,1.27418971354865,0.353251237220563,-0.156670824265133,-1.11110078064397,-0.0805121393709608,0.410541405791276,0.398069838297382,0.157140372813278,0.423668616998792,0.35616262434287,0.110228822374703
scenario16,1.17351912341069,-0.722833054842948,0.90255429539413,-0.773556887196247,1.16711977136158,-1.72333887890382,-0.699023326585322,0.847132262970298,-1.20382992525605,0.867632323624378,0.35616262434287,0.110228822374703
scenario17,-1.17817556714753,-1.75116878939945,-0.265578247981616,0.81713727609593,-0.077554361975758,1.28644200069152,0.848712083826459,-0.73203342218176,-1.20382992525605,1.2703530551474,1.22587066625397,1.17779668780271
scenario18,0.208079320172796,1.27418971354865,-1.37515935721419,1.23712246882518,1.16711977136158,1.28644200069152,0.410541405791276,-0.112000084999754,-1.20382992525605,0.423668616998792,-1.76285138695347,-1.25156017294578
scenario19,-1.17817556714753,-1.75116878939945,0.90255429539413,-0.156670824265133,-0.077554361975758,-0.0805121393709608,-1.72073174868176,0.847132262970298,-1.20382992525605,-0.700565605007697,1.22587066625397,1.17779668780271
scenario20,-1.17817556714753,0.412665961383469,-0.975775697502214,0.358756354573744,-1.11110078064397,0.429354249254055,0.848712083826459,-1.75548262811026,0.157140372813278,-0.082309534597588,-0.156516174772593,1.17779668780271
scenario21,-1.17817556714753,-0.0998393258457872,-0.975775697502214,1.23712246882518,-0.077554361975758,-1.72333887890382,0.848712083826459,0.398069838297382,1.15751861316236,0.423668616998792,-1.76285138695347,1.17779668780271
scenario22,0.208079320172796,0.863872465490141,-0.975775697502214,0.81713727609593,-0.077554361975758,0.429354249254055,0.410541405791276,1.25549973245764,1.15751861316236,-0.082309534597588,0.35616262434287,-1.25156017294578
scenario23,1.17351912341069,0.412665961383469,-0.265578247981616,1.23712246882518,1.16711977136158,-0.0805121393709608,-0.0888345261763978,-0.112000084999754,-1.20382992525605,-0.082309534597588,0.35616262434287,0.110228822374703
scenario24,1.17351912341069,-0.722833054842948,0.90255429539413,0.358756354573744,-0.077554361975758,-0.0805121393709608,1.24617794276228,1.25549973245764,1.15751861316236,0.867632323624378,0.810568686153969,-1.25156017294578
scenario25,-1.17817556714753,-1.75116878939945,0.90255429539413,-1.74940323297639,-0.077554361975758,-0.0805121393709608,0.410541405791276,-0.73203342218176,1.15751861316236,0.423668616998792,1.22587066625397,1.17779668780271
scenario26,1.17351912341069,0.412665961383469,-1.37515935721419,1.23712246882518,-1.88913602759517,-0.700298062862759,-0.0888345261763978,-0.73203342218176,1.15751861316236,-0.082309534597588,0.810568686153969,0.110228822374703
scenario27,0.208079320172796,0.412665961383469,-1.37515935721419,-1.74940323297639,1.16711977136158,0.429354249254055,-0.699023326585322,-0.73203342218176,0.157140372813278,1.2703530551474,-0.156516174772593,-1.25156017294578
scenario28,-1.17817556714753,0.863872465490141,0.353251237220563,-0.156670824265133,-0.077554361975758,0.429354249254055,0.848712083826459,-1.75548262811026,-1.20382992525605,-0.700565605007697,0.810568686153969,1.17779668780271
scenario29,1.17351912341069,0.412665961383469,-0.975775697502214,-1.74940323297639,-1.11110078064397,0.878237483252922,-1.72073174868176,0.847132262970298,0.157140372813278,0.867632323624378,0.35616262434287,0.110228822374703
scenario30,-1.17817556714753,-0.722833054842948,0.353251237220563,1.23712246882518,-0.077554361975758,1.28644200069152,-0.0888345261763978,-1.75548262811026,1.15751861316236,0.867632323624378,-0.156516174772593,1.17779668780271
scenario31,1.17351912341069,-0.0998393258457872,-0.975775697502214,-0.773556887196247,-1.88913602759517,0.429354249254055,-0.0888345261763978,-0.112000084999754,1.15751861316236,-1.73578197365775,-0.773297467301945,0.110228822374703
scenario32,0.208079320172796,1.27418971354865,-1.37515935721419,1.23712246882518,-0.077554361975758,0.878237483252922,0.410541405791276,0.398069838297382,1.15751861316236,-0.700565605007697,-1.76285138695347,-1.25156017294578
scenario33,1.17351912341069,-0.722833054842948,0.353251237220563,-0.156670824265133,-0.077554361975758,-1.72333887890382,0.410541405791276,-0.73203342218176,1.15751861316236,-0.700565605007697,-0.773297467301945,-1.25156017294578
scenario34,0.208079320172796,0.863872465490141,0.353251237220563,0.358756354573744,1.16711977136158,-0.700298062862759,0.848712083826459,1.25549973245764,-1.20382992525605,0.423668616998792,1.22587066625397,-1.25156017294578
scenario35,-1.17817556714753,-0.0998393258457872,-1.37515935721419,-0.156670824265133,-0.077554361975758,-1.72333887890382,1.24617794276228,1.25549973245764,-1.20382992525605,0.423668616998792,-1.76285138695347,1.17779668780271
scenario36,-1.17817556714753,0.412665961383469,0.353251237220563,-1.74940323297639,1.16711977136158,-0.0805121393709608,0.848712083826459,-0.73203342218176,-1.20382992525605,-1.73578197365775,1.22587066625397,0.110228822374703
scenario37,0.208079320172796,-0.0998393258457872,-1.37515935721419,0.81713727609593,-1.11110078064397,0.878237483252922,-0.0888345261763978,-1.75548262811026,0.157140372813278,1.2703530551474,-0.773297467301945,1.17779668780271
scenario38,-1.17817556714753,0.412665961383469,0.90255429539413,-1.74940323297639,-0.077554361975758,-0.0805121393709608,-0.0888345261763978,1.25549973245764,1.15751861316236,-0.082309534597588,-0.156516174772593,1.17779668780271
scenario39,1.17351912341069,0.863872465490141,0.353251237220563,1.23712246882518,-1.11110078064397,1.28644200069152,0.848712083826459,-1.75548262811026,0.157140372813278,-0.700565605007697,0.810568686153969,0.110228822374703
scenario40,0.208079320172796,0.412665961383469,0.353251237220563,0.81713727609593,1.16711977136158,-0.0805121393709608,-0.699023326585322,0.398069838297382,0.157140372813278,1.2703530551474,0.35616262434287,-1.25156017294578
scenario41,1.17351912341069,-1.75116878939945,-0.975775697502214,-0.773556887196247,-1.11110078064397,-0.700298062862759,-1.72073174868176,0.398069838297382,0.157140372813278,-1.73578197365775,-0.773297467301945,0.110228822374703
scenario42,-1.17817556714753,-0.722833054842948,0.90255429539413,-1.74940323297639,-1.11110078064397,-1.72333887890382,1.24617794276228,0.398069838297382,0.157140372813278,1.2703530551474,1.22587066625397,1.17779668780271
scenario43,1.17351912341069,-1.75116878939945,-1.37515935721419,0.358756354573744,-0.077554361975758,-1.72333887890382,-0.699023326585322,-0.73203342218176,1.15751861316236,0.867632323624378,-1.76285138695347,-1.25156017294578
scenario44,0.208079320172796,0.412665961383469,-0.975775697502214,0.358756354573744,1.16711977136158,0.429354249254055,-0.699023326585322,-0.73203342218176,-1.20382992525605,1.2703530551474,1.22587066625397,-1.25156017294578
scenario45,0.208079320172796,0.863872465490141,-0.975775697502214,0.81713727609593,1.16711977136158,0.429354249254055,-1.72073174868176,0.847132262970298,0.157140372813278,-0.700565605007697,0.35616262434287,-1.25156017294578
scenario46,0.208079320172796,0.412665961383469,-1.37515935721419,1.23712246882518,1.16711977136158,-0.700298062862759,0.410541405791276,1.25549973245764,-1.20382992525605,0.867632323624378,-1.76285138695347,-1.25156017294578
scenario47,0.208079320172796,-1.75116878939945,0.90255429539413,-0.773556887196247,1.16711977136158,0.429354249254055,-0.699023326585322,0.398069838297382,-1.20382992525605,0.423668616998792,-0.156516174772593,-1.25156017294578
scenario48,1.17351912341069,1.27418971354865,-0.265578247981616,0.358756354573744,-1.88913602759517,-0.0805121393709608,-0.699023326585322,1.25549973245764,1.15751861316236,-0.700565605007697,1.22587066625397,0.110228822374703
scenario49,-1.17817556714753,-0.722833054842948,-0.975775697502214,-0.156670824265133,1.16711977136158,-0.0805121393709608,-0.699023326585322,-0.73203342218176,-1.20382992525605,-0.082309534597588,1.22587066625397,0.110228822374703
scenario50,0.208079320172796,-1.75116878939945,0.90255429539413,-0.156670824265133,-1.11110078064397,0.429354249254055,-0.699023326585322,-0.112000084999754,0.157140372813278,-0.700565605007697,0.810568686153969,1.17779668780271
scenario51,-1.17817556714753,-0.0998393258457872,-0.975775697502214,-1.74940323297639,-0.077554361975758,0.429354249254055,0.848712083826459,-0.112000084999754,1.15751861316236,-0.082309534597588,-0.773297467301945,1.17779668780271
scenario52,-1.17817556714753,-0.722833054842948,-0.975775697502214,-1.74940323297639,-0.077554361975758,-1.72333887890382,0.410541405791276,-1.75548262811026,-1.20382992525605,-1.73578197365775,-1.76285138695347,1.17779668780271
scenario53,1.17351912341069,0.863872465490141,1.39707691199099,1.23712246882518,-0.077554361975758,1.28644200069152,-0.0888345261763978,-0.112000084999754,1.15751861316236,1.2703530551474,0.810568686153969,-1.25156017294578
scenario54,1.17351912341069,0.863872465490141,-1.37515935721419,1.23712246882518,-0.077554361975758,-0.700298062862759,0.410541405791276,0.847132262970298,1.15751861316236,-0.700565605007697,0.810568686153969,-1.25156017294578
scenario55,-1.17817556714753,-0.722833054842948,-1.37515935721419,-1.74940323297639,1.16711977136158,-0.0805121393709608,0.848712083826459,-1.75548262811026,-1.20382992525605,0.423668616998792,1.22587066625397,0.110228822374703
scenario56,1.17351912341069,0.412665961383469,-1.37515935721419,0.358756354573744,1.16711977136158,0.878237483252922,-0.699023326585322,-0.73203342218176,-1.20382992525605,0.867632323624378,1.22587066625397,0.110228822374703
scenario57,0.208079320172796,-0.722833054842948,1.39707691199099,1.23712246882518,-0.077554361975758,-1.72333887890382,0.410541405791276,0.847132262970298,1.15751861316236,1.2703530551474,-0.773297467301945,-1.25156017294578
scenario58,1.17351912341069,-0.0998393258457872,1.39707691199099,-1.74940323297639,1.16711977136158,0.878237483252922,0.848712083826459,0.847132262970298,-1.20382992525605,1.2703530551474,-0.773297467301945,0.110228822374703
