instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario1,c2,1,20,0.4,0,3,0,40,0,1,80,20,0,0,4.375843340183555,0
scenario2,c4,2,40,1.0,20,3,80,100,60,0,0,20,1,1,0.0,1
scenario3,c2,1,0,0.6,0,1,0,100,100,1,0,40,2,0,2.0980638633037603,0
scenario4,c1,2,80,0.1,80,2,0,60,100,2,100,20,0,0,3.72358290984081,0
scenario5,c2,1,0,0.1,20,3,20,20,60,0,20,40,0,0,3.376661335799186,0
scenario6,c2,0,40,1.0,60,1,80,0,0,1,40,80,2,0,2.7509766833412024,0
scenario7,c4,0,20,1.0,40,2,40,0,100,2,80,80,2,0,0.8803922376559123,0
scenario8,c4,0,80,0.6,0,3,100,100,60,0,40,100,1,1,0.0,1
scenario9,c2,1,60,1.0,60,3,0,80,20,0,60,100,0,0,3.9769020805923807,0
scenario10,c2,0,100,0.8,0,1,20,100,80,1,20,80,2,0,2.0504184929503126,0
scenario11,c1,2,100,0.2,60,2,40,0,40,2,0,100,0,0,3.729228194317208,0
scenario12,c4,0,20,0.4,40,3,80,60,80,0,0,100,1,1,0.0,1
scenario13,c1,1,20,1.0,60,2,20,0,80,2,0,0,0,0,4.342180763078711,0
scenario14,c1,2,100,0.8,20,0,60,80,80,2,20,40,1,0,2.448179125852369,0
scenario15,c1,2,100,0.6,40,1,40,60,60,1,60,60,1,1,0.0,1
scenario16,c4,2,20,0.8,20,3,0,20,80,0,80,60,1,1,0.0,1
scenario17,c4,0,0,0.4,80,2,100,80,20,0,100,100,2,0,2.327208280146777,0
scenario18,c2,1,100,0.1,100,3,100,60,40,0,60,0,0,0,3.8231579229799992,0
scenario19,c4,0,0,0.8,40,2,40,0,80,0,20,100,2,0,3.0060681237538285,0
scenario20,c2,0,60,0.2,60,1,60,80,0,1,40,40,2,0,5.293505392002711,0
scenario21,c4,0,40,0.2,100,2,0,80,60,2,60,0,2,1,0.0,1
scenario22,c1,1,80,0.2,80,2,60,60,100,2,40,60,0,0,3.767842703525633,0
scenario23,c4,2,60,0.4,100,3,40,40,40,0,40,60,1,1,0.0,1
scenario24,c1,2,20,0.8,60,2,40,100,100,2,80,80,0,0,2.9869181789354755,0
scenario25,c4,0,0,0.8,0,2,40,60,20,2,60,100,2,1,0.0,1
scenario26,c1,2,60,0.1,100,0,20,40,20,2,40,80,1,0,792.5103454521529,0
scenario27,c2,1,60,0.1,0,3,60,20,20,1,100,40,0,0,4.510437127463489,0
scenario28,c4,0,80,0.6,40,2,60,80,0,0,20,80,2,0,2.6416303717345686,0
scenario29,c1,2,60,0.2,0,1,80,0,80,1,80,60,1,1,0.0,1
scenario30,c4,0,20,0.6,100,2,100,40,0,2,80,40,2,1,0.0,1
scenario31,c1,2,40,0.2,20,0,60,40,40,2,0,20,1,0,3.5657571805649844,0
scenario32,c1,1,100,0.1,100,2,80,60,60,2,20,0,0,0,7.048925781507956,0
scenario33,c1,2,20,0.6,40,2,0,60,20,2,20,20,0,0,3.792375061740304,0
scenario34,c2,1,80,0.6,60,3,20,80,100,0,60,100,0,0,2.859738110405862,0
scenario35,c4,0,40,0.1,40,2,0,100,100,0,60,0,2,0,2.979920212751963,0
scenario36,c4,0,60,0.6,0,3,40,80,20,0,0,100,1,1,0.0,1
scenario37,c2,1,40,0.1,80,1,80,40,0,1,100,20,2,0,5.334587712403426,0
scenario38,c4,0,60,0.8,0,2,40,40,100,2,40,40,2,0,0.7782702438355178,0
scenario39,c1,2,80,0.6,100,1,100,80,0,1,20,80,1,1,0.0,1
scenario40,c2,1,60,0.6,80,3,40,20,60,1,100,60,0,0,4.141951915917682,0
scenario41,c1,2,0,0.2,20,1,20,0,60,1,0,20,1,1,0.0,1
scenario42,c2,0,20,0.8,0,1,0,100,60,1,100,100,2,0,1.410606004020166,0
scenario43,c1,2,0,0.1,60,2,0,20,20,2,80,0,0,0,4.565771572343087,0
