instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario1,c4,0,40,0.6,60,3,0,20,60,0,80,60,-90,1,0,1.17520684101072,0
scenario2,c4,0,60,1.0,100,3,60,60,0,0,0,60,30,1,0,5.224690502395768,0
scenario3,c1,1,0,0.2,0,2,0,40,80,2,0,60,60,0,0,3.154262850256366,0
scenario4,c1,2,20,0.4,100,0,80,60,20,2,60,20,-30,1,0,3.409357604141202,0
scenario5,c2,1,0,0.6,100,1,40,100,40,1,100,100,60,2,0,3.9055933687130064,0
scenario6,c4,2,60,0.6,60,3,80,40,80,0,40,80,90,1,0,7.375070274013828,0
scenario7,c2,1,80,0.6,100,1,40,100,100,1,20,40,60,2,0,4.611594157423564,0
scenario8,c2,0,40,0.4,0,1,60,20,100,1,80,60,0,2,0,2.8028309724342337,0
scenario9,c4,0,0,0.6,80,2,20,20,20,0,80,80,90,2,0,14.70157516306776,0
scenario10,c2,1,80,0.2,60,1,80,40,0,1,100,100,60,2,0,4.367937078170941,0
scenario11,c1,2,40,0.6,20,2,60,60,80,2,0,80,30,0,0,2.4757694443465703,0
scenario12,c4,0,80,0.1,40,3,80,40,80,0,0,60,30,1,0,1.917750822756339,0
scenario13,c4,0,0,0.1,40,3,20,80,80,0,80,0,90,1,0,2.012088128596866,0
scenario14,c4,0,20,0.4,80,3,40,60,0,0,0,20,-30,1,0,1.6759177856909335,0
scenario15,c4,0,20,0.6,100,2,80,20,40,0,40,100,60,2,0,6.370309796595479,0
scenario16,c2,1,60,0.4,20,1,40,0,60,1,0,40,-30,2,0,3.595541843485793,0
scenario17,c1,2,20,0.2,20,2,0,80,60,2,60,0,-90,0,0,2.181309740824159,0
scenario18,c1,2,100,0.1,20,2,100,80,60,2,20,80,30,0,0,3.946725379472455,0
scenario19,c4,0,0,0.4,20,3,60,100,40,0,100,20,60,1,0,2.6071302630520807,0
scenario20,c4,0,20,0.8,40,3,100,40,80,0,40,20,0,1,0,2.468240304099941,0
scenario21,c4,0,100,0.4,0,3,20,80,80,0,60,60,30,1,0,2.8626369615891947,0
scenario22,c2,0,80,0.4,0,1,60,80,60,1,100,100,-60,2,0,2.5547193644470383,0
scenario23,c1,2,40,0.2,20,2,60,40,20,2,80,40,-90,0,0,3.014580711986197,0
scenario24,c1,1,0,0.8,80,2,100,20,60,2,40,40,90,0,0,1.854024746434336,0
scenario25,c4,0,20,0.4,80,2,0,100,20,0,0,20,-60,2,0,3.152762460352367,0
scenario26,c2,1,40,0.4,100,1,0,0,20,1,0,100,90,2,0,3.2572366567964246,0
scenario27,c1,2,100,0.8,100,2,80,80,60,2,0,60,-60,0,0,3.268294371838335,0
scenario28,c4,0,0,0.8,40,3,0,80,60,0,40,60,-30,1,0,1.8911110041204064,0
scenario29,c2,1,20,0.4,20,1,0,20,20,1,20,80,-30,2,0,4.129734082579532,0
scenario30,c4,2,80,0.6,80,3,100,60,40,0,60,40,90,1,0,4.586865629245762,0
scenario31,c1,2,60,1.0,80,2,20,100,60,2,80,80,-30,0,0,3.471443653422716,0
scenario32,c2,1,80,0.4,60,1,100,40,60,1,80,100,60,2,0,3.622672574928179,0
scenario33,c4,0,40,0.8,80,2,60,80,100,2,40,80,-30,2,0,1.0753247395970853,0
scenario34,c2,1,100,0.2,40,1,40,60,0,1,80,100,30,2,0,3.0627020188374483,0
scenario35,c1,2,0,0.8,20,0,100,0,80,2,80,100,-30,1,0,3.1629114030552,0
scenario36,c4,0,0,1.0,40,3,100,0,40,0,60,20,-90,1,0,2.726657400185239,0
scenario37,c2,1,0,0.2,40,1,0,0,0,1,0,40,60,2,0,7.353771966222777,0
scenario38,c2,1,60,0.1,20,3,0,80,0,0,100,20,30,0,0,1.8510861955835565,0
scenario39,c2,1,60,0.6,100,1,40,60,80,1,0,0,30,2,0,5.899631583161979,0
scenario40,c4,0,100,0.2,0,2,0,60,40,0,20,0,60,2,0,2.0543760869451506,0
scenario41,c4,0,40,0.8,100,3,40,20,60,0,40,0,30,1,0,3.512822340019096,0
scenario42,c2,1,20,0.8,60,1,20,40,0,1,0,100,-60,2,0,4.818463128477232,0
scenario43,c4,0,60,0.8,0,2,100,20,40,0,20,80,-90,2,0,2.705222091898758,0
scenario44,c2,1,20,0.8,60,1,0,40,60,1,80,20,-90,2,0,1.6759139004726555,0
scenario45,c4,0,0,0.8,0,2,0,20,20,0,0,20,-60,2,0,2.7424347684699373,0
scenario46,c4,0,20,0.8,100,3,60,80,20,0,100,60,60,1,0,2.7988374453056246,0
scenario47,c4,2,20,0.8,60,3,80,60,100,0,80,40,-90,1,0,4.239164581927039,0
scenario48,c4,0,0,0.4,60,3,40,100,100,0,40,0,90,1,0,1.5683711342053,0
scenario49,c1,2,100,0.1,20,1,60,60,60,1,0,80,0,1,0,1.0001335676570733,0
scenario50,c1,2,20,0.4,20,2,0,40,60,2,100,0,90,0,1,0.0,1
scenario51,c2,0,0,0.4,0,1,60,20,0,1,40,0,-30,2,0,3.5884404360972195,0
scenario52,c1,2,80,0.6,0,2,0,100,60,2,0,100,60,0,0,3.192336708895659,0
scenario53,c1,2,40,0.6,60,2,40,60,80,2,20,100,0,0,0,2.166586889475778,0
scenario54,c2,1,60,1.0,80,1,20,60,40,1,20,60,30,2,0,6.255013696501982,0
scenario55,c4,0,0,0.6,20,3,80,80,40,0,100,80,-90,1,0,2.4053225494195583,0
scenario56,c1,2,20,1.0,20,2,0,100,60,2,100,100,-30,0,0,2.3145259080303973,0
scenario57,c1,2,0,0.8,60,0,40,20,80,2,80,0,-60,1,0,3.618348464223748,0
scenario58,c2,1,60,0.6,80,3,20,60,40,1,100,100,90,0,0,3.253076791773416,0
scenario59,c4,0,60,0.6,40,2,0,60,60,0,80,100,-30,2,0,2.452624162700327,0
scenario60,c1,2,0,0.2,20,2,100,100,100,2,100,80,90,0,0,4.01028483015924,0
scenario61,c2,1,20,0.1,60,1,80,20,80,1,80,100,-30,2,0,2.115757670262158,0
scenario62,c1,1,20,0.6,60,2,80,60,100,2,40,80,-60,0,0,3.050830567166367,0
scenario63,c1,2,60,0.8,100,1,80,100,0,1,20,0,60,1,0,0.7558645744706834,0
scenario64,c1,2,60,0.6,60,0,100,60,60,2,80,100,60,1,0,3.0266434089460152,0
scenario65,c1,2,40,0.8,100,2,20,20,60,2,60,40,60,0,0,2.6893404697193324,0
scenario66,c2,1,80,0.8,100,1,60,80,40,1,80,0,-60,2,0,3.717563352382745,0
scenario67,c4,0,80,1.0,100,2,80,100,0,2,40,100,30,2,0,0.9926036076434556,0
scenario68,c1,2,60,0.1,0,2,100,0,40,2,60,60,-90,0,0,2.378308111504466,0
scenario69,c2,0,80,0.4,60,1,0,60,0,1,0,100,30,2,0,3.6381280780438026,0
scenario70,c1,2,0,0.6,80,2,0,0,80,2,40,0,-90,0,0,2.977917372073456,0
scenario71,c2,0,40,0.6,20,1,0,20,40,1,100,60,-30,2,0,2.828923378388153,0
scenario72,c1,2,60,0.6,100,2,40,80,100,2,80,20,60,0,0,2.640591923674878,0
scenario73,c2,1,60,0.8,0,1,0,80,40,1,40,60,30,2,0,2.198319023096017,0
scenario74,c1,2,40,1.0,100,2,100,0,40,2,100,40,0,0,1,0.0,1
scenario75,c2,0,100,0.4,40,1,0,0,40,1,80,100,-90,2,0,3.4741179970040155,0
scenario76,c4,0,40,0.1,40,3,40,40,80,0,20,40,90,1,0,2.175023993147783,0
scenario77,c1,1,100,1.0,20,2,20,40,40,2,80,40,90,0,0,3.005962576144904,0
scenario78,c2,1,100,0.4,60,1,40,80,20,1,40,20,90,2,0,3.9864945618701753,0
