Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
Z_{1},0.6541,-0.1326,0.2,0.1055,0.6837,0.0053,0.0054,0.2695,0.195,0.1147,-0.0442,-0.001,-1.0379
Z_{2},-0.3506,-0.1469,0.0527,0.078,0.9417,-0.0488,-0.0371,0.2199,-0.7246,-0.0313,-0.0972,-0.0097,-0.2503
