Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},0.1755,0.042,0.1323,0.0439,-0.1754,0.1851,0.0953,-0.1043,-0.5913,0.4481,0.2305,0.1133
Z_{2},-0.0314,-0.1205,-0.3483,0.0132,-0.184,-0.0031,-0.9229,0.9191,0.1846,0.0157,-0.4708,0.2469
