instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,-90,20,80,0,0,0,0.8,0,100,0,0,0,0,0.008,0,1.079813348647871,22.14568281173706,0
scenario2,90,60,20,0,0,0,0.8,0,100,1,0,0,20,0.00147,0,0.7824614787335468,26.05618572235108,0
scenario3,30,20,100,0,0,0,0.8,0,100,0,0,0,40,0.003,0,1.178384827801325,21.882088661193848,0
scenario4,-30,20,20,0,0,0,0.8,0,100,1,0,0,60,0.0032,0,0.8300798589698954,26.7087631225586,0
scenario5,90,20,100,0,0,0,0.8,0,100,1,0,0,80,0.00299,0,0.8758958317135078,25.87463545799256,0
scenario6,-30,20,100,0,0,0,0.8,0,100,1,0,0,100,0.00353,0,0.8832892013295145,26.77355718612671,0
scenario7,30,20,20,0,0,0,0.8,0,100,0,0,20,0,0.00306,0,1.0713934510047245,21.836800813674927,0
scenario8,-90,60,40,0,0,0,0.8,0,100,1,0,20,20,0.00237,0,0.9205317203756808,26.47806477546692,0
scenario9,30,20,60,0,0,0,0.8,0,100,1,0,20,40,0.00321,0,0.8311070952889168,25.80426335334778,0
scenario10,90,20,60,0,0,0,0.8,0,100,0,0,20,60,0.0029,0,1.1855293122964583,21.62077236175537,0
scenario11,-30,20,60,0,0,0,0.8,0,100,0,0,20,80,0.00309,0,1.065973478240388,21.900643348693848,0
scenario12,-90,20,20,0,0,0,0.8,0,100,0,0,20,100,0.0053,0,1.016731757377929,21.890016555786133,0
scenario13,-90,60,100,0,0,0,0.8,0,100,1,0,40,0,0.00169,0,0.932850016605046,26.586650609970093,0
scenario14,90,60,20,0,0,0,0.8,0,100,0,0,40,20,0.00165,0,1.2022534871982198,21.730202674865723,0
scenario15,60,20,20,0,0,0,0.8,0,100,1,0,40,40,0.00378,0,0.8262418212309063,26.00412106513977,0
scenario16,-60,20,60,0,0,0,0.8,0,100,1,0,40,60,0.00286,0,0.91634182505142,26.537508487701416,0
scenario17,-60,60,40,0,0,0,0.8,0,100,0,0,40,80,0.00145,0,1.0394689742022034,21.903573274612427,0
scenario18,-90,20,20,0,0,0,0.8,0,100,1,0,40,100,0.00528,0,0.8371626679001246,26.561042308807373,0
scenario19,-90,60,100,0,0,0,0.8,0,100,0,0,60,0,0.00175,0,1.0389064102175272,22.01166009902954,0
scenario20,0,40,80,0,0,0,0.8,0,100,0,0,60,20,0.00152,0,1.12934672673668,22.237446546554565,0
scenario21,0,40,40,0,0,0,0.8,0,100,1,0,60,40,0.00173,0,0.942240657107409,26.9575264453888,0
scenario22,30,60,40,0,0,0,0.8,0,100,0,0,60,60,0.00145,0,1.169573791804365,22.144859552383423,0
scenario23,-30,20,100,0,0,0,0.8,0,100,0,0,60,80,0.00343,0,1.0520921670711865,22.14594554901123,0
scenario24,30,20,100,0,0,0,0.8,0,100,1,0,60,100,0.00321,0,0.8998438752833557,25.894933700561523,0
scenario25,90,20,60,0,0,0,0.8,0,100,1,0,80,0,0.0029,0,0.8655296397907649,26.158518075943,0
scenario26,90,20,100,0,0,0,0.8,0,100,0,0,80,20,0.00282,0,1.1649424735300766,21.63235282897949,0
scenario27,-90,20,100,0,0,0,0.8,0,100,1,0,80,40,0.00608,0,0.7976824962632922,26.42511868476868,0
scenario28,0,40,80,0,0,0,0.8,0,100,1,0,80,60,0.00161,0,0.9598127268635228,26.8756902217865,0
scenario29,90,20,20,0,0,0,0.8,0,100,0,0,80,80,0.00404,0,1.1570267523462927,21.71604037284851,0
