instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario63,-60,c2,0,1,2,0,0.8,40,100,60,80,40,60,40,0,4.56987445751802,0
scenario64,-30,c4,2,0,1,0,0.2,60,60,20,40,60,0,20,0,3.020659426641367,0
scenario65,-60,c4,1,2,2,0,0.4,80,80,20,0,40,0,0,0,2.1170406642316943,0
scenario66,60,c1,0,2,1,2,0.1,60,100,80,80,60,100,40,0,3.308370548939976,0
scenario67,0,c4,1,0,2,0,1.0,20,60,80,20,80,100,100,0,9999.0,0
scenario68,30,c1,1,2,0,1,0.2,40,20,80,100,100,100,20,0,2.613599969289766,0
scenario69,-90,c1,0,1,1,2,1.0,60,20,80,40,40,0,80,0,4.2388177714412585,0
scenario70,-30,c1,1,2,0,2,1.0,60,0,100,100,0,80,20,0,1.7821587526597298,0
scenario71,-30,c2,0,1,2,1,0.2,60,20,20,80,60,40,40,0,3.839888611872543,0
scenario72,-30,c1,0,2,1,2,0.8,80,20,0,60,100,20,80,0,2.936990006144129,0
scenario73,0,c2,2,1,0,1,0.6,20,60,0,80,80,40,20,0,0.8076073972807667,0
scenario74,0,c1,1,2,0,1,0.6,20,80,0,100,80,20,0,1,1.53545524237476,1
scenario75,0,c4,2,0,1,2,0.6,20,20,60,60,80,0,60,0,1.5026120246710226,0
scenario76,-60,c4,2,0,1,0,0.1,40,60,60,60,100,80,0,0,2.408407680679099,0
scenario77,0,c2,2,0,0,1,0.8,40,40,40,40,20,40,100,0,1.2341325167860997,0
scenario78,-30,c1,0,1,1,2,0.2,60,20,100,0,60,60,20,0,1.863469028035875,0
scenario79,30,c2,0,1,2,0,0.8,40,20,0,100,40,40,60,0,3.565017132810149,0
scenario80,90,c1,1,2,0,2,0.2,80,60,20,40,100,100,40,0,1.4244165405114564,0
scenario81,-90,c4,1,2,2,0,0.8,20,80,60,40,20,60,40,1,9999.0,1
scenario82,30,c4,1,0,2,0,0.6,60,40,60,100,100,20,40,0,2.384309678052023,0
scenario83,60,c2,0,1,2,1,0.4,40,40,0,100,100,60,20,0,4.224031711711429,0
scenario84,0,c1,0,2,1,2,1.0,40,40,40,0,60,80,100,0,3.0185303976607654,0
scenario85,60,c1,1,2,0,1,0.8,80,60,80,20,100,40,80,0,3.110548875876845,0
scenario86,-30,c2,2,1,0,1,0.2,60,40,100,60,100,0,40,0,0.6874539579848881,0
scenario87,30,c1,0,1,1,2,0.1,40,80,80,20,60,20,20,0,3.042278680894628,0
scenario88,0,c4,2,0,1,2,0.2,60,80,40,40,80,100,20,0,1.5632192463535208,0
scenario89,60,c2,2,0,0,1,0.1,0,0,60,40,60,100,80,1,1.1700270577834633,1
scenario90,30,c1,1,2,0,2,0.2,60,20,60,80,20,40,100,1,1.2534905150371838,1
scenario91,-30,c1,0,2,1,2,0.1,20,40,40,100,80,100,40,0,1.971370974377708,0
scenario92,-90,c2,0,1,2,0,0.2,40,40,20,40,40,100,40,0,4.149360675972543,0
scenario93,-90,c4,2,0,1,0,0.2,60,100,100,40,60,80,0,0,2.36048175222262,0
scenario94,-90,c4,1,2,2,0,0.4,60,100,60,20,20,100,20,1,1.6532966689923545,1
scenario95,-60,c2,0,1,2,1,0.8,0,20,20,80,100,100,60,0,3.685737734564658,0
scenario96,90,c1,1,2,0,1,0.8,40,60,80,60,80,100,60,0,1.2936311647649656,0
scenario97,0,c4,1,0,2,0,0.4,0,20,0,40,0,80,40,0,9999.0,0
scenario98,30,c1,0,1,1,2,0.6,20,100,80,40,20,100,100,0,3.2087953274457672,0
scenario99,60,c2,2,1,0,1,0.2,60,20,40,80,100,60,20,0,0.6681739248482741,0
scenario100,30,c2,2,0,0,1,0.1,60,40,40,100,20,40,100,1,9999.0,1
scenario101,-30,c2,0,1,2,0,1.0,0,100,100,100,20,40,40,0,4.649057872113742,0
scenario102,0,c1,1,2,0,2,0.2,60,60,80,20,40,40,100,0,2.5253253140545366,0
scenario103,-90,c1,0,2,1,2,0.4,40,20,80,100,100,40,80,0,4.24264085708611,0
scenario104,90,c2,0,1,2,1,0.1,80,40,60,80,60,60,20,0,4.384566262153062,0
scenario105,-30,c2,2,1,0,1,0.8,80,80,20,20,60,20,100,1,6.414312694729096,1
