instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario68,c1,1,2,0,2,0.2,20,60,60,60,0,0,100,0,2286.572454554386,0
scenario69,c2,2,0,0,1,0.1,20,20,80,0,60,80,80,0,9999.0,0
scenario70,c1,0,2,1,2,0.4,100,80,100,0,20,40,0,0,2.8146119856707577,0
scenario71,c1,1,2,0,1,0.6,20,0,60,40,100,80,80,0,5.060640094595615,0
scenario72,c1,0,1,1,2,0.4,0,80,60,0,80,20,40,1,0.0,1
scenario73,c2,0,1,2,0,0.4,100,80,20,0,60,80,100,0,3.994110167596281,0
scenario74,c1,1,2,0,2,0.1,0,0,20,40,100,20,80,0,3214.954364038639,0
scenario75,c1,0,2,1,2,0.4,0,20,100,100,40,20,80,0,9999.0,0
scenario76,c1,1,2,0,1,0.6,60,60,20,0,80,20,80,0,5.385007445896385,0
scenario77,c1,0,1,1,2,0.6,0,40,80,80,0,20,80,0,9999.0,0
scenario78,c1,1,2,0,2,0.4,20,40,80,80,0,40,80,0,6.970856382411853,0
scenario79,c1,0,2,1,2,0.1,0,80,100,80,60,80,100,0,9999.0,0
scenario80,c1,1,2,0,1,0.6,60,40,20,100,0,20,100,0,5.194015218006319,0
scenario81,c1,0,1,1,2,0.2,20,20,100,40,20,80,60,0,7.550169449779888,0
scenario82,c1,1,2,0,2,1.0,80,100,40,0,20,100,20,0,2.9235602555358784,0
scenario83,c1,0,2,1,2,1.0,80,100,60,60,20,100,20,0,3.866624383086615,0
scenario84,c1,1,2,0,1,1.0,80,100,80,60,20,100,20,0,4.708150204687271,0
scenario85,c1,0,1,1,2,0.1,80,100,40,60,20,100,20,0,3.803350412640048,0
scenario86,c1,1,2,0,2,1.0,80,80,40,60,20,100,20,0,2.668562432521647,0
scenario87,c1,0,2,1,2,1.0,0,100,40,60,20,100,20,0,9999.0,0
scenario88,c1,1,2,0,1,1.0,80,100,40,60,20,20,20,0,3.0894909099455807,0
scenario89,c1,0,1,1,2,1.0,80,100,40,60,20,40,20,0,3.987855560902142,0
scenario90,c1,1,2,0,2,1.0,80,100,40,60,20,100,80,0,2.8904393087513136,0
scenario91,c1,0,2,1,2,1.0,80,100,40,80,20,100,20,0,4.531997200920494,0
scenario92,c1,1,2,0,1,1.0,80,100,20,60,20,100,20,0,3.580783948402142,0
scenario93,c1,0,1,1,2,0.4,80,100,40,60,20,100,20,0,3.1817668418646896,0
scenario94,c1,1,2,0,2,0.6,80,100,40,60,20,100,20,0,2.6457788662390174,0
scenario95,c1,0,2,1,2,1.0,80,100,40,60,20,100,100,0,5994.825290350518,0
