instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario69,c4,1,2,2,0,40,80,20,100,90,60,80,80,0.2,False,4.144,0
scenario70,c1,1,2,0,1,40,20,0,60,-30,80,20,100,0.8,False,3.694,0
scenario71,c1,1,2,0,1,20,40,20,80,-90,60,20,40,0.6,False,3.882,0
scenario72,c4,2,0,1,0,20,80,80,20,-90,60,60,40,0.2,False,4191.776,0
scenario73,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,5.014,0
scenario74,c4,2,0,1,0,20,80,80,20,-60,40,80,0,0.4,False,4072.119,0
scenario75,c4,2,0,1,0,60,60,0,20,-60,60,20,60,0.1,False,5935.377,0
scenario76,c4,1,2,2,0,20,40,60,60,-60,80,100,80,0.8,False,4.093,0
scenario77,c2,2,1,0,1,40,40,80,100,60,20,80,60,0.2,False,3106.968,0
scenario78,c1,0,2,1,2,60,60,0,0,-60,60,20,0,0.4,False,4.317,0
scenario79,c2,0,1,2,0,0,20,0,100,-30,80,0,60,1.0,False,1.646,0
scenario80,c4,1,0,2,0,20,80,0,100,-30,0,40,20,0.6,False,3.381,0
scenario81,c2,0,1,2,0,40,80,0,60,-60,80,0,60,1.0,True,0.0,1
scenario82,c2,2,1,0,1,100,0,20,0,-30,60,100,60,0.4,False,125.564,0
scenario83,c1,0,2,1,2,100,100,80,20,-60,100,80,40,0.2,False,3.628,0
scenario84,c4,1,2,2,0,80,80,0,60,60,60,0,80,0.4,False,4.464,0
scenario85,c2,0,1,2,0,0,20,0,100,-30,80,0,60,1.0,True,0.0,1
scenario86,c2,2,0,0,1,0,20,0,100,-60,60,20,60,0.8,True,0.0,1
scenario87,c2,2,0,0,1,0,0,20,100,-30,100,20,80,1.0,True,0.0,1
scenario88,c2,0,1,2,0,60,20,0,100,-30,100,20,80,1.0,True,0.0,1
scenario89,c4,2,0,1,0,0,0,0,100,-60,80,20,80,0.8,False,3948.642,0
scenario90,c2,2,1,0,1,0,0,20,100,-30,80,20,80,0.2,True,0.0,1
scenario91,c2,2,0,0,1,0,20,0,100,-60,80,0,40,1.0,True,0.0,1
scenario92,c1,1,2,0,2,0,0,0,0,-30,80,0,60,1.0,False,30.485,0
scenario93,c2,0,1,2,0,20,40,40,100,-30,80,60,60,1.0,False,1.84,0
scenario94,c2,0,1,2,0,0,20,0,100,-30,100,0,60,1.0,False,1.686,0
scenario95,c2,0,1,2,0,20,20,0,100,-30,80,0,60,0.2,True,0.0,1
scenario96,c1,0,1,1,2,0,0,0,80,0,60,0,60,1.0,False,2.01,0
scenario97,c2,0,1,2,0,0,20,0,100,-30,80,0,60,1.0,False,1.711,0
scenario98,c2,0,1,2,0,0,0,0,80,-30,60,20,40,1.0,False,1.714,0
scenario99,c2,2,1,0,1,20,20,20,100,-30,100,40,60,0.8,True,0.0,1
scenario100,c2,0,1,2,0,0,20,20,100,-90,100,0,80,0.8,True,0.0,1
scenario101,c2,0,1,2,0,0,80,0,60,-30,80,0,80,1.0,False,1.828,0
scenario102,c4,1,0,2,0,0,0,0,20,-30,60,0,20,0.1,False,1.835,0
scenario103,c4,2,0,1,2,0,0,0,80,30,40,0,40,0.6,True,0.0,1
scenario104,c2,0,1,2,0,0,0,0,100,0,100,0,80,0.8,False,1.684,0
scenario105,c2,0,1,2,0,40,20,0,100,0,60,20,80,0.8,False,1.844,0
