Row,z_1,z_2
bnd_pnt_1,-6.07084807554351,-0.401132285444226
bnd_pnt_2,-5.92308973570784,-0.139491468099631
bnd_pnt_3,-5.81650382983442,0.626104565393976
bnd_pnt_4,-4.89599301238655,0.439725170916988
bnd_pnt_5,-4.3737703720114,0.704011598873407
bnd_pnt_6,-4.09351103284317,1.55585186669053
bnd_pnt_7,-2.6765877027124,1.41205892027762
bnd_pnt_8,-1.99081430113122,0.301289864514948
bnd_pnt_9,-1.35120554528348,0.364438901310193
bnd_pnt_10,-1.58426498652623,2.14493457178274
bnd_pnt_11,-2.55678426131342,2.58209518988662
bnd_pnt_12,-2.60811958242537,2.91373858928288
bnd_pnt_13,-2.24787454307242,3.48389075502178
bnd_pnt_14,-1.83886961273011,2.70912851930922
bnd_pnt_15,-1.50805483362652,2.49658467380121
bnd_pnt_16,-0.975527658237287,2.43208894773939
bnd_pnt_17,-0.72873576587759,3.20527187284664
bnd_pnt_18,-1.07896470729697,3.47318459711995
bnd_pnt_19,-0.165198517730471,3.71497265362795
bnd_pnt_20,-0.575752751190755,4.44596874231333
bnd_pnt_21,-1.547934889354,4.43825090612999
bnd_pnt_22,-0.782927520409393,5.02901637002996
bnd_pnt_23,-0.544595331038592,5.03621670584256
bnd_pnt_24,0.133365282686506,4.75153625676573
bnd_pnt_25,0.509175652969933,4.44505282134145
bnd_pnt_26,1.43248534577551,3.94507612424086
bnd_pnt_27,1.59904928352219,3.25285172919862
bnd_pnt_28,2.1121933371872,3.02880936437454
bnd_pnt_29,2.61590641047921,2.97490537957318
bnd_pnt_30,3.12118425092861,2.63602125181076
bnd_pnt_31,3.71946189554854,2.5836877951061
bnd_pnt_32,4.40929428599406,2.17361456926485
bnd_pnt_33,4.04347737902254,1.73380869661684
bnd_pnt_34,4.22772400213371,1.25051364692182
bnd_pnt_35,4.6374590114233,1.01633791129862
bnd_pnt_36,5.73231728823604,0.773813753089317
bnd_pnt_37,5.90088766312846,0.376708894233927
bnd_pnt_38,5.68286386397829,0.0675882289444367
bnd_pnt_39,5.67494297874044,-0.189262199218239
bnd_pnt_40,4.79445526503433,-0.0798604707944121
bnd_pnt_41,4.18850590419468,-0.424014695523263
bnd_pnt_42,3.81913083335069,-0.373557972621146
bnd_pnt_43,3.38285855960697,-0.83710750902038
bnd_pnt_44,3.38854423676965,-1.00203509489441
bnd_pnt_45,3.86817248313194,-1.77384427260206
bnd_pnt_46,4.65946423260057,-1.50146884348285
bnd_pnt_47,3.88750631702778,-1.88400682940625
bnd_pnt_48,3.19031201699199,-1.56360485821661
bnd_pnt_49,1.66145511463577,-1.13290658377507
bnd_pnt_50,1.57236040531283,-1.7398951386305
bnd_pnt_51,1.96461046760771,-2.18720028106888
bnd_pnt_52,2.08047790775119,-2.96603181845961
bnd_pnt_53,2.25152287328705,-3.35795255453
bnd_pnt_54,1.72398252070941,-3.1326335278888
bnd_pnt_55,1.43806618072345,-4.02025764482866
bnd_pnt_56,0.815505204450554,-4.18566753146157
bnd_pnt_57,-0.0135401240124678,-4.75281242065669
bnd_pnt_58,0.164550349781193,-4.1253002248734
bnd_pnt_59,-0.25116454706015,-3.62269128797724
bnd_pnt_60,-1.09212798436448,-3.9807251682532
bnd_pnt_61,-1.63752033312711,-3.67722309579947
bnd_pnt_62,-2.1050976466546,-3.78741363854671
bnd_pnt_63,-2.3890501462608,-3.6814524411313
bnd_pnt_64,-2.86868382018684,-2.77867502852062
bnd_pnt_65,-4.20498667392977,-1.92230734696477
bnd_pnt_66,-4.43282460923308,-0.829981769203625
bnd_pnt_67,-5.16392630237455,-0.407608079098713
