Visibility,VehicleStability,RoadSurface,PathInteraction,Wetness,GoalEgo,WindIntensity,TimeOfDay,FogDistance,PrecipitationDeposits,StartOther,Cloudiness,FogDensity,StartEgo,GoalOther,RoadFriction,Precipitation,Min_TTC,Collision_Occurred
0,0,0,c1,0,left,0,-60,0,0,left,0,100,base,base,1,0,1.5771415811219713,False
0,0,0,c2,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.420823258588442,False
0,0,0,c4,0,base,0,-60,0,0,base,0,100,right,left,1,0,0.0,True
0,0,20,c1,0,base,0,-60,0,0,base,0,100,right,right,1,0,1.3723748459461822,False
0,0,20,c2,0,left,0,-60,0,0,left,0,100,base,right,1,0,2.9390671283483414,False
0,0,20,c4,0,right,0,-60,0,0,right,0,100,left,left,1,0,4.006983271321095,False
0,0,40,c1,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.4716417032246512,False
0,0,40,c2,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.425769498236062,False
0,0,40,c4,0,right,0,-60,0,0,base,0,100,left,right,1,0,4.895215977373354,False
0,0,60,c1,0,left,0,-60,0,0,left,0,100,right,base,1,0,2.070535757236854,False
0,0,60,c2,0,base,0,-60,0,0,right,0,100,left,left,1,0,2.7115891118684594,False
0,0,60,c4,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.33970116583713,False
0,0,80,c1,0,base,0,-60,0,0,left,0,100,right,right,1,0,0.9665947423588153,False
0,0,80,c2,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.76122233783954,False
0,0,80,c4,0,base,0,-60,0,0,right,0,100,left,base,1,0,3.251150964275961,False
0,0,100,c1,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.557925397182861,False
0,0,100,c2,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.2322488253391914,False
0,0,100,c4,0,left,0,-60,0,0,right,0,100,base,left,1,0,4.398688427727662,False
0,20,0,c1,0,right,0,-60,0,0,right,0,100,base,left,1,0,1.4416744332054308,False
0,20,0,c2,0,base,0,-60,0,0,right,0,100,left,base,1,0,4.756285395129024,False
0,20,0,c4,0,right,0,-60,0,0,right,0,100,base,left,1,0,2.509708557847568,False
0,20,20,c1,0,base,0,-60,0,0,right,0,100,left,left,1,0,2.9358790052626405,False
0,20,20,c2,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.9276519002357463,False
0,20,20,c4,0,base,0,-60,0,0,base,0,100,right,right,1,0,1.2982162388931882,False
0,20,40,c1,0,base,0,-60,0,0,left,0,100,right,right,1,0,1.1100330758661197,False
0,20,40,c2,0,left,0,-60,0,0,left,0,100,right,base,1,0,3.0756434257126486,False
0,20,40,c4,0,right,0,-60,0,0,left,0,100,base,right,1,0,6.912115582706646,False
0,20,60,c1,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.1129454418270552,False
0,20,60,c2,0,right,0,-60,0,0,left,0,100,base,right,1,0,3.4387072003166503,False
0,20,60,c4,0,right,0,-60,0,0,left,0,100,base,right,1,0,4.328597327603219,False
0,20,80,c1,0,left,0,-60,0,0,left,0,100,base,right,1,0,3.715595780574436,False
0,20,80,c2,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.406399832336569,False
0,20,80,c4,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.699505340650281,False
0,20,100,c1,0,base,0,-60,0,0,base,0,100,left,right,1,0,4.326373913192893,False
0,20,100,c2,0,right,0,-60,0,0,right,0,100,base,left,1,0,1.8436503878468804,False
0,20,100,c4,0,left,0,-60,0,0,left,0,100,right,base,1,0,3.2571610262577773,False
0,40,0,c1,0,right,0,-60,0,0,right,0,100,left,base,1,0,2.267640981894008,False
0,40,0,c2,0,left,0,-60,0,0,left,0,100,base,right,1,0,2.8655240563432454,False
0,40,0,c4,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.5489377946163336,False
0,40,20,c1,0,left,0,-60,0,0,right,0,100,base,left,1,0,2.896140016179511,False
0,40,20,c2,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.9591836488436524,False
0,40,20,c4,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.1906719837333857,False
0,40,40,c1,0,right,0,-60,0,0,right,0,100,left,base,1,0,1.8743446386420612,False
0,40,40,c2,0,left,0,-60,0,0,right,0,100,base,base,1,0,0.0,True
0,40,40,c4,0,left,0,-60,0,0,left,0,100,base,right,1,0,0.6922882471356367,False
0,40,60,c1,0,right,0,-60,0,0,right,0,100,base,left,1,0,2.4344355357515366,False
0,40,60,c2,0,right,0,-60,0,0,left,0,100,base,base,1,0,4.798837216708729,False
0,40,60,c4,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.2270897357306778,False
0,40,80,c1,0,base,0,-60,0,0,base,0,100,left,right,1,0,4.388617803771804,False
0,40,80,c2,0,right,0,-60,0,0,right,0,100,base,left,1,0,1.8781774387245198,False
0,40,80,c4,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.46928379055431,False
0,40,100,c1,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.384309469327357,False
0,40,100,c2,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.472622412407292,False
0,40,100,c4,0,right,0,-60,0,0,base,0,100,left,left,1,0,6.013340618367751,False
0,60,0,c1,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.5953037714064213,False
0,60,0,c2,0,base,0,-60,0,0,base,0,100,right,left,1,0,2.618044586572265,False
0,60,0,c4,0,left,0,-60,0,0,left,0,100,right,base,1,0,3.7331859307844693,False
0,60,20,c1,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.58844453680923,False
0,60,20,c2,0,base,0,-60,0,0,base,0,100,left,right,1,0,4.433115779481209,False
0,60,20,c4,0,right,0,-60,0,0,left,0,100,base,right,1,0,7.740996846910041,False
0,60,40,c1,0,right,0,-60,0,0,right,0,100,left,base,1,0,2.4139411809872673,False
0,60,40,c2,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.996087182573268,False
0,60,40,c4,0,left,0,-60,0,0,right,0,100,base,base,1,0,1.4798095801655051,False
0,60,60,c1,0,right,0,-60,0,0,right,0,100,left,base,1,0,1.476018077560344,False
0,60,60,c2,0,base,0,-60,0,0,right,0,100,left,base,1,0,5.000466926420641,False
0,60,60,c4,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.8672149482870974,False
0,60,80,c1,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.242530955924692,False
0,60,80,c2,0,right,0,-60,0,0,base,0,100,left,left,1,0,5.2714973469313025,False
0,60,80,c4,0,right,0,-60,0,0,base,0,100,left,right,1,0,5.522325127903963,False
0,60,100,c1,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.343629983171097,False
0,60,100,c2,0,base,0,-60,0,0,base,0,100,right,right,1,0,1.1855778613558632,False
0,60,100,c4,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.9395262645658105,False
0,80,0,c1,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.1616720676080634,False
0,80,0,c2,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.180313192094606,False
0,80,0,c4,0,right,0,-60,0,0,right,0,100,base,left,1,0,2.754777710236769,False
0,80,20,c1,0,right,0,-60,0,0,right,0,100,left,base,1,0,2.56793639541815,False
0,80,20,c2,0,right,0,-60,0,0,base,0,100,left,left,1,0,4.796997517338196,False
0,80,20,c4,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.2151624255494673,False
0,80,40,c1,0,right,0,-60,0,0,right,0,100,base,left,1,0,2.1517193439103854,False
0,80,40,c2,0,left,0,-60,0,0,left,0,100,right,base,1,0,2.8025267054130096,False
0,80,40,c4,0,left,0,-60,0,0,right,0,100,base,base,1,0,1.8829156402769733,False
0,80,60,c1,0,base,0,-60,0,0,right,0,100,left,base,1,0,4.9878025852831716,False
0,80,60,c2,0,right,0,-60,0,0,right,0,100,left,base,1,0,2.2366959720392914,False
0,80,60,c4,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.9629610851111886,False
0,80,80,c1,0,left,0,-60,0,0,left,0,100,base,base,1,0,3.5786598445637106,False
0,80,80,c2,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.7370934170418355,False
0,80,80,c4,0,left,0,-60,0,0,left,0,100,base,right,1,0,0.0,True
0,80,100,c1,0,base,0,-60,0,0,left,0,100,right,right,1,0,1.0697760371261882,False
0,80,100,c2,0,left,0,-60,0,0,right,0,100,base,base,1,0,0.0,True
0,80,100,c4,0,left,0,-60,0,0,left,0,100,base,right,1,0,0.0,True
0,100,0,c1,0,right,0,-60,0,0,right,0,100,left,left,1,0,0.8234256154291435,False
0,100,0,c2,0,left,0,-60,0,0,right,0,100,base,base,1,0,0.0,True
0,100,0,c4,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.2732629249432725,False
0,100,20,c1,0,right,0,-60,0,0,left,0,100,base,base,1,0,2.843333771466047,False
0,100,20,c2,0,right,0,-60,0,0,base,0,100,left,left,1,0,3.34576733471111,False
0,100,20,c4,0,right,0,-60,0,0,right,0,100,base,left,1,0,3.0029907002141463,False
0,100,40,c1,0,base,0,-60,0,0,base,0,100,right,left,1,0,0.5355322958648641,False
0,100,40,c2,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.9571960721993683,False
0,100,40,c4,0,right,0,-60,0,0,base,0,100,left,left,1,0,5.078310441528146,False
0,100,60,c1,0,right,0,-60,0,0,right,0,100,base,left,1,0,2.3475789021705924,False
0,100,60,c2,0,right,0,-60,0,0,right,0,100,base,left,1,0,1.9122531539573988,False
0,100,60,c4,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.337358716360361,False
0,100,80,c1,0,base,0,-60,0,0,base,0,100,right,left,1,0,1.0639457334983937,False
0,100,80,c2,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.2132531653365632,False
0,100,80,c4,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.4292929148528164,False
0,100,100,c1,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.15636756640416,False
0,100,100,c2,0,left,0,-60,0,0,left,0,100,base,right,1,0,3.380592375022384,False
0,100,100,c4,0,left,0,-60,0,0,right,0,100,base,base,1,0,1.5117809622063743,False
20,0,0,c1,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.512716873875882,False
20,0,0,c2,0,right,0,-60,0,0,base,0,100,left,left,1,0,2.916192514318277,False
20,0,0,c4,0,base,0,-60,0,0,base,0,100,right,left,1,0,1.7592961652331105,False
20,0,20,c1,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.119684866090355,False
20,0,20,c2,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.9354393533418931,False
20,0,20,c4,0,base,0,-60,0,0,right,0,100,left,base,1,0,1.9253804756155861,False
20,0,40,c1,0,right,0,-60,0,0,right,0,100,left,left,1,0,0.7957581160777065,False
20,0,40,c2,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.6375248065742305,False
20,0,40,c4,0,base,0,-60,0,0,base,0,100,left,right,1,0,6.323107510566403,False
20,0,60,c1,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.2876970003877806,False
20,0,60,c2,0,right,0,-60,0,0,right,0,100,base,left,1,0,1.945966404898262,False
20,0,60,c4,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.1772785075526437,False
20,0,80,c1,0,right,0,-60,0,0,right,0,100,left,left,1,0,0.8908926840216085,False
20,0,80,c2,0,right,0,-60,0,0,right,0,100,left,left,1,0,0.8044496649253869,False
20,0,80,c4,0,base,0,-60,0,0,base,0,100,right,left,1,0,0.0,True
20,0,100,c1,0,right,0,-60,0,0,base,0,100,left,left,1,0,3.699318420989951,False
20,0,100,c2,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.2105567274729996,False
20,0,100,c4,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.325890723614757,False
20,20,0,c1,0,base,0,-60,0,0,base,0,100,right,left,1,0,0.8585981068909473,False
20,20,0,c2,0,base,0,-60,0,0,right,0,100,left,base,1,0,5.195227570779723,False
20,20,0,c4,0,base,0,-60,0,0,left,0,100,right,base,1,0,2.170175369071871,False
20,20,20,c1,0,base,0,-60,0,0,left,0,100,right,right,1,0,1.097671590016029,False
20,20,20,c2,0,right,0,-60,0,0,left,0,100,base,right,1,0,1.4801621657023785,False
20,20,20,c4,0,base,0,-60,0,0,left,0,100,right,base,1,0,1.6560610928057145,False
20,20,40,c1,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.433234530264114,False
20,20,40,c2,0,left,0,-60,0,0,left,0,100,base,base,1,0,2.922004503500804,False
20,20,40,c4,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.252956754225833,False
20,20,60,c1,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.3868402830471958,False
20,20,60,c2,0,base,0,-60,0,0,base,0,100,right,left,1,0,0.0,True
20,20,60,c4,0,left,0,-60,0,0,left,0,100,base,right,1,0,0.6044548391720079,False
20,20,80,c1,0,right,0,-60,0,0,left,0,100,base,right,1,0,2.114030783062997,False
20,20,80,c2,0,base,0,-60,0,0,base,0,100,left,right,1,0,4.588452121886465,False
20,20,80,c4,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.2779049016600648,False
20,20,100,c1,0,right,0,-60,0,0,right,0,100,left,base,1,0,3.220201507790355,False
20,20,100,c2,0,left,0,-60,0,0,left,0,100,base,right,1,0,2.7360054608063207,False
20,20,100,c4,0,base,0,-60,0,0,base,0,100,left,right,1,0,5.669359897269741,False
20,40,0,c1,0,left,0,-60,0,0,right,0,100,base,left,1,0,3.420909150009728,False
20,40,0,c2,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.1843656865080323,False
20,40,0,c4,0,left,0,-60,0,0,left,0,100,base,base,1,0,4.112196728135952,False
20,40,20,c1,0,right,0,-60,0,0,base,0,100,left,right,1,0,3.1212483775511877,False
20,40,20,c2,0,left,0,-60,0,0,right,0,100,base,base,1,0,1.6115711052262105,False
20,40,20,c4,0,right,0,-60,0,0,base,0,100,left,left,1,0,7.875227414616097,False
20,40,40,c1,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.1898223589472412,False
20,40,40,c2,0,base,0,-60,0,0,left,0,100,right,right,1,0,1.0597473639384352,False
20,40,40,c4,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.1520476816844527,False
20,40,60,c1,0,base,0,-60,0,0,base,0,100,left,right,1,0,4.339902680045617,False
20,40,60,c2,0,base,0,-60,0,0,left,0,100,right,base,1,0,1.4136256064900126,False
20,40,60,c4,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.9318810131524822,False
20,40,80,c1,0,right,0,-60,0,0,right,0,100,base,left,1,0,1.9617577280174672,False
20,40,80,c2,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.0916621896691368,False
20,40,80,c4,0,right,0,-60,0,0,left,0,100,base,base,1,0,3.4902314505657626,False
20,40,100,c1,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.670833060828444,False
20,40,100,c2,0,left,0,-60,0,0,left,0,100,right,base,1,0,6.922287147790381,False
