Visibility,VehicleStability,RoadSurface,PathInteraction,GoalOther,Wetness,GoalEgo,FogDensity,TimeOfDay,WindIntensity,FogDistance,Cloudiness,StartOther,Precipitation,PrecipitationDeposits,StartEgo,RoadFriction,Min_TTC,Collision_Occurred
0,60,60,c2,base,20,base,0,-90,40,100,20,left,20,20,right,0.8,2.797861886752181,False
0,60,60,c4,base,20,left,20,-30,20,80,40,right,20,20,base,0.6,1.4420963618092304,False
0,60,80,c1,right,80,right,20,-90,20,60,80,left,60,80,base,0.1,2.6570233850446936,False
0,60,80,c2,base,0,right,40,-90,80,40,60,right,0,0,left,1.0,3.332819637523772,False
0,60,80,c4,right,40,base,80,-90,20,0,60,base,40,60,right,0.1,1.145276390850953,False
0,60,100,c1,base,0,left,60,90,40,20,0,right,0,20,base,0.8,1.6756637389212368,False
0,60,100,c2,right,40,left,20,60,40,60,40,base,40,40,right,0.4,1.0646291462943092,False
0,60,100,c4,base,80,right,0,30,40,80,100,right,100,100,left,0.1,4.532033198408032,False
0,80,0,c1,base,0,right,80,-30,0,20,0,left,20,20,base,0.8,4.116391941618521,False
0,80,0,c2,base,20,right,0,-90,40,80,60,right,20,20,base,0.8,2.0099157691268537,False
0,80,0,c4,right,40,left,20,60,80,100,60,left,40,20,base,0.2,1.8527027227047306,False
0,80,20,c1,right,20,left,60,-90,60,20,80,base,20,0,right,0.8,1.125698451463419,False
0,80,20,c2,left,0,left,20,30,40,60,60,base,40,20,right,1.0,3.0832326327712734,False
0,80,20,c4,right,0,left,20,0,40,60,40,left,20,40,base,0.4,1.8512308783666185,False
0,80,40,c1,base,80,left,20,30,20,40,80,right,100,100,base,0.1,1.8613339027927518,False
0,80,40,c2,left,20,right,20,-90,20,40,60,base,20,40,left,1.0,4.902663225262073,False
0,80,40,c4,base,20,right,60,-30,20,40,20,right,20,40,base,0.2,1.4670580960248336,False
0,80,60,c1,left,0,right,0,30,20,100,40,base,40,20,left,1.0,3.7752024231180226,False
0,80,60,c2,right,20,base,40,90,0,60,40,left,20,40,right,0.6,0.8211082163390916,False
0,80,60,c4,left,40,base,40,-90,20,60,60,base,60,60,right,0.2,0.0,True
0,80,80,c1,base,0,right,60,30,100,40,40,left,0,20,base,0.8,4.965048355996026,False
0,80,80,c2,left,20,left,40,-60,60,60,0,right,0,0,base,1.0,2.9385414623951776,False
0,80,80,c4,right,20,left,40,60,0,20,100,base,80,60,right,0.6,1.3281768081652097,False
0,80,100,c1,base,0,left,40,-30,60,40,40,left,20,20,base,1.0,1.0618747639121302,False
0,80,100,c2,base,40,left,60,-30,0,20,60,left,40,60,right,0.4,1.9785412577206096,False
0,80,100,c4,base,0,right,40,-30,20,60,80,right,20,20,left,0.8,4.434383066679898,False
0,100,0,c1,left,100,right,20,0,40,40,60,right,80,80,base,0.1,2.343694426059109,False
0,100,0,c2,right,20,base,20,-30,20,40,20,base,20,40,left,0.8,4.833940529256011,False
0,100,0,c4,base,0,right,20,-90,100,100,60,left,20,20,base,0.8,3.3456755011574693,False
0,100,20,c1,base,40,right,20,30,80,100,60,right,60,40,base,0.6,1.9297533435980037,False
0,100,20,c2,left,0,left,40,-90,20,20,80,base,20,0,right,1.0,3.5159208224918954,False
0,100,20,c4,base,20,right,60,-90,40,60,80,right,20,20,base,0.8,1.9137362608691766,False
0,100,40,c1,left,40,base,0,0,20,100,60,base,40,40,right,0.2,2.5805331439841828,False
0,100,40,c2,right,60,left,20,0,40,80,40,base,60,80,right,0.1,1.7663845240439944,False
0,100,40,c4,left,0,base,20,30,40,80,80,right,20,20,left,1.0,1.1112188034743558,False
0,100,60,c1,left,0,left,60,90,20,40,0,right,20,0,base,1.0,3.097366582087475,False
0,100,60,c2,base,40,left,40,30,40,80,100,right,40,40,base,0.4,1.7489331826815762,False
0,100,60,c4,left,80,base,40,0,20,60,80,right,80,80,left,0.1,1.06256772288425,False
0,100,80,c1,base,20,base,20,0,20,40,40,right,60,60,left,0.2,4.629444231191674,False
0,100,80,c2,right,20,base,40,30,40,20,80,base,80,80,left,0.1,5.172853443612451,False
0,100,80,c4,right,40,left,20,-30,60,80,40,left,40,40,base,0.1,0.0,True
0,100,100,c1,right,40,base,20,0,80,80,20,base,20,20,right,0.6,1.1915940575373085,False
0,100,100,c2,right,40,left,20,30,60,60,60,left,40,40,base,0.4,2.0695990558146686,False
0,100,100,c4,left,60,base,0,0,100,100,80,base,60,60,left,0.1,3.643619560096763,False
20,0,0,c1,right,40,right,40,-30,20,60,60,left,60,80,base,0.2,0.0,True
20,0,0,c2,base,40,right,40,90,60,40,40,left,20,20,base,0.6,4.8053105426487726,False
20,0,0,c4,right,40,right,80,60,0,0,40,left,40,60,base,0.2,6.283224996747921,False
20,0,20,c1,left,40,base,0,-60,40,100,40,base,60,60,right,0.1,2.6101479579209843,False
20,0,20,c2,base,20,right,0,-30,20,80,60,left,60,80,base,0.4,4.148414295179244,False
20,0,20,c4,right,40,right,20,30,20,80,80,base,40,20,left,0.8,4.8050946588797165,False
20,0,40,c1,left,20,left,80,30,20,20,20,right,0,0,base,1.0,3.3429901032346896,False
20,0,40,c2,base,80,base,0,0,40,100,100,left,80,100,right,0.1,4.008371048015153,False
20,0,40,c4,right,0,base,40,-90,80,60,0,base,20,20,right,0.8,1.452045407169134,False
20,0,60,c1,left,0,base,80,60,0,20,100,base,20,20,right,1.0,0.0,True
20,0,60,c2,base,60,left,40,30,60,40,100,left,100,100,base,0.1,3.3475529117105842,False
20,0,60,c4,base,40,left,20,-90,20,20,60,right,40,40,base,0.6,1.4339891739957507,False
20,0,80,c1,left,40,right,20,-90,20,40,60,base,40,40,left,0.4,5.523157945799991,False
20,0,80,c2,right,20,right,20,-90,40,80,60,left,20,0,base,1.0,3.9459723511270335,False
20,0,80,c4,left,20,base,80,-90,40,0,80,base,20,40,left,0.8,4.029325676225607,False
20,0,100,c1,base,80,left,0,60,40,100,80,right,100,80,base,0.1,1.937072623883295,False
20,0,100,c2,right,20,left,60,-60,0,40,60,left,40,40,base,0.4,3.241900679729208,False
20,0,100,c4,right,20,base,80,-90,20,40,40,base,20,20,right,0.8,1.1276679956249969,False
20,20,0,c1,right,0,left,60,60,20,60,0,left,20,20,right,1.0,0.8209229217395797,False
20,20,0,c2,right,0,base,60,-90,80,60,0,base,0,20,left,0.6,3.990359170950969,False
20,20,0,c4,base,0,base,40,30,60,80,100,right,20,20,left,1.0,3.8768976722731985,False
20,20,20,c1,base,60,left,60,90,0,20,60,left,60,60,right,0.2,3.8743376080748617,False
20,20,20,c2,base,0,base,20,0,40,100,40,left,40,40,right,0.8,1.6774042209458615,False
20,20,20,c4,right,0,base,80,30,40,20,80,left,20,20,right,0.8,0.0,True
20,20,40,c1,left,20,base,0,-90,40,100,60,base,40,60,left,0.6,2.9330372431116345,False
20,20,40,c2,left,20,right,60,0,0,0,20,right,20,20,left,0.8,0.8592064159185843,False
20,20,40,c4,base,40,base,20,-90,80,100,20,left,40,40,right,0.6,2.783205251581025,False
20,20,60,c1,base,0,right,20,0,20,80,60,right,40,40,left,1.0,3.276077551482554,False
20,20,60,c2,base,40,right,20,-30,20,80,60,left,60,60,base,0.2,2.910857942162223,False
20,20,60,c4,base,20,left,60,30,40,60,80,left,40,40,base,1.0,3.5974124804194463,False
20,20,80,c1,right,20,right,80,0,0,40,40,base,40,40,left,0.6,3.2230336161504995,False
20,20,80,c2,base,40,left,60,30,20,20,80,left,80,80,right,0.1,4.031869445722375,False
20,20,80,c4,left,60,base,60,0,0,40,40,base,40,40,right,0.1,0.0,True
20,20,100,c1,left,20,base,40,90,60,80,20,right,0,0,left,1.0,3.5622349010875296,False
20,20,100,c2,left,80,left,40,30,40,60,60,base,80,100,right,0.1,3.363245054864783,False
20,20,100,c4,left,40,right,20,30,80,60,60,right,40,40,left,0.1,0.815849727143128,False
20,40,0,c1,base,0,left,40,-30,0,40,60,right,20,40,base,0.6,1.927077924370904,False
20,40,0,c2,right,100,base,0,-90,20,100,80,base,100,100,left,0.1,4.696022471886862,False
20,40,0,c4,right,40,right,40,-90,60,20,60,left,40,40,base,0.4,4.96891613407401,False
20,40,20,c1,right,40,base,0,0,100,100,80,base,40,20,right,0.6,1.1353638602577172,False
20,40,20,c2,right,40,left,40,60,20,60,40,left,20,20,base,0.6,3.082898041536265,False
20,40,20,c4,right,20,right,60,-60,0,0,40,left,20,0,base,1.0,5.129561645365306,False
20,40,40,c1,left,60,base,20,30,80,60,60,base,60,60,right,0.1,3.740062179699384,False
20,40,40,c2,left,40,right,40,30,60,60,40,right,20,20,left,0.4,0.8757606753978934,False
20,40,40,c4,base,40,right,20,0,40,40,100,right,80,80,base,0.1,1.9526160283072267,False
20,40,60,c1,left,40,left,40,-60,0,40,80,right,40,60,base,0.4,2.7174497256677483,False
20,40,60,c2,left,40,base,60,60,40,20,60,right,20,20,left,0.8,4.3190179010358065,False
20,40,60,c4,left,60,base,20,0,20,60,60,base,60,80,left,0.1,3.7600148859127254,False
20,40,80,c1,base,20,right,100,0,20,0,60,right,20,0,left,0.8,1.960325627619821,False
20,40,80,c2,base,20,right,40,-60,80,60,20,right,0,0,left,1.0,2.818949830878728,False
20,40,80,c4,base,40,right,60,-30,40,0,60,right,40,40,base,0.4,1.9374726595117846,False
20,40,100,c1,base,40,right,40,30,20,40,60,right,40,40,base,0.6,1.1883943908264545,False
20,40,100,c2,base,20,right,40,90,20,40,40,left,40,20,base,0.8,4.439694177496807,False
20,40,100,c4,base,0,right,40,30,20,60,40,left,20,20,base,1.0,3.4698100767221187,False
20,60,0,c1,left,60,right,40,30,40,60,20,right,40,40,left,0.1,1.0066317004851015,False
20,60,0,c2,left,20,base,60,-90,60,40,40,base,20,0,left,1.0,2.7214638359620023,False
20,60,0,c4,right,60,base,60,-90,20,20,80,base,80,100,right,0.1,1.1063108972679094,False
20,60,20,c1,right,0,left,100,-90,0,0,60,left,40,40,right,1.0,0.9077574033088817,False
20,60,20,c2,left,40,left,40,60,20,60,40,base,20,20,right,0.6,3.5768795888382194,False
20,60,20,c4,right,20,left,20,90,60,60,80,left,40,20,right,0.4,0.9344377316757437,False
20,60,40,c1,right,40,right,80,-30,20,20,20,left,20,20,base,0.8,2.411947287916758,False
20,60,40,c2,right,20,base,20,-60,20,20,0,left,20,20,right,0.8,0.8631173174484498,False
20,60,40,c4,left,0,right,60,60,0,40,40,base,20,40,left,0.8,5.988490293709163,False
20,60,60,c1,right,40,base,0,-90,40,100,60,left,40,20,right,0.6,0.8409613328873227,False
20,60,60,c2,base,0,base,100,90,20,0,20,right,0,20,left,0.8,3.7123573422109617,False
20,60,60,c4,base,40,left,40,-90,20,20,40,right,40,40,base,0.1,1.6953999153617658,False
20,60,80,c1,base,20,base,80,0,20,20,20,left,20,40,right,0.2,2.625912114232868,False
20,60,80,c2,base,20,left,40,0,0,40,80,left,20,0,base,1.0,2.9900395002661893,False
20,60,80,c4,left,40,left,60,-60,40,0,40,right,40,40,base,0.4,3.339179956119485,False
20,60,100,c1,right,40,right,60,-90,40,20,20,left,20,40,base,0.8,2.643975374490378,False
20,60,100,c2,left,20,base,20,30,80,80,80,base,40,20,right,1.0,2.1464732627939576,False
20,60,100,c4,left,0,base,80,-90,0,0,60,base,20,40,right,0.8,2.1629028914687196,False
20,80,0,c1,base,80,right,60,30,40,60,80,right,80,80,base,0.1,1.3665046648339134,False
20,80,0,c2,left,60,right,20,0,60,100,80,right,60,60,left,0.2,0.982310048796378,False
20,80,0,c4,left,40,base,0,60,20,80,60,right,60,60,left,0.4,1.2274712196954252,False
20,80,20,c1,base,40,right,40,-60,0,20,60,right,40,40,left,0.2,1.358668151984135,False
20,80,20,c2,right,20,left,60,-90,0,20,60,base,20,40,right,0.8,1.131752430672934,False
20,80,20,c4,left,60,left,20,-30,20,60,80,right,60,40,base,0.2,4.682667888998617,False
20,80,40,c1,right,20,right,40,-90,20,80,60,left,40,60,base,0.6,2.045273499249671,False
20,80,40,c2,right,40,left,40,-90,20,20,40,base,60,60,right,0.2,1.4722251896312257,False
20,80,40,c4,base,60,base,60,30,40,40,60,right,40,60,left,0.1,2.6873735598258017,False
20,80,60,c1,base,60,right,40,30,20,80,80,left,60,60,base,0.1,3.1274650482412882,False
20,80,60,c2,left,40,base,20,0,80,60,40,right,40,20,left,1.0,2.508772062946031,False
20,80,60,c4,base,20,base,0,30,80,100,60,left,20,0,right,0.8,5.748827718810683,False
20,80,80,c1,right,40,base,40,60,40,40,40,left,20,20,right,0.6,2.3047932854752977,False
20,80,80,c2,right,0,left,20,90,60,100,60,left,0,0,base,1.0,2.7269463489059897,False
20,80,80,c4,base,40,right,40,-30,60,40,20,right,20,40,left,0.6,4.787513645016828,False
20,80,100,c1,right,40,left,0,-60,40,100,40,left,40,20,right,0.4,1.0026998847213895,False
20,80,100,c2,right,60,base,0,-90,40,100,80,base,60,40,left,0.4,5.019065051178361,False
20,80,100,c4,left,20,right,60,-30,20,0,20,right,40,60,left,0.2,1.0378110403657337,False
20,100,0,c1,left,40,left,60,90,20,40,40,right,40,40,base,0.2,3.335838669750244,False
20,100,0,c2,right,20,left,20,30,100,100,40,left,20,20,base,0.8,2.7558664115665543,False
20,100,0,c4,base,0,base,40,-30,40,80,40,right,20,20,left,0.8,3.453016249851143,False
20,100,20,c1,right,20,right,40,30,0,60,80,left,60,80,base,0.1,2.704984274292569,False
