instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c2,2,0,0,1,0.4,100,20,20,60,40,0,100,0,9999.0,0
scenario2,c1,0,2,1,2,0.2,40,100,100,80,60,60,60,0,4.664635728587419,0
scenario3,c2,0,1,2,0,0.4,20,0,40,0,80,20,40,0,4.233574150710056,0
scenario4,c4,2,0,1,0,1.0,0,40,60,60,20,100,0,0,3.3075844918416144,0
scenario5,c1,1,2,0,2,0.1,80,60,80,40,0,80,20,0,3.07369624258427,0
scenario6,c2,0,1,2,1,0.6,60,80,60,20,100,40,80,0,9.329521646360368,0
scenario7,c1,1,2,0,2,0.4,60,40,0,20,60,80,0,0,3.039540431163872,0
scenario8,c4,1,0,2,0,0.8,40,100,80,20,80,0,20,1,0.0,1
scenario9,c2,0,1,2,1,0.2,0,80,0,100,0,20,100,0,4.054782319800309,0
scenario10,c1,0,1,1,2,0.8,80,20,100,0,40,100,80,0,4.565019281467629,0
scenario11,c1,0,2,1,2,1.0,100,0,20,100,100,60,20,0,4.318449991829945,0
scenario12,c2,0,1,2,1,1.0,80,80,40,40,60,0,40,0,4.466473317453535,0
scenario13,c4,2,0,1,0,0.6,20,60,0,40,20,60,80,0,3.030362943466008,0
scenario14,c4,1,2,2,0,0.1,100,100,100,100,20,40,40,1,0.0,1
scenario15,c2,2,1,0,1,1.0,60,60,80,60,80,20,60,0,2.7588081617454536,0
scenario16,c2,0,1,2,1,0.1,0,0,40,20,40,80,60,0,4.019783340072655,0
scenario17,c2,2,0,0,1,0.2,40,60,40,100,100,100,0,0,2.911179641867417,0
scenario18,c1,0,2,1,2,0.8,0,40,20,40,80,40,100,0,9999.0,0
scenario19,c1,1,2,0,2,0.6,20,20,60,80,40,20,20,0,3.360194668398054,0
scenario20,c2,2,0,0,1,0.4,0,80,80,0,60,60,20,0,3.524287787421637,0
scenario21,c1,1,2,0,1,0.8,20,80,100,60,20,80,20,0,4.021530004255545,0
scenario22,c1,0,2,1,2,0.6,100,40,40,80,0,0,80,0,4.367100892586603,0
scenario23,c4,2,0,1,0,0.8,60,0,80,80,100,100,40,0,3.4672042637226443,0
scenario24,c2,0,1,2,0,0.1,40,100,20,60,60,20,80,0,4.001305650859158,0
scenario25,c2,0,1,2,0,0.2,80,40,100,20,40,60,40,0,2.055888834191336,0
scenario26,c2,2,0,0,1,1.0,80,100,0,0,40,40,0,0,2.115068257482261,0
scenario27,c4,1,0,2,0,0.1,40,20,0,0,0,100,60,1,0.0,1
scenario28,c4,2,0,1,0,1.0,40,20,80,80,20,80,100,0,3.4231134218946666,0
scenario29,c1,0,1,1,2,0.4,80,80,20,80,20,40,60,0,4.425478783359193,0
scenario30,c1,1,2,0,1,0.1,20,40,60,100,100,0,60,0,4.142990540614042,0
scenario31,c1,1,2,0,2,0.2,60,0,60,0,0,60,100,0,5.5401573591066535,0
scenario32,c4,2,0,1,2,0.6,40,0,100,60,0,40,0,0,0.8706758155435402,0
scenario33,c2,0,1,2,1,0.4,100,20,100,40,100,20,0,1,0.0,1
scenario34,c1,1,2,0,2,0.6,0,20,20,100,80,80,40,0,5.3260814270761605,0
scenario35,c4,1,2,2,0,0.2,100,60,80,0,80,80,80,1,0.0,1
