instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-90,c1,0,2,1,2,0.1,100,100,40,20,60,40,0,0,2.252279991654905,0
scenario2,-30,c4,1,0,2,0,0.8,80,0,100,0,20,0,20,0,2.036495263913131,0
scenario3,-90,c2,2,1,0,1,0.6,60,100,20,100,80,20,40,1,8.363238404939993,1
scenario4,-60,c4,1,2,2,0,0.6,20,20,40,80,0,60,100,0,9999.0,0
scenario5,-90,c2,0,1,2,0,1.0,40,60,0,60,100,100,0,0,3.240468600022483,0
scenario6,-30,c4,2,0,1,2,0.4,0,80,80,40,80,100,60,0,2.023224931509554,0
scenario7,0,c2,0,1,2,1,0.2,80,40,60,60,40,20,80,0,4.240025329549071,0
scenario8,60,c4,2,0,1,0,0.1,100,40,0,40,20,20,100,0,1.2221725591246553,0
scenario9,90,c1,1,2,0,1,0.2,60,80,80,0,100,80,100,1,2.598990772095352,1
scenario10,30,c1,1,2,0,2,0.8,0,20,100,100,100,60,0,0,9999.0,0
scenario11,0,c2,2,0,0,1,0.4,20,60,20,20,60,60,80,0,9999.0,0
scenario12,-60,c1,0,1,1,2,0.8,40,0,0,80,40,80,60,1,9999.0,1
scenario13,30,c2,2,0,0,1,0.8,100,80,40,60,0,0,40,1,1.606297608127929,1
scenario14,-60,c1,1,2,0,1,1.0,0,60,60,40,40,40,20,0,1801.918726712288,0
scenario15,0,c4,2,0,1,0,0.4,40,40,40,100,80,80,20,0,2.971707611640173,0
scenario16,-30,c1,1,2,0,2,1.0,20,0,80,80,60,20,40,0,2.6899004932603114,0
scenario17,90,c4,2,0,1,0,0.2,40,20,100,20,20,40,80,0,2.5828217262537274,0
scenario18,-30,c2,0,1,2,1,0.2,40,100,60,100,60,0,60,0,4.119742760408108,0
scenario19,-90,c1,1,2,0,1,0.1,80,40,100,100,0,100,60,0,1.3251615234054888,0
scenario20,0,c1,0,1,1,2,0.6,0,0,20,40,100,0,100,0,3.1854882975590364,0
scenario21,60,c4,1,2,2,0,0.8,60,20,60,20,40,100,40,1,0.9608520510041024,1
scenario22,30,c1,1,2,0,2,1.0,100,100,20,0,20,80,80,0,1.7485819947919123,0
scenario23,-30,c1,0,1,1,2,0.1,80,60,40,0,80,60,40,1,7.01147282702986,1
scenario24,-30,c2,0,1,2,1,0.4,60,40,0,0,0,40,0,0,3.962991118717192,0
scenario25,0,c4,2,0,1,0,1.0,60,100,80,20,0,0,20,0,2.012401787733587,0
scenario26,-30,c2,2,0,0,1,0.6,20,20,60,0,100,100,80,0,1.4211631736990644,0
scenario27,60,c1,0,1,1,2,0.2,60,80,20,80,20,60,20,1,5.961554484788198,1
scenario28,-30,c4,2,0,1,0,0.6,0,60,100,60,60,80,100,1,4.009804834028655,1
scenario29,-90,c4,1,2,2,0,0.4,0,0,80,100,40,40,80,0,9999.0,0
scenario30,-30,c2,0,1,2,0,0.2,100,20,20,40,40,80,0,0,4.13939407397459,0
scenario31,0,c2,0,1,2,1,0.8,0,60,0,100,20,20,60,0,4.719982722048449,0
scenario32,0,c2,0,1,2,1,1.0,100,0,100,40,80,60,40,0,4.148921540213052,0
scenario33,90,c2,0,1,2,0,0.4,20,100,40,20,100,20,60,0,3.9529999162292286,0
scenario34,0,c4,2,0,1,2,0.1,20,100,100,0,40,100,0,0,2.4909134349302966,0
scenario35,30,c4,1,0,2,0,0.1,80,80,60,80,80,40,100,0,1.4509604494805353,0
scenario36,30,c1,1,2,0,2,0.6,40,80,100,40,60,20,20,0,1.6483643709507398,0
scenario37,90,c1,1,2,0,2,0.1,60,20,0,60,80,0,60,0,0.9356462172187658,0
scenario38,-60,c2,2,1,0,1,0.4,80,80,80,80,100,0,0,0,1.0790458980897573,0
scenario39,-30,c2,0,1,2,1,0.1,20,80,100,80,0,80,80,0,3.717128185757372,0
scenario40,90,c2,0,1,2,1,1.0,80,0,0,20,60,100,100,0,4.4439885114082776,0
scenario41,30,c2,0,1,2,0,0.6,60,60,80,40,20,40,40,0,3.835437043108939,0
scenario42,60,c2,0,1,2,1,0.6,100,60,20,80,100,100,60,0,4.372793403421426,0
scenario43,90,c1,0,2,1,2,0.6,100,40,80,60,40,60,20,0,3.608503127603361,0
scenario44,-90,c4,2,0,1,2,0.4,100,20,60,100,100,0,20,0,1.9770286277065847,0
scenario45,-60,c1,0,2,1,2,0.8,40,60,80,0,0,20,80,0,1.638619086985389,0
scenario46,0,c4,2,0,1,0,0.6,60,0,40,0,60,60,60,0,3.4236567420544373,0
scenario47,60,c1,1,2,0,2,0.4,0,100,0,0,60,80,40,0,9999.0,0
scenario48,60,c4,2,0,1,0,0.2,0,0,60,0,80,20,0,0,2.059814752581956,0
scenario49,60,c1,1,2,0,2,1.0,0,40,40,40,0,60,80,0,9999.0,0
scenario50,0,c1,1,2,0,2,0.2,80,20,40,80,60,100,20,0,1.361314812201642,0
scenario51,0,c1,1,2,0,2,0.2,100,60,60,0,0,40,100,0,2.849522491055901,0
scenario52,30,c1,1,2,0,2,0.4,60,0,40,100,20,100,100,0,0.6705515700265928,0
scenario53,30,c1,0,1,1,2,1.0,60,40,100,20,80,80,0,0,1.3709976778341617,0
scenario54,-60,c4,1,0,2,0,1.0,0,20,20,0,0,0,60,0,9999.0,0
scenario55,60,c2,2,0,0,1,0.6,40,40,100,0,40,0,40,1,1.6121622569000065,1
scenario56,-60,c4,2,0,1,2,0.8,80,40,20,100,60,40,40,0,3.0288011860898543,0
scenario57,0,c2,2,0,0,1,0.1,100,0,0,60,100,80,20,0,1.1707892887217055,0
scenario58,-30,c4,2,0,1,0,1.0,0,80,0,0,40,60,100,0,1.29393152549477,0
scenario59,60,c2,2,0,0,1,0.8,20,100,80,60,20,40,0,0,2.5494328211583364,0
scenario60,60,c2,0,1,2,1,0.2,20,60,40,20,40,80,20,0,4.282103664929447,0
scenario61,60,c4,1,2,2,0,0.2,100,100,80,80,80,0,80,0,1.940909295202781,0
