instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,0,40,0,60,40,-90,0,60,80,0.8,False,1.502,0
scenario2,1,40,0,20,20,-30,80,40,100,0.2,False,0.837,0
scenario3,0,0,60,0,80,0,0,0,40,1.0,False,1.371,0
scenario4,1,0,0,0,100,-60,20,0,40,0.6,False,0.761,0
scenario5,1,40,60,0,40,-30,80,60,20,0.8,False,0.904,0
scenario6,1,0,60,100,80,0,100,80,100,1.0,False,0.849,0
scenario7,1,80,100,60,40,30,0,100,20,1.0,False,0.861,0
scenario8,0,60,100,40,20,-30,40,80,60,0.1,False,1.481,0
scenario9,1,60,80,40,0,-60,80,0,100,0.4,False,0.956,0
scenario10,0,40,20,60,80,30,100,0,100,0.4,False,1.332,0
scenario11,1,100,100,20,80,0,20,20,80,0.6,False,0.866,0
scenario12,1,60,0,0,20,0,20,0,40,0.4,False,0.916,0
scenario13,1,0,0,0,100,-60,20,0,40,0.6,False,0.998,0
scenario14,1,0,0,20,100,90,40,20,60,0.4,False,1.017,0
scenario15,1,100,0,0,100,-60,40,0,60,0.8,False,0.906,0
scenario16,0,20,0,0,100,-60,0,0,60,0.4,False,1.433,0
scenario17,0,20,0,0,80,-60,0,0,40,0.6,False,1.397,0
scenario18,1,0,80,0,80,-60,20,80,40,0.4,False,0.746,0
scenario19,1,20,20,20,60,-90,20,20,60,0.8,False,1.04,0
scenario20,1,40,20,20,40,-90,0,0,20,0.8,False,0.79,0
scenario21,1,0,20,0,80,-60,0,0,20,0.6,False,0.847,0
scenario22,0,20,0,100,100,-90,40,0,20,0.6,False,1.721,0
scenario23,0,0,0,100,100,-60,20,0,60,0.8,False,1.422,0
scenario24,1,20,0,0,80,-90,40,20,20,0.1,False,1.745,0
scenario25,1,0,80,0,80,-60,20,80,40,0.4,False,0.864,0
scenario26,0,20,0,100,80,-30,60,20,40,0.6,False,1.394,0
scenario27,1,20,0,0,100,-60,20,0,40,0.8,False,0.907,0
scenario28,0,20,0,80,100,-90,40,0,20,0.8,False,1.716,0
scenario29,0,0,0,0,100,30,20,20,60,0.4,False,1.57,0
scenario30,0,0,0,40,100,-90,0,40,60,0.4,False,1.41,0
scenario31,0,80,60,100,100,-90,0,0,60,0.2,False,1.423,0
scenario32,0,0,0,20,60,-60,20,0,20,0.2,False,1.425,0
scenario33,0,20,0,20,40,90,40,20,80,0.8,False,1.457,0
scenario34,0,0,0,20,100,-30,0,0,40,0.4,False,1.415,0
scenario35,1,20,80,80,100,-60,20,0,100,0.8,False,0.952,0
scenario36,1,80,40,80,40,-90,0,0,0,1.0,False,1.012,0
scenario37,1,0,80,0,80,-60,20,80,40,0.4,False,0.77,0
scenario38,0,80,60,100,80,90,0,0,60,0.2,False,1.382,0
scenario39,1,20,0,100,40,60,0,20,80,0.2,False,1.82,0
