Row,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,0,2,1,2,0.4,100,0,60,60,40,100,40
scenario2,2,1,0,1,0.1,40,20,40,80,100,20,60
scenario3,1,0,2,0,0.2,20,80,100,100,0,80,40
scenario4,2,0,1,2,1,0,40,20,0,80,40,60
scenario5,2,1,0,1,0.8,100,100,100,20,20,60,40
scenario6,1,2,2,0,1,20,60,0,40,60,0,60
scenario7,0,1,2,1,0.2,80,0,80,40,20,20,0
scenario8,2,0,1,0,0.6,80,100,0,80,80,100,80
scenario9,0,1,2,1,0.4,60,60,100,0,100,100,100
scenario10,0,1,2,0,0.1,0,40,40,20,60,100,40
scenario11,2,0,1,0,0.2,40,100,60,40,40,40,20
scenario12,1,2,0,2,0.4,0,20,100,60,0,0,80
scenario13,1,2,0,1,0.6,0,80,80,100,100,40,0
scenario14,1,2,2,0,0.8,60,40,80,60,80,60,20
scenario15,1,2,0,2,0.1,100,100,20,100,80,80,100
scenario16,1,2,0,2,0.6,60,60,20,40,20,40,80
scenario17,0,1,1,2,0.4,80,40,0,100,100,0,20
scenario18,2,0,1,2,0.8,20,60,60,100,100,60,80
scenario19,2,0,1,2,0.2,60,80,40,20,80,20,100
scenario20,2,0,1,0,0.6,20,0,100,0,40,20,60
scenario21,2,0,1,0,0.8,0,0,20,80,60,80,0
scenario22,0,1,2,1,0.1,0,100,80,0,20,0,20
scenario23,0,1,2,1,0.1,80,80,0,60,40,60,60
scenario24,1,2,2,0,1,100,20,60,0,20,80,0
scenario25,0,1,2,1,0.8,20,20,40,0,20,40,100
scenario26,2,0,0,1,1,40,80,20,40,0,100,100
scenario27,0,1,2,1,1,100,40,40,100,20,20,80
scenario28,2,0,1,0,0.4,80,60,40,20,40,80,0
scenario29,0,1,2,1,0.6,40,60,40,40,80,60,40
scenario30,2,0,0,1,0.6,100,60,60,20,80,0,20
scenario31,1,2,0,2,0.2,40,40,80,100,40,100,60
scenario32,1,2,0,1,0.4,0,100,0,80,40,20,100
scenario33,1,2,0,2,1,100,0,0,80,0,60,20
scenario34,0,1,2,1,0.4,60,40,60,80,0,40,0
scenario35,2,0,0,1,1,40,0,80,60,80,80,80
scenario36,0,1,1,2,0.6,0,20,20,20,0,20,40
scenario37,0,2,1,2,0.1,20,0,80,20,0,0,0
scenario38,0,1,1,2,0.1,20,60,100,80,80,40,40
scenario39,1,2,0,2,0.4,0,80,60,40,100,80,60
scenario40,2,0,1,0,0.8,80,80,60,80,20,0,100
scenario41,1,2,2,0,0.2,80,60,20,60,20,100,20
