Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario95,0,20,80,0,0,0,0.8,0,100,left,40,60,80,0.00401,0,1.0690063575044189,23.39957356452942,0
scenario96,-30,20,40,0,0,0,0.8,0,100,right,40,60,100,0.00406,0,0.9618654562710176,27.765002727508545,0
scenario97,0,20,40,0,0,0,0.8,0,100,right,40,80,0,0.00385,0,0.9097786036669476,27.56529974937439,0
scenario98,-30,20,40,0,0,0,0.8,0,100,left,40,80,20,0.00403,0,1.124101040194517,23.020050525665283,0
scenario99,60,20,60,0,0,0,0.8,0,100,left,40,80,40,0.00386,0,1.1935180632033138,22.5313663482666,0
scenario100,90,60,100,0,0,0,0.8,0,100,left,40,80,60,0.00148,0,1.1963151277236417,22.2447726726532,0
scenario101,30,20,80,0,0,0,0.8,0,100,right,40,80,80,0.00353,0,0.8468340174506258,27.06825566291809,0
scenario102,30,20,80,0,0,0,0.8,0,100,left,40,80,100,0.00349,0,1.171259574209836,22.753422260284424,0
scenario103,60,20,100,0,0,0,0.8,0,100,left,40,100,0,0.0033,0,1.1270575387418398,22.323335647583008,0
scenario104,30,40,60,0,0,0,0.8,0,100,left,40,100,20,0.00149,0,1.148849500065112,22.575304985046387,0
scenario105,-60,20,80,0,0,0,0.8,0,100,right,40,100,40,0.0033,0,0.7841629314277742,27.70506000518799,0
scenario106,60,40,20,0,0,0,0.8,0,100,right,40,100,60,0.00167,0,0.8353701574925909,26.69298768043518,0
scenario107,-60,20,60,0,0,0,0.8,0,100,left,40,100,80,0.0031,0,1.061464879285512,22.920122861862183,0
scenario108,90,20,80,0,0,0,0.8,0,100,right,40,100,100,0.00303,0,0.7797587615474353,27.008636951446533,0
scenario109,-60,20,100,0,0,0,0.8,0,100,left,60,0,0,0.00351,0,1.0720463443464876,23.07729983329773,0
scenario110,-90,40,60,0,0,0,0.8,0,100,left,60,0,20,0.00304,0,1.0961845572152638,22.65094518661499,0
scenario111,-90,40,40,0,0,0,0.8,0,100,right,60,0,40,0.00311,0,0.7147566401847334,27.60297966003418,0
scenario112,60,20,100,0,0,0,0.8,0,100,right,60,0,60,0.00308,0,0.9105836979300218,26.8528413772583,0
scenario113,90,20,80,0,0,0,0.8,0,100,left,60,0,80,0.00297,0,1.1963548717282455,22.54466986656189,0
scenario114,-30,40,20,0,0,0,0.8,0,100,right,60,0,100,0.00144,0,0.8071040742331875,27.726706504821777,0
scenario115,-90,40,100,0,0,0,0.8,0,100,left,60,20,0,0.00257,0,1.0373781202511958,22.68852090835572,0
scenario116,-90,40,100,0,0,0,0.8,0,100,right,60,20,20,0.00244,0,0.8593997063853922,27.659152507781982,0
scenario117,-90,60,60,0,0,0,0.8,0,100,right,60,20,40,0.00226,0,0.8562189641215274,27.33594346046448,0
scenario118,-90,60,80,0,0,0,0.8,0,100,left,60,20,60,0.00229,0,1.0476690877332135,22.762304544448853,0
scenario119,-90,60,80,0,0,0,0.8,0,100,right,60,20,80,0.00235,0,0.8216495949686683,27.384275436401367,0
scenario120,-90,60,40,0,0,0,0.8,0,100,left,60,20,100,0.0024,0,1.0496897172263109,22.76766967773437,0
scenario121,-90,40,20,0,0,0,0.8,0,100,left,60,40,0,0.00204,0,1.0760983435932951,23.02192068099976,0
scenario122,0,40,60,0,0,0,0.8,0,100,left,60,40,20,0.00164,0,1.119995793293881,24.24540328979492,0
scenario123,-90,60,20,0,0,0,0.8,0,100,right,60,40,40,0.00158,0,0.7927180501820766,27.766308546066284,0
