Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario87,right,100,40,40,40,0,0,60,100,0.2,False,0.799,0
scenario88,left,40,100,60,20,0,20,60,80,0.6,False,1.112,0
scenario89,right,0,100,40,20,30,80,20,0,0.4,False,0.87,0
scenario90,left,40,20,60,0,0,80,100,40,0.4,False,1.086,0
scenario91,right,0,80,100,80,-60,40,80,60,0.1,False,1.074,0
scenario92,left,40,80,80,20,90,40,80,40,0.2,False,1.088,0
scenario93,left,20,40,20,20,0,80,80,40,0.1,False,1.116,0
scenario94,right,40,20,80,20,-60,0,80,80,0.2,False,0.913,0
scenario95,right,100,20,40,20,0,80,40,40,0.8,False,0.843,0
scenario96,left,40,100,80,40,-60,80,0,40,1.0,False,1.089,0
scenario97,right,80,60,20,0,-60,20,80,40,1.0,False,0.799,0
scenario98,right,80,80,20,20,60,0,0,80,0.6,False,0.909,0
scenario99,left,20,100,100,0,-30,80,60,0,0.8,False,1.082,0
scenario100,left,100,60,0,60,-90,0,100,60,0.8,False,2.896,0
scenario101,left,40,40,80,20,-60,40,0,60,1.0,False,0.992,0
scenario102,right,0,100,40,0,-30,80,100,0,0.1,False,0.826,0
scenario103,right,100,100,20,0,90,60,60,20,0.6,False,0.801,0
scenario104,left,20,100,0,0,30,20,80,0,0.1,False,1.146,0
scenario105,right,60,40,100,0,-90,40,20,60,0.2,False,0.989,0
scenario106,right,20,40,100,40,30,40,40,0,0.1,False,0.874,0
scenario107,left,0,20,80,80,60,60,20,100,0.2,False,1.226,0
scenario108,left,100,80,40,40,-90,60,60,60,0.8,False,1.094,0
scenario109,left,60,40,100,60,30,20,100,60,0.6,False,1.095,0
scenario110,right,20,100,60,40,-30,20,100,100,0.6,False,5.603,0
scenario111,right,0,0,40,60,-60,0,0,20,0.4,False,0.878,0
scenario112,left,0,20,0,80,-30,40,0,80,0.8,False,1.074,0
scenario113,left,60,80,100,80,60,60,20,20,0.1,False,1.199,0
scenario114,right,20,0,20,80,60,20,0,40,0.4,False,0.766,0
scenario115,right,40,100,80,0,60,20,40,0,0.8,False,0.893,0
scenario116,left,100,60,20,60,-30,80,80,100,1.0,False,1.062,0
scenario117,left,0,40,0,0,30,100,0,20,0.8,False,1.186,0
scenario118,right,80,20,20,40,90,0,80,100,1.0,False,0.805,0
scenario119,left,40,100,80,60,90,80,20,20,0.1,False,1.182,0
scenario120,right,100,0,80,40,60,0,60,80,0.8,False,0.837,0
scenario121,right,80,40,100,40,60,20,100,40,0.4,False,0.898,0
scenario122,right,20,0,60,60,90,80,20,80,0.8,False,0.847,0
scenario123,left,60,60,80,20,-30,80,80,80,0.1,False,1.051,0
scenario124,right,80,0,40,100,-90,100,40,0,0.2,False,0.755,0
scenario125,left,0,80,60,40,0,100,0,20,0.6,False,1.138,0
scenario126,left,80,60,60,20,30,60,0,40,0.6,False,1.174,0
scenario127,right,0,20,100,100,60,100,0,0,0.2,False,0.802,0
scenario128,left,20,20,80,60,-90,100,20,0,1.0,False,1.11,0
