Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario196,left,0,60,60,80,30,40,0,20,0.4,0,1.090363018962727,0
scenario197,left,0,80,20,80,30,40,0,80,0.4,0,1.0896338201418687,0
scenario198,left,20,100,20,80,30,40,100,20,0.4,0,1.1878501036291989,0
scenario199,left,0,100,80,80,0,40,0,20,0.4,0,1.1009518880186242,0
scenario200,left,0,100,100,80,30,60,0,20,0.4,0,1.1578202397655633,0
scenario201,left,20,100,20,80,30,0,0,20,0.4,0,1.1146480628411584,0
scenario202,left,0,100,20,80,30,40,80,20,0.2,0,1.1208733403056608,0
scenario203,left,80,80,20,80,30,40,0,20,0.4,0,1.1386998445805578,0
scenario204,left,0,100,80,80,-30,40,0,20,0.4,0,1.0450940828932165,0
scenario205,left,60,100,20,80,30,40,40,20,0.4,0,1.1915649973344764,0
scenario206,left,0,60,20,80,30,40,0,20,1.0,0,1.1263824162604683,0
scenario207,left,0,100,20,80,30,40,40,20,0.6,0,1.1218272422173996,0
scenario208,left,100,100,20,80,0,40,0,20,0.4,0,1.1136784771934287,0
scenario209,left,0,100,60,80,30,40,0,20,0.2,0,1.0874145095312346,0
scenario210,left,0,80,20,60,30,40,0,20,0.4,0,1.1061686021593249,0
scenario211,left,0,100,20,80,30,20,0,20,0.2,0,1.0805384032890828,0
scenario212,left,0,100,20,100,30,40,40,20,0.4,0,1.195036306085615,0
scenario213,left,0,0,20,80,30,40,0,20,0.1,0,1.241420160053095,0
scenario214,left,0,100,20,0,30,40,0,20,0.1,0,1.0967764684655408,0
scenario215,left,0,100,40,80,30,40,0,20,0.1,0,1.1045367992542403,0
scenario216,left,0,100,20,80,60,40,0,20,0.1,0,1.192589876441593,0
scenario217,left,0,100,20,80,90,40,0,20,0.1,0,1.2109469362037957,0
scenario218,left,100,100,20,80,-30,40,0,20,0.4,0,1.1080536266403314,0
scenario219,left,60,100,20,80,30,60,0,20,0.4,0,1.1302521599288406,0
scenario220,left,0,100,20,80,30,20,0,60,0.4,0,1.1839746622688694,0
scenario221,left,0,40,20,80,30,40,0,20,0.2,0,1.114773616320041,0
scenario222,left,0,100,20,80,30,60,0,20,0.6,0,1.0875746205264474,0
scenario223,left,0,60,100,80,30,40,0,20,0.4,0,1.111609767564706,0
scenario224,left,0,100,20,100,30,60,0,20,0.4,0,1.1911163314749773,0
scenario225,left,0,100,60,80,30,40,80,20,0.4,0,1.091395530100577,0
scenario226,left,0,20,20,80,30,40,0,20,0.2,0,1.106079644507726,0
scenario227,left,0,100,20,80,30,20,80,20,0.4,0,1.113276535659882,0
scenario228,left,0,80,20,80,30,40,0,40,0.4,0,1.1974633793500404,0
scenario229,left,0,100,80,80,30,80,0,20,0.4,0,1.2124468469637528,0
scenario230,right,0,40,20,80,30,40,0,20,0.4,0,0.7935659997712764,0
scenario231,left,0,40,20,80,30,40,0,60,0.4,0,1.2224023572168083,0
scenario232,left,0,100,80,80,30,40,0,80,0.4,0,1.1347785236143637,0
scenario233,right,0,100,20,80,30,40,0,20,1.0,0,0.8751310905221747,0
scenario234,left,0,100,20,80,30,40,0,60,1.0,0,1.2367024517827154,0
scenario235,right,0,20,20,80,30,40,0,20,0.4,0,0.9183508197979664,0
scenario236,left,0,20,20,80,30,40,0,60,0.4,0,1.0915348384918238,0
scenario237,left,0,40,20,80,30,40,80,20,0.4,0,1.1778732526115117,0
scenario238,left,0,100,60,80,30,20,0,20,0.4,0,1.1272518161335767,0
scenario239,left,80,100,80,80,30,40,0,20,0.4,0,1.1161287916895777,0
scenario240,left,0,100,100,80,30,40,0,20,0.2,0,1.1017083631806217,0
scenario241,left,0,100,20,80,30,40,80,20,1.0,0,1.2404181120296849,0
scenario242,left,100,100,20,80,30,80,0,20,0.4,0,1.2126417440763442,0
scenario243,left,60,60,20,80,30,40,0,20,0.4,0,1.2404366768115105,0
scenario244,left,0,20,20,80,30,40,80,20,0.4,0,1.186613332393376,0
scenario245,left,100,100,20,80,30,40,0,80,0.4,0,1.2262805264649188,0
scenario246,left,0,100,20,80,0,40,60,20,0.4,0,1.085272293533896,0
scenario247,left,0,100,80,60,30,40,0,20,0.4,0,1.12827604105507,0
scenario248,left,0,40,60,80,30,40,0,20,0.4,0,1.0978245725629083,0
scenario249,left,0,40,20,80,30,20,0,20,0.4,0,1.159224040726729,0
scenario250,left,0,0,20,80,30,40,20,20,0.4,0,1.175154172315643,0
scenario251,left,0,100,20,0,30,40,20,20,0.4,0,1.2123855461617083,0
scenario252,left,0,100,20,80,30,40,20,20,0.0,0,1.197390043671367,0
scenario253,left,0,100,40,80,30,40,20,20,0.4,0,1.1088333106939323,0
scenario254,left,0,100,20,80,60,40,20,20,0.4,0,1.1953803540905734,0
scenario255,left,0,100,20,80,90,40,20,20,0.4,0,1.1858091536522717,0
scenario256,left,0,60,20,80,30,40,0,20,0.6,0,1.204210291297093,0
scenario257,right,0,100,100,80,30,40,0,20,0.4,0,0.7789833620625572,0
scenario258,left,0,100,100,80,30,40,0,60,0.4,0,1.1865707728079558,0
scenario259,left,0,100,20,80,-30,40,60,20,0.4,0,1.1073630602625315,0
scenario260,left,0,100,60,80,30,40,0,20,1.0,0,1.105057656513201,0
scenario261,left,0,100,20,80,30,20,0,20,1.0,0,1.165595560243391,0
scenario262,left,0,60,20,100,30,40,0,20,0.4,0,1.2215301734387882,0
scenario263,left,0,20,60,80,30,40,0,20,0.4,0,1.0662584083186937,0
scenario264,left,0,20,20,80,30,20,0,20,0.4,0,1.1164162974606786,0
scenario265,left,0,100,100,80,30,40,80,20,0.4,0,1.095492896789544,0
scenario266,left,100,100,20,60,30,40,0,20,0.4,0,1.0969402677217908,0
scenario267,left,60,100,20,80,30,40,0,20,0.2,0,1.1155101111807568,0
scenario268,left,0,40,20,80,30,40,0,20,1.0,0,1.0728636018410689,0
scenario269,left,0,100,80,80,30,40,0,40,0.4,0,1.102888520574336,0
scenario270,left,0,0,20,80,30,40,0,0,0.4,0,1.1922326222534,0
scenario271,left,0,100,20,0,30,40,0,0,0.4,0,1.2092159437112642,0
scenario272,left,0,100,20,80,30,40,0,0,0.0,0,1.2355286963809349,0
scenario273,left,0,100,40,80,30,40,0,0,0.4,0,1.069516395581872,0
scenario274,left,0,100,20,80,60,40,0,0,0.4,0,1.209634360612329,0
scenario275,left,0,100,20,80,90,40,0,0,0.4,0,1.1648923535435771,0
scenario276,left,0,100,100,80,30,20,0,20,0.4,0,1.1234603988302303,0
scenario277,left,0,20,20,80,30,40,0,20,1.0,0,1.204591274478638,0
scenario278,right,60,100,20,80,30,40,0,20,0.4,0,0.926232160340937,0
scenario279,left,60,100,20,80,30,40,0,60,0.4,0,1.1795012613511855,0
scenario280,left,0,100,20,100,30,40,0,20,0.2,0,1.1156726889752848,0
scenario281,right,0,100,20,80,30,40,0,20,0.6,0,0.8655392256098257,0
scenario282,left,0,100,20,80,30,40,0,60,0.6,0,1.2091647634513891,0
scenario283,left,0,100,20,80,30,80,60,20,0.4,0,1.2323892841434103,0
scenario284,left,0,40,100,80,30,40,0,20,0.4,0,1.1714379494980325,0
scenario285,left,60,100,20,80,30,40,80,20,0.4,0,1.18998827493571,0
scenario286,left,100,100,20,80,30,40,0,40,0.4,0,1.222722777193005,0
scenario287,right,0,100,20,100,30,40,0,20,0.4,0,0.7861578379526805,0
