Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario88,left,0,20,80,20,30,40,80,60,0.2,False,1.159,0
scenario89,right,100,0,80,40,30,40,100,100,0.6,False,0.825,0
scenario90,right,60,0,80,0,-30,40,100,60,0.2,False,0.926,0
scenario91,right,100,0,60,0,60,60,80,80,0.1,False,0.769,0
scenario92,right,20,0,60,40,30,20,100,100,0.4,False,0.826,0
scenario93,right,40,20,60,20,-60,40,100,100,0.2,False,0.929,0
scenario94,right,0,20,60,0,0,60,100,80,0.4,False,0.946,0
scenario95,right,60,20,80,0,30,40,100,80,0.8,False,0.803,0
scenario96,right,60,0,60,0,0,40,100,60,0.4,False,0.942,0
scenario97,right,100,0,60,0,60,60,80,80,0.1,False,0.86,0
scenario98,right,40,0,80,40,30,40,100,80,0.4,False,0.876,0
scenario99,right,40,60,60,40,0,20,100,20,0.4,False,0.852,0
scenario100,right,60,20,40,0,30,60,100,80,0.4,False,0.78,0
scenario101,left,0,40,60,20,30,40,100,100,0.4,False,1.103,0
scenario102,left,80,20,60,0,30,20,100,60,0.4,False,1.037,0
scenario103,right,60,0,60,0,-60,20,100,100,0.4,False,4.692,0
scenario104,right,20,20,80,60,30,40,80,80,0.2,False,0.812,0
scenario105,right,100,100,20,0,60,80,60,60,0.4,False,0.894,0
scenario106,right,100,20,60,100,30,0,100,100,0.6,False,0.848,0
scenario107,left,80,20,60,20,90,80,80,80,0.1,False,1.072,0
scenario108,right,0,40,80,0,-90,40,80,60,0.4,False,0.87,0
scenario109,right,60,20,40,0,30,60,100,80,0.4,False,0.734,0
scenario110,right,100,100,60,0,60,60,100,80,0.1,False,0.894,0
scenario111,left,80,40,40,20,90,60,100,80,0.1,False,1.097,0
scenario112,right,0,20,80,0,-90,40,100,80,0.2,False,0.858,0
scenario113,right,100,60,100,0,-60,20,60,60,0.2,False,0.945,0
