Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario1,left,0,100,20,80,30,40,0,20,0.4,0,1.1956099600503098,0
scenario2,left,0,100,0,20,-90,100,20,0,0.4,0,1.274288859869696,0
scenario3,right,20,100,80,80,-60,100,0,100,0.1,0,0.8048957628609229,0
scenario4,left,100,100,20,80,30,100,60,20,0.4,0,1.1853074340195693,0
scenario5,right,0,100,60,80,-60,60,40,100,0.4,0,0.914277122587422,0
scenario6,left,40,100,20,80,-90,40,0,20,0.2,0,0.9878785046995634,0
scenario7,left,0,100,100,40,30,40,0,60,1.0,0,1.079732737100609,0
scenario8,right,20,100,0,80,30,20,80,0,0.4,0,0.8979718110701984,0
scenario9,right,60,100,0,20,30,40,20,100,0.6,0,0.9512003307786934,0
scenario10,left,80,100,0,80,-60,40,0,80,0.1,0,1.0457343482422836,0
scenario11,left,0,100,80,100,30,100,0,0,0.1,0,1.1701368342660885,0
scenario12,left,40,80,80,80,-90,100,20,20,0.4,0,1.0573803666909434,0
scenario13,right,20,100,40,20,0,80,0,100,0.8,0,0.9335096537342876,0
scenario14,right,20,100,60,60,-30,40,60,0,0.4,0,0.8276742867582358,0
scenario15,left,0,100,20,40,-60,100,100,40,0.4,0,1.0869621898605646,0
scenario16,left,100,80,20,80,30,40,60,20,0.2,0,1.2131441201457238,0
scenario17,left,0,60,20,20,-90,100,20,20,0.4,0,1.3196607369569322,0
scenario18,left,40,100,100,100,30,0,40,60,0.4,0,1.0425236643727789,0
scenario19,left,60,40,0,80,-60,100,40,20,0.4,0,0.993669500000708,0
scenario20,right,100,20,60,40,30,100,0,100,0.4,0,0.9916543095530262,0
scenario21,left,40,80,80,80,30,40,0,60,1.0,0,1.0893022112794102,0
scenario22,left,20,100,20,0,60,100,60,0,0.0,0,1.2383367981639162,0
scenario23,left,0,100,60,80,90,60,80,20,0.1,0,1.064612809011795,0
