Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-90,right,0.1,100,100,40,20,60,40,0,0,0.8387750087944319,26.967182874679565,0
scenario2,0,left,0.8,80,100,100,0,40,80,20,0,1.1012290067765738,22.643150806427,0
scenario3,-30,left,0.2,0,60,0,60,0,0,40,0,1.051414571898349,22.36637020111084,0
scenario4,-60,left,0.4,20,80,20,40,80,20,80,0,1.0301283750487678,22.1996808052063,0
scenario5,0,right,0.6,20,20,60,60,20,60,60,0,1.0081549285340143,27.49039316177368,0
scenario6,0,right,1.0,40,0,100,80,100,100,40,0,0.885991438272135,27.068416357040405,0
scenario7,60,right,0.8,80,60,80,100,20,20,100,0,0.7716956747122735,26.29258704185486,0
scenario8,90,right,0.6,60,40,40,80,0,80,100,0,0.7798883340658072,26.36651945114136,0
scenario9,30,left,1.0,0,40,80,20,40,100,80,0,1.0706972502805614,21.88281226158142,0
scenario10,60,right,0.2,60,20,100,0,80,0,0,0,0.9509678685667976,26.33162522315979,0
scenario11,90,right,1.0,80,80,60,40,60,0,40,0,0.932787905371004,26.344265460968018,0
scenario12,-60,left,0.4,100,40,100,100,100,40,60,0,1.0209496654817956,22.48558974266052,0
scenario13,0,right,0.8,0,0,20,40,0,60,0,0,0.8927842840826496,27.21213221549988,0
scenario14,-60,left,0.6,40,80,0,100,20,100,0,0,1.0551724596590375,22.489355325698853,0
scenario15,90,left,0.2,40,100,100,60,60,60,80,0,1.1053420454270757,21.672856330871586,0
scenario16,90,left,0.1,60,20,80,40,100,40,20,0,1.1748154891105422,22.007521629333496,0
scenario17,90,right,0.1,20,0,20,100,40,0,60,0,0.93241992307779,26.430909872055054,0
scenario18,-90,left,1.0,60,100,0,60,80,20,100,0,1.070471272877803,22.45685148239136,0
scenario19,60,right,0.4,40,60,60,20,100,80,20,0,0.8035020569378553,26.073707103729248,0
scenario20,0,left,0.2,100,80,60,20,0,20,100,0,1.1203679288389898,22.616087436676025,0
scenario21,30,right,0.8,40,80,40,60,80,40,60,0,0.8961653015211177,26.35179281234741,0
scenario22,60,left,0.4,100,80,80,80,40,60,0,0,1.2290191583679304,21.995430946350098,0
scenario23,60,left,0.6,0,20,100,100,60,80,40,0,1.075967907894694,22.05928134918213,0
scenario24,60,left,1.0,20,40,80,0,0,0,20,0,1.113248676980516,21.884083032608032,0
scenario25,60,left,0.1,0,0,40,80,20,0,80,0,1.1019768233254126,21.939897537231445,0
scenario26,90,right,0.8,100,20,60,80,80,100,80,0,0.8827718485754221,26.25517177581787,0
scenario27,90,left,0.6,100,60,20,0,20,40,40,0,1.2212434583579974,21.937251329422,0
scenario28,0,right,0.4,0,100,60,100,80,40,40,0,0.8134482471937211,27.209805727005005,0
scenario29,60,left,0.2,80,100,20,40,100,100,60,0,1.2186437512838668,21.90929317474365,0
scenario30,60,right,0.2,60,0,0,100,40,40,20,0,0.7674542274180318,26.472606658935547,0
scenario31,30,right,0.4,40,20,80,0,60,60,100,0,0.8533294336634588,26.267298698425293,0
scenario32,-30,left,0.2,80,40,40,20,20,80,0,0,1.111265255065519,22.11910128593445,0
scenario33,-60,right,0.1,60,60,100,20,40,60,100,0,0.8260060983507689,26.73815655708313,0
scenario34,90,left,0.8,0,80,0,0,100,20,60,0,0.973838948456202,22.01891827583313,0
scenario35,60,right,0.8,20,40,0,20,80,60,40,0,0.826842805797781,26.18026757240296,0
scenario36,-30,right,0.6,100,0,20,60,60,20,20,0,0.882012007228947,26.966227769851685,0
scenario37,30,right,1.0,80,20,40,100,0,20,80,0,0.8059471164113152,26.442980527877808,0
scenario38,90,left,1.0,20,60,60,60,40,80,0,0,1.051392756079256,21.94271874427796,0
scenario39,-30,right,0.4,40,100,20,80,20,0,100,0,0.8491952176222185,27.36712121963501,0
scenario40,-60,right,0.1,20,20,0,80,0,80,20,0,0.7638387252764488,26.90868186950684,0
scenario41,60,left,0.1,80,0,60,0,80,20,60,0,1.0873885453843877,22.207464694976807,0
scenario42,-90,left,0.6,80,60,100,80,0,60,60,0,0.988014303826616,22.27431011199951,0
