Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario1,left,0,100,20,80,30,40,0,20,0.4,0,1.1857388562290128,0
scenario2,left,0,100,0,20,-90,100,20,0,0.4,0,1.368697829247646,0
scenario3,right,20,100,80,80,-60,100,0,100,0.1,0,0.8076148645581038,0
scenario4,left,100,100,20,80,30,100,60,20,0.4,0,1.1024191455807748,0
scenario5,right,0,100,60,80,-60,60,40,100,0.4,0,0.9930485205071844,0
scenario6,left,40,100,20,80,-90,40,0,20,0.2,0,1.0290665846689966,0
scenario7,left,0,100,100,40,30,40,0,60,1.0,0,1.1086630633812051,0
scenario8,right,20,100,0,80,30,20,80,0,0.4,0,1.0005486348310837,0
scenario9,right,60,100,0,20,30,40,20,100,0.6,0,0.7883267597426282,0
scenario10,left,80,100,0,80,-60,40,0,80,0.1,0,1.0774474562560814,0
scenario11,left,0,100,80,100,30,100,0,0,0.1,0,1.2015601611024591,0
scenario12,left,40,80,80,80,-90,100,20,20,0.4,0,1.096031666269652,0
scenario13,right,20,100,40,20,0,80,0,100,0.8,0,0.904752578895824,0
scenario14,right,20,100,60,60,-30,40,60,0,0.4,0,0.8541772794270455,0
scenario15,left,0,100,20,40,-60,100,100,40,0.4,0,1.1044049132284175,0
scenario16,left,100,80,20,80,30,40,60,20,0.2,0,1.1966304347195411,0
scenario17,left,0,60,20,20,-90,100,20,20,0.4,0,1.3514552701332256,0
scenario18,left,40,100,100,100,30,0,40,60,0.4,0,1.0776721691602509,0
scenario19,left,60,40,0,80,-60,100,40,20,0.4,0,0.6227738536234386,0
scenario20,right,100,20,60,40,30,100,0,100,0.4,0,0.7959493089725825,0
scenario21,left,40,80,80,80,30,40,0,60,1.0,0,1.1288368533553703,0
scenario22,left,20,100,20,0,60,100,60,0,0.0,0,1.1877517794068857,0
scenario23,left,0,100,60,80,90,60,80,20,0.1,0,1.0933363588722207,0
scenario24,left,0,60,0,80,30,60,80,0,0.6,0,1.174020421474361,0
scenario25,left,20,20,0,80,-90,20,0,0,0.1,0,1.0303376649726004,0
scenario26,left,60,40,20,100,30,20,0,100,0.1,0,1.0449827958533129,0
scenario27,left,80,60,100,80,0,80,0,80,0.4,0,1.068568728681858,0
scenario28,right,0,60,60,40,-90,40,40,100,0.2,0,0.8547859426970532,0
scenario29,left,20,80,0,20,-60,60,0,20,0.2,0,1.090392634517696,0
scenario30,right,60,40,100,100,-60,40,80,0,0.1,0,0.8646914268923999,0
scenario31,right,0,20,80,0,-60,40,100,100,0.4,0,0.8909881660157482,0
scenario32,left,40,80,20,20,-60,100,20,0,0.1,0,1.034475655423028,0
scenario33,right,0,80,0,80,-30,40,0,40,0.6,0,0.8782072027103298,0
scenario34,right,100,80,80,100,-90,100,40,20,0.2,0,0.809209703448208,0
scenario35,right,80,0,0,60,30,80,20,80,0.4,0,0.9015283277676563,0
scenario36,right,100,60,20,80,30,100,80,40,0.8,0,0.7324255757678594,0
scenario37,left,0,40,40,20,60,100,60,100,0.4,0,1.177751049913138,0
scenario38,right,20,0,0,80,90,0,100,100,0.4,0,0.868930029924215,0
scenario39,left,40,20,60,40,-90,100,60,20,1.0,0,1.161335908640659,0
scenario40,right,20,80,100,20,30,100,100,60,0.6,0,0.8741392773572213,0
scenario41,left,80,80,80,60,0,40,20,100,0.8,0,1.0946731830419594,0
scenario42,left,60,60,40,60,30,100,0,20,0.8,0,1.1073155958550644,0
scenario43,left,100,80,20,40,-60,40,60,80,0.1,0,1.115675982809949,0
scenario44,left,20,40,20,80,-90,60,20,20,0.0,0,1.1299732851865436,0
scenario45,left,0,20,20,80,60,60,40,60,0.2,0,1.1684883747656014,0
scenario46,right,40,80,40,80,-60,0,0,0,0.1,0,0.8132404502817652,0
scenario47,left,100,60,80,20,-90,20,80,60,0.1,0,1.0994734397613033,0
scenario48,left,0,40,20,0,30,20,80,20,0.0,0,1.1162708541291928,0
scenario49,left,100,60,0,100,0,100,60,20,0.6,0,1.128857334736119,0
scenario50,left,0,0,60,100,-30,100,0,80,1.0,0,1.097089404275563,0
scenario51,left,60,60,20,100,-90,100,20,40,1.0,0,1.0379450092171505,0
scenario52,left,0,0,100,0,-90,40,0,20,0.6,0,1.3228425552425176,0
scenario53,right,40,60,20,20,-60,60,40,60,0.6,0,0.8493270397252232,0
scenario54,right,100,40,80,100,-60,20,20,0,0.2,0,0.9243868953836164,0
scenario55,left,80,20,60,40,-60,100,60,0,1.0,0,1.0116033186887423,0
scenario56,right,40,40,0,40,60,40,0,100,0.0,0,0.8476077944349748,0
scenario57,right,100,80,40,40,90,40,0,100,0.1,0,0.8847389926606177,0
scenario58,left,20,40,80,20,-60,80,80,20,0.2,0,1.0307242891102804,0
scenario59,right,40,60,100,40,-60,60,20,0,0.1,0,0.8902495689008185,0
scenario60,right,60,20,0,20,-60,60,40,60,0.1,0,0.840492431514016,0
scenario61,right,20,80,0,40,-30,20,60,20,0.2,0,0.7521332318796715,0
scenario62,left,0,40,20,20,0,80,40,0,1.0,0,1.0670623678541076,0
scenario63,left,80,40,60,20,-90,80,20,80,0.1,0,1.0608456006600548,0
scenario64,left,80,20,20,60,-30,20,20,20,0.8,0,1.09918864776666,0
scenario65,left,0,60,0,60,-90,60,80,100,1.0,0,1.0350699174437783,0
scenario66,right,20,80,80,0,60,100,40,100,0.2,0,0.8979667837295879,0
scenario67,right,40,80,100,20,90,100,20,60,0.0,0,0.7505311030210635,0
scenario68,left,20,60,20,100,-90,60,100,80,0.1,0,1.0424284183417707,0
scenario69,right,0,0,80,40,-90,0,60,40,0.8,0,0.8019504754811245,0
scenario70,right,60,80,0,100,0,20,80,0,0.6,0,0.9475608424062816,0
scenario71,right,60,20,60,60,-60,20,20,100,0.6,0,0.8241933912034354,0
scenario72,left,0,0,20,20,-30,0,100,20,0.1,0,1.0802040538909834,0
scenario73,left,80,0,100,100,-60,80,100,100,0.8,0,1.1465065397540997,0
scenario74,left,40,80,80,100,-60,60,60,80,1.0,0,1.016606277369234,0
scenario75,right,20,40,60,100,0,20,80,60,1.0,0,1.0274934876606148,0
scenario76,left,20,20,100,20,-60,0,20,40,0.6,0,1.1501400954423404,0
scenario77,right,100,60,0,40,-30,60,40,80,0.2,0,0.7864316276505884,0
scenario78,right,80,60,0,0,0,80,20,20,0.1,0,0.8139461450747999,0
scenario79,left,0,60,40,0,-90,20,60,20,0.0,0,1.0751725533518492,0
scenario80,left,0,60,80,80,30,40,0,20,0.4,0,1.1246201560417532,0
scenario81,left,0,100,20,80,60,40,0,20,0.4,0,1.1038320815079217,0
scenario82,left,0,100,20,80,90,40,0,20,0.4,0,1.092830632362195,0
scenario83,left,0,80,60,80,30,40,0,20,0.4,0,1.1352752458840192,0
scenario84,left,0,100,20,0,30,40,0,20,0.4,0,1.15829855675709,0
scenario85,left,0,100,20,80,30,40,0,20,0.0,0,1.1099062115224192,0
scenario86,left,0,100,20,80,60,40,0,20,0.4,0,1.1813191044336293,0
scenario87,left,0,100,20,80,90,40,0,20,0.4,0,1.1967478079658238,0
scenario88,left,0,100,20,80,60,40,0,20,0.4,0,1.22870351574258,0
scenario89,left,0,100,20,80,90,40,0,20,0.4,0,1.2186818749766,0
scenario90,left,0,100,80,80,30,40,0,60,0.4,0,1.0944943173004154,0
scenario91,left,0,100,0,80,30,40,0,40,0.4,0,1.0884478152707615,0
scenario92,left,0,100,80,80,30,40,80,20,0.4,0,1.0271886162992232,0
scenario93,left,0,100,20,60,30,40,0,20,0.1,0,1.117702878347484,0
scenario94,left,100,100,20,80,30,40,0,60,0.4,0,1.1997917746723412,0
scenario95,left,0,100,20,80,-30,40,0,0,0.4,0,0.9441064493951904,0
scenario96,left,0,100,80,80,30,20,0,20,0.4,0,1.0292329618861615,0
scenario97,left,100,100,20,80,30,40,80,20,0.4,0,1.0716448373723615,0
scenario98,left,0,100,20,80,30,40,0,40,0.1,0,1.195481626767009,0
scenario99,left,0,40,80,80,30,40,0,20,0.4,0,1.1112166726617612,0
scenario100,left,100,100,60,80,30,40,0,20,0.4,0,1.245584425675632,0
scenario101,left,100,100,20,80,30,20,0,20,0.4,0,1.2002975120108144,0
scenario102,left,0,100,20,80,0,40,0,100,0.4,0,1.082074910091338,0
scenario103,left,0,20,80,80,30,40,0,20,0.4,0,1.10996698710687,0
scenario104,left,0,100,20,80,-30,40,0,100,0.4,0,1.3047601474363744,0
scenario105,left,0,100,20,80,30,40,60,20,0.2,0,1.1040553151839552,0
scenario106,left,100,40,20,80,30,40,0,20,0.4,0,1.2302886930911463,0
scenario107,left,100,100,20,80,30,40,0,20,1.0,0,1.214558459506394,0
scenario108,left,100,20,20,80,30,40,0,20,0.4,0,1.2331265656840693,0
scenario109,left,0,100,20,80,30,40,60,60,0.4,0,1.197566802907006,0
scenario110,left,0,100,20,20,30,40,0,20,0.8,0,1.2160230562447971,0
scenario111,left,80,100,20,80,30,40,0,0,0.4,0,1.1364306897964005,0
scenario112,left,0,100,20,60,30,40,0,0,0.4,0,1.2288898350959927,0
scenario113,left,100,100,100,80,30,40,0,20,0.4,0,1.2382223788469806,0
scenario114,left,0,100,60,80,30,40,60,20,0.4,0,1.0096834463606192,0
scenario115,left,0,100,0,80,30,40,0,20,0.8,0,1.204913854057745,0
scenario116,left,60,100,80,80,30,40,0,20,0.4,0,1.205708945978932,0
scenario117,left,0,100,80,80,30,40,0,20,0.6,0,1.0518038901044455,0
scenario118,left,0,40,20,80,30,40,60,20,0.4,0,1.1160527866941885,0
scenario119,left,40,100,20,80,30,40,0,20,0.2,0,1.187406678742327,0
scenario120,left,0,100,0,80,30,40,100,20,0.4,0,1.2005054666593875,0
scenario121,left,0,100,0,80,30,0,0,20,0.4,0,1.1016609519191376,0
scenario122,left,0,20,20,80,30,40,60,20,0.4,0,1.2261179639910418,0
scenario123,left,100,100,20,80,30,40,0,20,0.6,0,1.2119616390490735,0
scenario124,left,100,100,20,100,30,40,0,20,0.4,0,1.1843197563168475,0
scenario125,left,40,100,20,80,30,40,80,20,0.4,0,1.210329955068988,0
scenario126,left,0,100,100,80,30,40,60,20,0.4,0,1.0653032497600932,0
scenario127,left,40,100,60,80,30,40,0,20,0.4,0,1.1079268065650876,0
scenario128,left,40,100,20,80,30,20,0,20,0.4,0,1.206312250462125,0
scenario129,left,20,100,20,80,-30,40,0,20,0.4,0,1.1237646027817882,0
scenario130,left,60,100,20,80,30,40,60,20,0.4,0,1.2138021810869757,0
scenario131,left,0,100,20,0,-60,40,0,20,0.4,0,3.6585512326641583,0
scenario132,left,0,100,20,80,-60,40,0,20,0.0,0,1.3812481218149464,0
scenario133,left,0,100,40,80,-60,40,0,20,0.4,0,1.1583624504682353,0
scenario134,left,40,100,20,80,30,40,0,20,1.0,0,1.1339691589259209,0
scenario135,left,40,20,20,80,30,40,0,20,0.4,0,1.1923717538792278,0
scenario136,left,0,100,20,80,30,40,60,20,0.6,0,1.103111271475833,0
scenario137,left,0,100,20,100,30,40,60,20,0.4,0,1.2095291806945565,0
scenario138,left,0,100,20,80,30,40,20,20,0.8,0,1.1614701564283114,0
scenario139,left,20,100,20,80,30,80,0,20,0.4,0,1.1557725800368164,0
scenario140,left,20,100,20,80,30,40,0,80,0.4,0,1.0906263226326325,0
scenario141,left,0,100,20,80,30,0,20,20,0.4,0,1.0730780688566253,0
scenario142,left,0,100,20,40,30,40,0,20,0.2,0,1.2133648087663438,0
scenario143,left,0,100,20,80,30,40,0,0,0.8,0,1.2208414191494008,0
scenario144,left,0,100,20,40,30,40,0,60,0.4,0,1.0936675624341694,0
scenario145,left,20,100,20,60,30,40,0,20,0.4,0,1.1951254044021715,0
scenario146,left,0,100,20,80,30,40,100,0,0.4,0,1.1439389841482976,0
scenario147,left,0,100,20,40,30,40,80,20,0.4,0,1.1433006787744944,0
scenario148,left,40,100,20,80,30,40,0,20,0.6,0,1.1439109908508016,0
scenario149,left,0,100,20,80,30,0,0,0,0.4,0,1.1103199230308984,0
scenario150,left,0,60,20,80,30,40,40,20,0.4,0,1.167707799456262,0
scenario151,left,40,100,20,100,30,40,0,20,0.4,0,1.0963484149895857,0
scenario152,left,0,100,20,80,30,40,0,100,0.8,0,1.093561700471255,0
scenario153,left,0,100,60,40,30,40,0,20,0.4,0,1.1160186026222263,0
scenario154,left,0,100,20,40,30,20,0,20,0.4,0,1.101627521837608,0
scenario155,left,20,100,20,80,30,40,0,40,0.4,0,1.2114397122087732,0
scenario156,left,0,100,20,80,30,40,100,100,0.4,0,1.1138581338179094,0
scenario157,left,0,40,20,40,30,40,0,20,0.4,0,1.2285072408104545,0
scenario158,left,0,100,20,80,30,40,40,20,0.2,0,1.096947039769862,0
scenario159,left,0,100,20,80,30,0,0,100,0.4,0,1.1051625587774,0
scenario160,left,0,100,20,40,30,40,0,20,1.0,0,1.2205396258710957,0
scenario161,left,0,20,20,40,30,40,0,20,0.4,0,1.0537941077200652,0
scenario162,left,0,100,20,80,30,40,40,60,0.4,0,1.0561738085262151,0
scenario163,left,0,100,20,80,30,60,0,20,0.2,0,1.228113110582845,0
scenario164,left,0,100,20,80,30,40,0,20,0.8,0,1.2122257206178968,0
scenario165,left,0,100,20,80,30,60,0,60,0.4,0,1.2143205842656748,0
scenario166,left,0,100,60,80,30,40,40,20,0.4,0,1.1183795219643042,0
scenario167,left,0,100,20,80,30,20,40,20,0.4,0,1.1252724166722663,0
scenario168,left,0,100,20,80,30,60,80,20,0.4,0,0.9955389985113988,0
scenario169,left,0,100,20,80,30,0,0,20,0.4,0,1.1152721668275265,0
scenario170,left,0,40,20,80,30,40,40,20,0.4,0,1.1602176941677351,0
scenario171,left,0,100,60,80,30,60,0,20,0.4,0,1.1093407777564008,0
scenario172,left,0,80,20,80,-30,40,0,20,0.4,0,1.203427946410972,0
scenario173,left,60,100,20,40,30,40,0,20,0.4,0,1.2325147282346804,0
scenario174,left,0,60,20,80,30,40,0,20,0.2,0,1.2140363669553087,0
scenario175,left,0,100,20,80,30,40,40,20,1.0,0,1.1199492654394867,0
