Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-60,right,1.0,0,100,80,80,80,80,80,0,0.9092244354405432,26.979066848754883,0
scenario2,-30,left,1.0,60,60,0,40,60,20,20,0,1.0611603353334094,21.958956956863403,0
scenario3,-90,right,0.2,20,80,100,60,20,40,20,0,1.0087648346622926,26.77306318283081,0
scenario4,-90,left,0.6,40,0,60,20,40,100,0,0,1.0462508824226049,21.955730676651,0
scenario5,-90,left,0.4,80,40,20,100,0,0,100,0,0.9752230073484291,21.95020890235901,0
scenario6,-60,left,0.8,100,20,40,0,100,60,60,0,1.0259961169463272,21.937312364578247,0
scenario7,-30,right,0.4,100,0,100,20,80,60,40,0,0.8956650671421285,26.668928146362305,0
scenario8,-90,right,1.0,60,40,80,60,100,100,60,0,0.845252161126054,26.77125906944275,0
scenario9,60,right,0.1,0,60,60,0,20,0,40,0,0.9120577405219288,26.469602584838867,0
scenario10,-90,left,0.1,20,60,0,80,40,60,80,0,0.9934869631086392,21.961869478225708,0
scenario11,0,right,0.8,0,100,40,20,60,40,100,0,0.9523922779659042,27.091111660003666,0
scenario12,-60,right,0.1,40,20,20,40,0,40,0,0,0.8843483521697516,26.57635068893433,0
scenario13,-60,right,0.2,80,0,80,100,40,0,20,0,0.8458815237553988,26.58733010292053,0
scenario14,60,left,0.2,40,100,100,100,100,20,0,0,1.1932761676758985,21.525535106658936,0
scenario15,30,left,0.6,60,80,40,60,0,80,40,0,1.1326337567744134,21.84366178512573,0
scenario16,-30,left,0.8,100,80,20,100,20,100,80,0,1.0795013273457954,22.32392144203186,0
scenario17,0,left,0.6,100,40,20,0,40,80,20,0,1.047241201036757,22.22245740890503,0
scenario18,90,right,0.6,80,80,60,40,80,20,60,0,0.7849948365153762,26.29522943496704,0
scenario19,60,left,0.2,60,20,20,60,80,60,100,0,1.0961422980518007,21.78707265853882,0
scenario20,60,right,0.4,100,80,0,80,60,0,0,0,0.7708647934195237,25.906822204589844,0
scenario21,0,left,1.0,80,0,60,80,100,40,80,0,1.125702566553114,22.338218450546265,0
scenario22,90,left,1.0,20,20,0,20,20,80,100,0,1.195879665317757,21.821696758270264,0
scenario23,-30,left,0.4,20,100,80,0,40,40,60,0,0.6468758922680765,21.74925684928894,0
scenario24,60,left,0.8,40,60,40,80,0,100,20,0,1.081731514337479,21.8339524269104,0
scenario25,90,left,0.8,60,40,100,60,60,0,80,0,1.188181392906709,22.11782956123352,0
scenario26,0,left,0.6,0,20,80,100,40,20,40,0,1.127548629893781,22.644539833068848,0
scenario27,-60,right,0.2,20,40,0,40,60,100,40,0,0.9543666095057218,26.92353057861328,0
scenario28,-30,left,0.6,0,60,100,40,100,0,100,0,1.0745042686181374,22.17711973190308,0
scenario29,30,right,0.4,40,60,80,20,20,0,60,0,1.0112092325487652,26.242709636688232,0
scenario30,30,left,1.0,0,40,60,100,60,60,0,0,1.047965098894288,21.89862418174744,0
scenario31,60,right,0.8,80,0,40,40,40,80,80,0,0.7918857730337018,26.358835458755493,0
scenario32,0,right,0.4,60,60,60,60,20,80,0,0,0.9265476701953238,27.286604166030884,0
scenario33,90,right,0.4,0,100,20,20,100,60,20,0,0.8084952701557474,26.23192286491394,0
scenario34,30,right,0.1,100,0,40,40,20,20,100,0,0.8824603784587381,26.44747018814087,0
scenario35,-30,left,0.1,80,20,100,80,0,80,60,0,1.0208513604853335,22.183927059173584,0
scenario36,-60,right,1.0,40,80,100,0,40,100,100,0,0.9274598186296416,26.889790534973145,0
scenario37,90,right,0.1,20,60,40,100,80,100,0,0,0.8050133266762683,26.33420705795288,0
scenario38,-90,right,0.8,80,100,0,0,0,20,40,0,0.8729739661782587,26.884900331497192,0
scenario39,90,right,0.2,100,60,80,80,0,40,40,0,0.860333371999676,26.116772413253784,0
scenario40,90,right,0.6,40,0,20,0,60,20,80,0,0.938548623379766,26.41383528709412,0
scenario41,0,left,0.2,0,0,0,40,0,60,60,0,1.1109185463335949,22.463870763778687,0
scenario42,30,right,0.2,40,40,0,0,80,40,80,0,0.8656678351677323,26.23429298400879,0
scenario43,-90,left,0.1,0,20,60,60,60,80,20,0,1.0746907550257676,22.3505175113678,0
scenario44,-30,right,0.2,20,40,40,20,0,0,80,0,0.8122840046864441,26.7333722114563,0
scenario45,-60,left,0.6,80,100,80,60,20,100,0,0,1.035905583624134,22.26344132423401,0
scenario46,-90,left,0.1,100,80,0,60,100,20,40,0,1.079850818773508,22.53205633163452,0
scenario47,-90,right,1.0,60,100,40,20,80,0,40,0,10.389768022297105,60.18904757499695,0
scenario48,30,right,0.8,20,100,60,20,80,20,0,0,0.930739934035731,26.182318925857544,0
scenario49,60,left,0.1,60,40,80,80,20,60,100,0,1.1190453712912851,22.044763326644897,0
scenario50,-60,left,0.4,60,60,20,100,40,20,60,0,1.0351938477457536,22.411888360977173,0
scenario51,-30,right,1.0,40,80,20,60,40,60,40,0,0.8903481508527008,27.044713020324707,0
scenario52,0,right,0.1,0,80,60,20,0,100,0,0,0.8805352309641842,27.349769353866577,0
scenario53,-30,right,0.2,100,100,60,0,100,80,0,0,0.9079736987453002,25.897836208343502,0
scenario54,30,right,0.4,20,20,20,80,100,100,20,0,0.818089882729341,26.29223847389221,0
scenario55,0,right,0.4,20,20,80,40,80,0,80,0,1.02390541913243,27.35367751121521,0
scenario56,60,right,0.6,60,0,0,100,60,40,60,0,0.9760750773425714,26.32438087463379,0
scenario57,60,left,0.6,20,0,80,80,80,20,20,0,1.1834389095500972,21.754276752471924,0
scenario58,0,left,0.1,40,100,100,100,60,80,100,0,1.1211206366697744,22.72909545898437,0
scenario59,-90,right,0.6,80,100,80,40,60,60,100,0,0.8489221307808296,25.51648759841919,0
scenario60,30,left,0.2,80,40,60,20,40,20,100,0,1.0942553429637818,21.817838191986084,0
scenario61,30,left,1.0,100,0,100,60,0,80,60,0,1.1981609151223112,21.95907092094421,0
scenario62,60,left,1.0,80,80,80,20,0,100,20,0,1.180711583767572,21.92114758491516,0
scenario63,90,right,0.4,80,60,40,20,40,60,40,0,0.7962489444678323,26.202253103256226,0
scenario64,-60,right,0.2,0,40,60,20,80,60,100,0,0.912548935533236,26.561909914016724,0
scenario65,90,right,0.8,60,40,80,0,80,60,100,0,0.8530148447565029,26.37133550643921,0
