instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,1,20,20,60,80,-30,40,100,80,0.4,False,0.816,0
scenario2,0,80,40,0,40,0,80,20,20,0.6,False,1.126,0
scenario3,1,100,80,60,80,30,20,40,20,0.2,False,0.846,0
scenario4,0,40,40,40,40,0,20,40,100,1.0,False,1.104,0
scenario5,1,0,20,40,100,30,20,60,100,0.6,False,0.836,0
scenario6,0,80,60,60,20,0,40,40,60,1.0,False,1.073,0
scenario7,1,60,60,80,100,30,0,80,20,0.2,False,0.906,0
scenario8,0,100,60,80,0,60,60,60,0,0.1,False,1.148,0
scenario9,0,60,60,40,100,-30,100,20,0,0.2,False,1.089,0
scenario10,1,100,20,80,60,-30,80,0,40,0.2,False,0.944,0
scenario11,1,60,0,0,20,-30,80,100,60,1.0,False,0.821,0
scenario12,0,20,0,100,20,90,60,60,60,0.1,False,1.244,0
scenario13,1,20,20,40,100,-30,100,20,60,0.8,False,0.908,0
scenario14,1,0,60,100,100,30,0,40,20,0.4,False,0.838,0
scenario15,0,20,100,60,40,90,80,80,0,0.8,False,1.057,0
scenario16,0,80,20,20,60,0,0,80,100,0.8,False,1.159,0
scenario17,0,80,60,0,60,30,100,20,100,0.8,False,1.126,0
scenario18,1,0,100,100,80,-30,0,0,0,0.4,False,0.827,0
scenario19,1,0,20,80,40,30,80,0,60,1.0,False,0.771,0
scenario20,0,80,40,60,0,-90,60,0,80,0.4,False,1.079,0
scenario21,1,0,80,100,80,-90,60,0,80,0.6,False,0.771,0
scenario22,1,60,40,80,40,-60,40,20,20,1.0,False,0.884,0
scenario23,0,100,20,100,100,-90,0,60,40,0.2,False,1.021,0
scenario24,0,0,20,80,80,30,0,40,100,0.6,False,1.076,0
scenario25,0,60,100,20,0,60,40,100,40,0.8,False,1.182,0
scenario26,0,40,80,40,0,-60,100,80,100,0.1,False,1.073,0
scenario27,1,0,100,20,20,30,20,0,20,0.2,False,0.783,0
scenario28,1,40,0,20,40,-90,20,60,20,0.6,False,0.896,0
scenario29,1,0,0,80,0,90,80,100,100,0.8,False,0.829,0
scenario30,0,100,40,100,0,0,100,100,80,0.1,False,1.106,0
scenario31,0,80,0,0,20,-60,100,40,60,0.6,False,1.066,0
scenario32,1,80,40,40,40,0,100,60,100,0.6,False,0.771,0
scenario33,0,60,100,20,0,90,40,40,80,0.1,False,1.174,0
scenario34,1,100,60,80,40,-60,20,40,80,0.4,False,0.797,0
scenario35,1,100,40,60,20,60,20,20,20,1.0,False,0.91,0
scenario36,0,100,40,20,0,-30,20,0,0,0.6,False,1.077,0
scenario37,1,20,80,20,20,60,80,60,40,0.4,False,0.909,0
scenario38,1,60,20,80,80,-60,20,100,40,0.8,False,0.896,0
scenario39,0,100,80,80,80,-90,20,60,80,0.8,False,1.017,0
scenario40,0,20,100,40,20,90,40,20,40,0.2,False,1.232,0
scenario41,0,20,100,20,100,-90,0,80,40,0.4,False,1.012,0
scenario42,0,20,100,60,40,90,60,20,0,0.2,False,1.195,0
scenario43,1,20,100,100,20,-30,100,100,40,0.6,False,0.873,0
scenario44,0,0,20,20,40,0,0,100,0,0.6,False,1.135,0
scenario45,1,40,100,20,0,-90,100,100,20,0.4,False,0.947,0
scenario46,0,80,40,60,100,90,20,0,0,0.8,False,1.197,0
scenario47,1,40,60,100,80,30,40,80,0,0.1,False,0.886,0
scenario48,0,80,40,20,100,-60,0,60,0,0.8,False,1.116,0
scenario49,0,60,80,80,0,-90,40,40,40,1.0,False,1.028,0
scenario50,1,100,100,20,0,60,100,100,100,0.4,False,0.97,0
scenario51,1,40,80,0,100,0,60,40,40,1.0,False,0.859,0
scenario52,1,80,100,40,40,0,60,40,100,0.4,False,0.913,0
scenario53,1,40,100,0,20,0,40,0,20,0.8,False,0.874,0
scenario54,0,100,60,0,80,30,40,0,60,0.8,False,1.165,0
