instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c1,0,2,1,2,0.4,100,0,60,60,40,100,40,0,3.712845793483925,0
scenario2,c2,2,1,0,1,0.1,40,20,40,80,100,20,60,0,4.058597384591643,0
scenario3,c4,1,0,2,0,0.2,20,80,100,100,0,80,40,0,9999.0,0
scenario4,c4,2,0,1,2,1.0,0,40,20,0,80,40,60,0,4.374345606737916,0
scenario5,c2,2,1,0,1,0.8,100,100,100,20,20,60,40,0,4.817389239958377,0
scenario6,c4,1,2,2,0,1.0,20,60,0,40,60,0,60,0,2435.0701918721056,0
scenario7,c2,0,1,2,1,0.2,80,0,80,40,20,20,0,0,4.71686056098319,0
scenario8,c4,2,0,1,0,0.6,80,100,0,80,80,100,80,0,1.674109561790876,0
scenario9,c2,0,1,2,1,0.4,60,60,100,0,100,100,100,0,4.378631120508168,0
scenario10,c2,0,1,2,0,0.1,0,40,40,20,60,100,40,0,3.615458784414751,0
scenario11,c4,2,0,1,0,0.2,40,100,60,40,40,40,20,0,1.881401720452314,0
scenario12,c1,1,2,0,2,0.4,0,20,100,60,0,0,80,0,9999.0,0
scenario13,c1,1,2,0,1,0.6,0,80,80,100,100,40,0,0,2.619638761101347,0
scenario14,c4,1,2,2,0,0.8,60,40,80,60,80,60,20,0,2.901884083868279,0
scenario15,c1,1,2,0,2,0.1,100,100,20,100,80,80,100,0,5.138356825860573,0
scenario16,c1,1,2,0,2,0.6,60,60,20,40,20,40,80,1,0.0,1
scenario17,c1,0,1,1,2,0.4,80,40,0,100,100,0,20,0,10.060882536311697,0
scenario18,c4,2,0,1,2,0.8,20,60,60,100,100,60,80,0,3.013074169967043,0
scenario19,c4,2,0,1,2,0.2,60,80,40,20,80,20,100,0,4.042508163425875,0
scenario20,c4,2,0,1,0,0.6,20,0,100,0,40,20,60,0,3.701813723394526,0
scenario21,c4,2,0,1,0,0.8,0,0,20,80,60,80,0,0,9999.0,0
scenario22,c2,0,1,2,1,0.1,0,100,80,0,20,0,20,0,1.9001373695913184,0
scenario23,c2,0,1,2,1,0.1,80,80,0,60,40,60,60,0,4.309463578829693,0
scenario24,c4,1,2,2,0,1.0,100,20,60,0,20,80,0,0,5.251234099119106,0
scenario25,c2,0,1,2,1,0.8,20,20,40,0,20,40,100,0,2.6379448711142177,0
scenario26,c2,2,0,0,1,1.0,40,80,20,40,0,100,100,0,3.4898508051508537,0
scenario27,c2,0,1,2,1,1.0,100,40,40,100,20,20,80,0,2.9378612165027724,0
scenario28,c4,2,0,1,0,0.4,80,60,40,20,40,80,0,0,3.435921926176656,0
scenario29,c2,0,1,2,1,0.6,40,60,40,40,80,60,40,0,4.897252156218455,0
scenario30,c2,2,0,0,1,0.6,100,60,60,20,80,0,20,0,4.7535587704578806,0
scenario31,c1,1,2,0,2,0.2,40,40,80,100,40,100,60,0,5.758644604305224,0
scenario32,c1,1,2,0,1,0.4,0,100,0,80,40,20,100,0,2.0690938854378023,0
scenario33,c1,1,2,0,2,1.0,100,0,0,80,0,60,20,0,2.371849347345926,0
scenario34,c2,0,1,2,1,0.4,60,40,60,80,0,40,0,0,6350.121341124199,0
scenario35,c2,2,0,0,1,1.0,40,0,80,60,80,80,80,0,4.916025354782574,0
scenario36,c1,0,1,1,2,0.6,0,20,20,20,0,20,40,0,3.686871620152927,0
scenario37,c1,0,2,1,2,0.1,20,0,80,20,0,0,0,1,0.0,1
scenario38,c1,0,1,1,2,0.1,20,60,100,80,80,40,40,0,2.742405040365101,0
scenario39,c1,1,2,0,2,0.4,0,80,60,40,100,80,60,1,0.0,1
scenario40,c4,2,0,1,0,0.8,80,80,60,80,20,0,100,0,2.2784148131871733,0
scenario41,c4,1,2,2,0,0.2,80,60,20,60,20,100,20,0,1.9762713403607803,0
scenario42,c1,0,1,1,2,0.2,40,20,0,0,20,60,80,0,2.566334570063578,0
scenario43,c2,0,1,2,0,0.6,20,100,60,60,0,60,100,0,3.0542380415377,0
scenario44,c4,1,0,2,0,0.4,20,100,80,60,100,20,40,0,3.549199903700873,0
scenario45,c2,2,1,0,1,1.0,0,80,60,60,60,20,20,0,0.787694889575623,0
scenario46,c4,2,0,1,0,0.4,100,80,100,40,80,60,0,0,3.178603895311291,0
scenario47,c1,1,2,0,2,0.6,40,20,20,80,40,0,0,0,2.9466609210117323,0
scenario48,c2,0,1,2,1,0.2,0,40,0,20,80,80,80,0,9999.0,0
scenario49,c4,1,0,2,0,0.8,20,20,60,20,80,100,60,1,0.0,1
scenario50,c2,0,1,2,1,0.4,20,80,20,20,60,40,80,0,4.15267158833935,0
scenario51,c4,2,0,1,0,0.1,60,20,40,40,0,80,20,0,6156.504784443561,0
scenario52,c2,2,0,0,1,0.1,60,20,60,100,40,0,40,0,5.309260480831191,0
scenario53,c4,2,0,1,0,0.4,40,60,80,20,0,60,60,0,4.220937377621848,0
scenario54,c1,0,2,1,2,1.0,0,0,100,100,20,100,100,0,2.56137711261469,0
scenario55,c1,1,2,0,2,0.8,40,0,100,40,60,40,60,0,2.2738334293860305,0
scenario56,c1,1,2,0,1,0.2,80,40,40,0,0,60,40,0,4.220643905645487,0
scenario57,c1,0,1,1,2,0.6,80,40,80,40,60,80,100,0,3.303174273133606,0
scenario58,c1,1,2,0,2,0.1,80,100,0,0,60,40,0,0,3.944327927967495,0
scenario59,c4,2,0,1,0,1.0,60,0,40,0,100,0,40,0,5.661310790017257,0
scenario60,c1,0,1,1,2,0.8,60,20,0,60,40,20,0,0,9999.0,0
scenario61,c2,2,0,0,1,0.2,100,60,40,0,60,80,60,0,6.719300836208481,0
scenario62,c1,0,1,1,2,0.8,100,80,80,0,0,100,80,0,4.486964647907229,0
scenario63,c2,0,1,2,1,0.8,40,0,20,0,100,20,20,0,3.7795574588366687,0
scenario64,c1,1,2,0,2,0.6,20,0,0,20,20,80,20,0,3.144285403359966,0
scenario65,c4,1,2,2,0,1.0,80,20,100,20,100,40,80,0,9999.0,0
scenario66,c4,1,2,2,0,1.0,60,80,100,80,40,20,80,0,3.051361331020859,0
scenario67,c2,2,0,0,1,0.4,20,20,80,80,60,100,20,0,2.179047600302692,0
scenario68,c4,2,0,1,0,0.1,40,40,60,20,100,20,100,0,2.9692396785195565,0
scenario69,c4,2,0,1,0,0.2,80,0,20,100,60,0,80,0,3.2421016052792986,0
scenario70,c4,1,0,2,0,0.8,100,40,0,40,0,20,60,0,2.7106787518235977,0
scenario71,c1,1,2,0,2,0.6,80,0,40,60,40,40,20,0,4.1328669812405625,0
scenario72,c4,2,0,1,2,0.6,100,20,100,100,60,100,0,0,3.3145748030304163,0
scenario73,c2,0,1,2,0,0.8,0,60,0,100,40,40,40,0,2.1237625729762706,0
scenario74,c4,1,2,2,0,0.8,40,0,40,100,40,60,100,0,2.064362438663101,0
scenario75,c1,1,2,0,2,0.1,60,80,40,80,20,100,0,0,4.968295811091409,0
scenario76,c2,0,1,2,1,0.6,80,80,100,60,60,0,40,0,3.072643032094637,0
scenario77,c2,0,1,2,1,0.2,80,100,20,80,100,40,60,0,9999.0,0
scenario78,c4,2,0,1,2,0.2,20,100,40,60,20,0,60,0,2.41792703331479,0
scenario79,c4,2,0,1,0,0.1,0,80,20,80,100,60,40,0,3.642075997082969,0
scenario80,c4,2,0,1,0,0.2,80,20,0,60,100,80,100,0,5.746924130034906,0
scenario81,c1,1,2,0,2,1.0,0,100,40,60,100,60,0,0,4.936075970897488,0
scenario82,c4,2,0,1,0,1.0,20,20,20,100,80,20,20,0,4.486381426431609,0
scenario83,c1,1,2,0,2,0.6,20,100,40,40,60,20,80,0,1.8586910808061228,0
scenario84,c2,2,1,0,1,1.0,20,40,40,80,100,80,100,0,3.386139868463067,0
scenario85,c1,0,2,1,2,0.4,60,100,60,0,60,60,60,0,9999.0,0
scenario86,c2,0,1,2,1,0.1,40,40,100,80,60,60,80,0,4.661005693415937,0
scenario87,c1,1,2,0,2,0.4,80,20,80,0,80,80,40,0,3.862353657922364,0
scenario88,c4,2,0,1,0,0.4,100,60,80,100,20,40,20,0,2.764045126224491,0
scenario89,c2,0,1,2,1,0.4,60,80,0,40,20,0,40,0,3.0231941416821533,0
scenario90,c2,0,1,2,1,0.8,100,40,20,80,80,0,40,0,3.4751331052962056,0
scenario91,c2,2,1,0,1,0.8,20,40,20,40,40,100,0,0,4.663381930195648,0
scenario92,c2,0,1,2,1,0.8,60,20,20,100,20,80,60,1,0.0,1
scenario93,c2,2,1,0,1,1.0,100,60,80,60,40,40,100,0,3.0566126394738005,0
scenario94,c1,1,2,0,2,0.1,20,40,100,20,40,40,20,0,4.736624833080529,0
scenario95,c2,0,1,2,1,0.2,0,0,60,80,0,100,100,0,7.262165767907773,0
scenario96,c1,0,2,1,2,0.8,80,100,100,20,0,20,20,0,9999.0,0
scenario97,c1,0,2,1,2,0.2,100,60,80,80,100,20,0,0,4.3770524912656485,0
scenario98,c4,1,0,2,0,0.6,0,0,80,40,40,60,80,0,9999.0,0
scenario99,c1,1,2,0,2,1.0,80,40,60,40,20,40,40,0,2.175513712337542,0
scenario100,c4,1,2,2,0,0.2,100,100,40,20,0,40,80,0,3.524786953290599,0
scenario101,c4,2,0,1,0,0.2,0,40,100,40,0,0,20,1,0.0,1
scenario102,c2,0,1,2,1,1.0,80,80,100,0,80,80,20,0,5.120429552381597,0
scenario103,c2,0,1,2,0,0.2,100,20,80,40,80,0,100,0,4.764626558683899,0
scenario104,c1,0,1,1,2,1.0,60,60,60,20,60,80,40,0,5.116437423377194,0
scenario105,c2,2,0,0,1,1.0,0,20,40,20,40,60,60,0,3.6357520402491232,0
scenario106,c4,1,0,2,0,0.1,0,20,0,0,100,100,0,0,1.587277787999585,0
scenario107,c4,1,2,2,0,0.4,100,20,20,20,60,60,100,0,2.6269948007146287,0
scenario108,c2,0,1,2,1,0.8,80,100,40,40,80,80,80,1,0.0,1
scenario109,c2,0,1,2,0,0.2,40,80,60,0,60,0,0,1,0.0,1
scenario110,c1,0,2,1,2,0.2,0,20,80,60,60,40,40,0,3.5925559086690466,0
scenario111,c2,2,0,0,1,0.6,60,100,100,100,100,60,20,0,3.862889252745103,0
scenario112,c1,1,2,0,2,0.1,40,60,60,60,0,40,60,0,0.9256199996842216,0
scenario113,c1,1,2,0,2,0.8,40,80,80,20,100,0,40,0,1.0043914156770957,0
scenario114,c1,0,1,1,2,0.1,100,60,40,0,40,0,80,0,649.6357356110179,0
scenario115,c1,1,2,0,1,0.6,100,40,20,60,100,100,60,1,0.0,1
scenario116,c4,1,0,2,0,0.6,40,80,80,80,20,80,20,0,4.201515234585158,0
scenario117,c2,2,1,0,1,0.1,60,0,0,20,80,60,0,0,3.547925698659026,0
scenario118,c2,2,1,0,1,0.4,80,60,20,100,0,20,100,0,3.2294685591753463,0
scenario119,c1,1,2,0,1,0.2,20,20,60,80,40,80,80,1,0.0,1
scenario120,c1,0,2,1,2,0.8,100,60,40,40,100,100,20,0,3.009648195591313,0
scenario121,c2,0,1,2,0,0.6,0,60,100,80,20,0,60,0,3.1306438901774936,0
scenario122,c4,2,0,1,0,0.4,20,40,60,0,80,0,80,0,4.051609669456883,0
