Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},0.1674,0.0626,0.1597,0.0194,-0.1089,0.1328,0.1832,-0.1811,-0.6802,0.4015,0.1905,-0.0442
Z_{2},0.0189,-0.1079,-0.3179,0.0089,-0.2007,0.0335,-0.9374,0.9425,-0.0084,0.1071,-0.4034,0.1801
