Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},-0.5166,-0.8071,0.0194,0.1504,-0.5304,0.6424,-0.914,0.2982,0.2955,-0.3749,0.2801,0.1755,0.0664
Z_{2},-0.1922,-0.7361,0.037,-0.8804,-0.2937,-0.9692,-0.662,0.4634,-0.0982,0.0769,0.1858,-0.4008,0.3855
