Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario95,-60,1,2,0,2,0.6,80,80,0,60,60,20,60
scenario96,90,1,2,0,2,1,100,40,100,80,20,0,100
scenario97,-90,2,1,0,1,1,20,20,40,60,20,20,20
scenario98,-30,2,0,1,0,0.4,100,60,0,80,80,20,20
scenario99,-90,2,0,1,2,0.1,40,80,20,60,40,100,100
scenario100,30,0,1,2,1,0.6,80,100,40,60,80,100,80
scenario101,-90,2,0,1,0,0.6,80,20,80,40,40,20,0
scenario102,30,2,0,1,2,0.4,60,60,60,80,40,60,80
scenario103,90,0,1,1,2,1,80,100,60,100,0,60,0
scenario104,60,1,2,0,1,0.1,0,80,20,20,60,0,20
scenario105,30,0,1,2,1,0.2,0,0,100,20,0,40,20
scenario106,90,2,1,0,1,0.8,100,60,40,100,100,80,80
scenario107,-30,2,1,0,1,0.8,40,100,100,20,80,100,100
scenario108,-90,0,1,2,1,0.4,80,40,20,0,100,60,20
scenario109,0,1,2,2,0,1,100,20,80,80,100,40,60
scenario110,-30,0,1,2,1,0.1,0,0,40,80,20,60,0
scenario111,-60,2,0,1,0,0.6,100,80,100,100,20,60,80
scenario112,90,1,2,0,2,0.8,80,0,40,40,80,20,20
scenario113,60,2,1,0,1,0.2,60,20,100,100,60,40,100
scenario114,-90,0,1,2,1,0.6,40,0,80,20,20,100,20
scenario115,-90,0,1,1,2,0.2,20,100,0,60,0,0,80
scenario116,-60,0,1,2,1,0.1,60,60,0,20,20,0,40
scenario117,-30,2,0,1,2,0.6,80,20,20,20,80,40,20
scenario118,-60,2,0,1,0,0.4,0,100,0,60,100,40,100
scenario119,60,2,0,1,2,0.6,40,80,40,40,100,80,0
scenario120,-90,0,1,2,0,0.6,0,80,100,80,80,0,60
scenario121,30,1,0,2,0,0.2,20,0,20,0,100,100,40
scenario122,0,0,1,2,1,0.8,20,40,0,80,80,0,40
scenario123,-90,1,2,2,0,0.8,20,0,60,0,0,80,0
scenario124,0,0,1,1,2,0.1,60,80,60,100,60,20,40
scenario125,0,1,2,0,2,0.6,80,20,80,100,0,80,40
scenario126,-30,0,2,1,2,0.2,60,80,100,60,100,100,40
scenario127,90,1,0,2,0,0.6,80,40,0,0,20,80,60
scenario128,90,1,2,0,1,0.2,0,0,20,60,40,60,60
scenario129,30,0,1,2,1,0.8,0,40,80,80,60,60,100
scenario130,-60,1,2,0,1,0.2,100,20,100,40,100,20,40
scenario131,60,2,0,1,0,0.6,60,40,60,60,0,80,100
scenario132,0,2,0,1,2,1,100,80,20,0,100,20,0
scenario133,-30,2,0,1,0,0.8,0,100,20,80,40,40,80
scenario134,90,2,0,1,0,0.4,40,80,60,40,0,100,60
scenario135,60,1,2,2,0,1,80,60,40,0,60,0,100
scenario136,0,1,2,0,1,0.1,60,20,60,80,40,0,0
scenario137,-60,1,0,2,0,0.6,0,40,40,20,100,60,40
scenario138,0,1,2,0,2,0.6,60,80,0,20,80,40,80
scenario139,30,0,1,2,1,0.8,60,20,0,40,0,80,100
scenario140,30,2,0,1,0,0.1,60,100,80,20,60,100,60
scenario141,30,2,0,1,0,0.4,80,20,80,0,0,60,20
scenario142,-90,2,1,0,1,0.1,100,60,80,0,80,80,60
scenario143,-30,1,0,2,0,0.1,60,60,80,100,40,0,100
scenario144,30,1,2,2,0,0.1,60,40,40,40,100,0,20
scenario145,0,1,2,2,0,0.4,100,40,100,100,60,0,80
scenario146,90,2,0,1,2,0.2,0,100,40,100,40,0,40
scenario147,90,1,2,0,1,0.1,40,100,20,100,20,80,0
scenario148,90,1,2,0,2,0.8,60,100,0,80,0,40,20
scenario149,90,2,0,1,0,0.4,60,20,20,40,20,60,40
scenario150,60,1,2,0,1,0.4,40,0,0,100,100,20,80
scenario151,-90,2,0,1,2,0.4,100,0,0,40,20,40,60
scenario152,-30,1,0,2,0,0.6,40,40,80,40,80,60,80
scenario153,-90,2,1,0,1,0.4,20,60,100,40,40,80,100
scenario154,60,0,2,1,2,0.4,80,60,20,60,20,0,60
scenario155,60,2,0,1,0,1,0,100,60,80,20,100,40
scenario156,-30,2,0,1,0,0.8,0,60,40,100,0,100,0
scenario157,30,2,1,0,1,0.1,100,40,0,100,40,80,40
