Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,startego
Z_{1},0.3079,0.0441,-0.037,-0.022,-0.7169,0.0521,0.0142,-0.0117,0.4291,0.0119,0.0086,-0.1385
Z_{2},0.5358,-0.12,0.0971,-0.13,0.3565,-0.1027,-0.0291,0.1015,0.2095,0.0266,-0.0663,-0.8747
