Row,IsBetaEasy
scenario430,1
scenario431,0
scenario432,1
scenario433,1
scenario434,1
scenario435,1
scenario436,1
scenario437,1
scenario438,1
scenario439,0
scenario440,1
scenario441,0
scenario442,1
scenario443,0
scenario444,1
scenario445,1
scenario446,1
scenario447,1
scenario448,1
scenario449,1
scenario450,1
scenario451,1
scenario452,1
scenario453,0
scenario454,1
scenario455,0
scenario456,0
scenario457,1
scenario458,0
scenario459,0
scenario460,1
scenario461,1
scenario462,0
scenario463,1
scenario464,0
scenario465,1
scenario466,1
scenario467,1
scenario468,1
scenario469,1
scenario470,0
scenario471,1
scenario472,1
scenario473,1
scenario474,1
scenario475,0
scenario476,1
scenario477,1
scenario478,1
scenario479,1
scenario480,1
scenario481,1
scenario482,1
scenario483,0
scenario484,0
scenario485,0
scenario486,1
scenario487,1
scenario488,1
scenario489,1
scenario490,1
scenario491,1
scenario492,0
scenario493,1
scenario494,1
scenario495,1
scenario496,1
scenario497,1
scenario498,1
scenario499,1
scenario500,1
scenario501,0
scenario502,1
scenario503,1
scenario504,1
scenario505,1
scenario506,1
scenario507,1
scenario508,0
scenario509,1
scenario510,1
scenario511,1
scenario512,0
scenario513,1
scenario514,1
scenario515,1
scenario516,1
scenario517,0
scenario518,1
scenario519,1
scenario520,1
scenario521,0
scenario522,1
scenario523,0
scenario524,1
scenario525,1
scenario526,1
scenario527,1
scenario528,0
scenario529,0
scenario530,1
scenario531,0
scenario532,1
scenario533,1
scenario534,1
scenario535,1
scenario536,1
scenario537,1
scenario538,0
scenario539,1
scenario540,0
scenario541,1
scenario542,1
scenario543,0
scenario544,0
scenario545,1
scenario546,1
scenario547,1
scenario548,1
scenario549,1
scenario550,1
scenario551,1
scenario552,0
scenario553,1
scenario554,0
scenario555,1
scenario556,1
scenario557,0
scenario558,1
scenario559,1
scenario560,0
scenario561,1
scenario562,0
scenario563,1
scenario564,1
scenario565,1
scenario566,1
scenario567,1
scenario568,1
scenario569,1
scenario570,1
scenario571,0
scenario572,0
scenario573,0
scenario574,1
scenario575,1
scenario576,1
scenario577,1
scenario578,1
scenario579,1
scenario580,1
scenario581,1
scenario582,1
scenario583,0
scenario584,1
scenario585,1
scenario586,0
scenario587,0
scenario588,1
scenario589,1
scenario590,1
scenario591,1
scenario592,1
scenario593,0
scenario594,0
scenario595,1
scenario596,0
scenario597,0
scenario598,1
scenario599,1
scenario600,0
scenario601,0
scenario602,1
scenario603,1
scenario604,1
scenario605,0
scenario606,1
scenario607,1
scenario608,1
scenario609,1
scenario610,1
scenario611,1
scenario612,0
scenario613,1
scenario614,0
scenario615,1
scenario616,1
scenario617,1
scenario618,1
scenario619,1
scenario620,1
scenario621,1
scenario622,1
scenario623,0
scenario624,1
scenario625,1
scenario626,1
scenario627,1
scenario628,1
scenario629,1
scenario630,1
scenario631,0
scenario632,1
scenario633,1
scenario634,1
scenario635,1
scenario636,1
scenario637,1
scenario638,1
scenario639,1
scenario640,0
scenario641,0
scenario642,1
scenario643,1
scenario644,1
scenario645,1
scenario646,1
scenario647,0
scenario648,1
