Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c1,right,20,0.6,20,left,0,40,0,right,80,40,-60,base,0,3.2850870937019527,0
scenario2,c4,right,80,1.0,0,right,0,20,60,base,100,20,0,left,0,2.230208518853775,0
scenario3,c2,left,0,0.8,40,right,0,100,0,left,0,100,90,base,0,4.36049422199672,0
scenario4,c4,base,20,0.2,40,right,80,80,20,base,100,100,60,left,0,2.752132357315039,0
scenario5,c2,left,60,0.1,0,right,40,60,60,left,20,60,-90,base,0,4.148747207746549,0
scenario6,c1,right,100,0.4,20,base_left_lane,60,60,100,left,60,0,30,left,0,0.9924477116967118,0
scenario7,c2,left,80,0.6,100,base_left_lane,60,80,20,left,100,40,-30,right,0,3.2337980831240007,0
scenario8,c1,right,40,0.2,60,left,60,100,100,right,40,0,-60,base,0,1.810927771963062,0
scenario9,c4,base,0,1.0,100,left,80,20,80,base,80,20,90,right,0,2.38771609706327,0
scenario10,c2,base,0,0.6,20,base_left_lane,20,100,0,left,60,100,-90,right,0,2.5226009752063767,0
scenario11,c1,left,0,0.8,80,left,60,60,20,right,100,40,60,base,0,3.1201254665686746,0
scenario12,c4,base,20,0.6,0,right,0,0,60,base,0,0,30,left,0,2.4871273457312784,0
scenario13,c1,right,100,0.1,60,base,60,80,20,right,20,60,60,left,0,1.5349462885066345,0
scenario14,c1,left,60,0.1,80,left,100,60,60,right,20,80,-30,base,0,1.133814173860225,0
scenario15,c4,base,80,0.1,60,left,20,80,80,base,0,100,-60,right,0,3.920260479649455,0
scenario16,c4,base,100,0.4,100,left,80,0,60,base,20,60,90,right,0,3.908061866344653,0
scenario17,c1,right,20,0.1,0,base_left_lane,20,40,40,left,100,100,-90,left,0,0.900853768370482,0
scenario18,c1,left,100,0.4,40,left,60,20,100,right,100,40,60,base,0,2.2402363491171315,0
scenario19,c2,left,40,0.1,20,right,100,60,60,left,40,80,90,base,0,4.655493663701562,0
scenario20,c4,base,60,0.8,60,left,100,100,60,right,40,20,60,right,0,2.81239543718527,0
scenario21,c2,base,40,1.0,40,base_left_lane,40,20,40,left,60,60,-30,right,0,1.6769895550752238,0
scenario22,c1,right,100,0.8,20,left,100,20,20,right,80,80,30,base,0,2.189975824744929,0
scenario23,c4,base,40,0.2,40,left,40,40,0,right,80,0,-30,right,0,1.483340095777839,0
scenario24,c4,right,20,0.2,100,right,20,0,20,base,40,100,0,left,0,9999.0,0
scenario25,c2,left,40,0.2,0,right,100,20,20,base,20,40,30,base,0,3.088454739598149,0
scenario26,c4,base,80,1.0,100,left,40,80,40,right,20,80,-90,right,0,1.7899264031963922,0
scenario27,c1,right,80,0.8,80,base_left_lane,60,80,80,left,80,20,-90,left,0,1.564991364517025,0
scenario28,c4,base,100,0.6,60,right,0,100,100,base,20,100,0,left,0,2.1204823205306456,0
scenario29,c1,right,0,0.4,80,left,80,0,100,right,0,60,-30,base,0,2.6542567046632133,0
scenario30,c4,right,80,0.4,60,right,20,20,0,base,20,20,0,left,0,9999.0,0
scenario31,c1,right,60,1.0,0,base,40,40,80,right,80,60,90,left,0,1.8073350964677533,0
scenario32,c4,base,60,0.6,100,right,80,0,40,base,60,40,60,left,0,9999.0,0
scenario33,c2,left,0,0.4,40,right,40,0,80,base,0,80,-90,base,0,3.932277384457696,0
scenario34,c2,base,0,1.0,60,base_left_lane,80,100,0,left,0,0,30,right,0,1.2452015737827993,0
scenario35,c4,right,100,0.2,80,right,60,0,80,base,20,100,90,left,0,3.461898088772127,0
scenario36,c1,right,40,0.2,20,left,60,40,20,right,0,60,-30,base,0,3.165495942070957,0
scenario37,c1,left,80,0.1,100,left,20,0,60,right,60,0,90,base,0,2.7965932641420217,0
scenario38,c1,right,20,0.6,20,base,0,60,40,right,20,60,-30,left,0,2.735580259632452,0
scenario39,c2,base,100,0.6,40,base_left_lane,60,80,60,left,100,40,-30,right,0,2.2361325955723443,0
scenario40,c2,left,0,0.6,100,base_left_lane,40,40,0,left,100,100,-60,right,0,1.8188016806980585,0
scenario41,c4,base,0,0.4,60,left,40,20,40,right,40,20,90,right,0,2.9917339268699563,0
scenario42,c4,base,0,0.6,40,left,60,80,40,right,20,40,30,right,0,1.252809429351811,0
scenario43,c2,left,40,0.1,0,right,20,80,80,base,60,100,30,base,0,4.56490646270856,0
scenario44,c2,left,40,1.0,40,right,60,20,100,left,100,60,-60,base,0,4.429495391697594,0
scenario45,c4,base,20,0.2,0,right,20,60,20,base,60,60,-90,left,0,2.817179114536808,0
scenario46,c4,base,60,0.1,0,left,40,20,100,base,20,20,60,right,0,2.4258132864036006,0
scenario47,c4,right,80,0.1,40,right,20,80,0,base,0,60,-90,left,0,9999.0,0
scenario48,c1,right,60,0.4,100,base,40,20,60,right,100,40,-30,left,0,1.3875497080239023,0
scenario49,c4,base,80,0.8,100,left,80,0,60,base,40,20,60,right,0,2.293700034270814,0
scenario50,c1,right,100,1.0,20,left,0,80,80,right,0,20,-90,base,0,3.418722966573964,0
scenario51,c4,base,20,1.0,60,left,60,60,40,right,40,100,-90,right,0,1.4281375006259447,0
scenario52,c1,left,80,0.8,80,left,100,20,60,right,20,100,-30,base,0,2.966955752546756,0
scenario53,c2,base,80,0.4,20,base_left_lane,100,40,80,left,20,20,60,right,0,2.6529168182394205,0
scenario54,c2,left,80,0.8,80,right,0,100,20,left,40,100,0,base,0,3.7303246195377,0
scenario55,c4,base,0,0.8,40,right,20,0,20,base,60,60,-90,left,0,3.2344323386263105,0
scenario56,c2,left,60,0.6,60,right,100,80,0,base,100,0,0,base,0,4.090519356379292,0
scenario57,c4,right,100,0.2,80,right,80,100,100,base,80,0,90,left,0,3.353327382297431,0
scenario58,c4,right,20,0.4,0,right,60,40,40,base,40,100,0,left,0,3.470802355583649,0
scenario59,c4,right,20,0.4,20,right,0,40,100,base,80,100,90,left,1,9999.0,1
scenario60,c4,base,20,0.2,40,right,0,60,60,base,60,0,90,left,0,2.3415285000219144,0
