Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario61,c2,left,20,0.1,60,base_left_lane,80,20,80,left,80,100,-30,right,0,2.185385745069871,0
scenario62,c1,left,20,0.6,60,left,80,60,100,right,40,80,-60,base,0,2.428657081472648,0
scenario63,c1,right,60,0.8,100,base_left_lane,80,100,0,left,20,0,60,left,0,1627.869383500304,0
scenario64,c1,right,60,0.6,60,base,100,60,60,right,80,100,60,left,0,1.4544907853719269,0
scenario65,c1,right,40,0.8,100,left,20,20,60,right,60,40,60,base,0,3.462943028663454,0
scenario66,c2,left,80,0.8,100,base_left_lane,60,80,40,left,80,0,-60,right,0,2.425387535577075,0
scenario67,c4,base,80,1.0,100,left,80,100,0,right,40,100,30,right,0,2.224914309872255,0
scenario68,c1,right,60,0.1,0,left,100,0,40,right,60,60,-90,base,0,3.2529684188100205,0
scenario69,c2,base,80,0.4,60,base_left_lane,0,60,0,left,0,100,30,right,1,9999.0,1
scenario70,c1,right,0,0.6,80,left,0,0,80,right,40,0,-90,base,0,3.079225904068511,0
scenario71,c2,base,40,0.6,20,base_left_lane,0,20,40,left,100,60,-30,right,0,2.9770782762206016,0
scenario72,c1,right,60,0.6,100,left,40,80,100,right,80,20,60,base,0,1.9962437327958424,0
scenario73,c2,left,60,0.8,0,base_left_lane,0,80,40,left,40,60,30,right,0,2.402113414417318,0
scenario74,c1,right,40,1.0,100,left,100,0,40,right,100,40,0,base,0,1.8710403212387243,0
scenario75,c2,base,100,0.4,40,base_left_lane,0,0,40,left,80,100,-90,right,0,0.756375723500696,0
scenario76,c4,base,40,0.1,40,right,40,40,80,base,20,40,90,left,0,2.9488965619224103,0
scenario77,c1,left,100,1.0,20,left,20,40,40,right,80,40,90,base,0,2.0042739218503605,0
scenario78,c2,left,100,0.4,60,base_left_lane,40,80,20,left,40,20,90,right,0,3.192514932419558,0
scenario79,c2,left,20,0.4,0,base_left_lane,40,80,0,left,60,80,90,right,0,2.9029939196674426,0
scenario80,c1,right,0,0.6,40,left,100,40,80,right,40,80,90,base,0,3.062450040935731,0
scenario81,c4,base,60,0.6,80,right,100,60,60,base,40,60,-30,left,0,1.7451899836255496,0
scenario82,c1,right,80,1.0,100,left,80,0,80,right,60,20,0,base,0,1.7498497595231086,0
scenario83,c4,base,0,0.1,40,right,20,80,80,base,40,0,90,left,0,1.5859463885527707,0
scenario84,c4,base,0,0.4,0,right,0,60,100,base,80,20,0,left,0,3.678442429871639,0
scenario85,c2,left,0,0.8,40,right,60,80,0,left,80,20,30,base,0,4.272773111755066,0
scenario86,c2,base,0,0.6,40,base_left_lane,80,20,20,left,0,20,-60,right,0,2.407413299258953,0
scenario87,c4,base,80,0.4,60,right,40,40,80,base,20,0,30,left,0,2.5589297540399314,0
scenario88,c4,base,0,0.8,0,left,0,20,60,right,0,100,-90,right,0,2.1993811659826905,0
scenario89,c4,right,60,0.4,80,right,40,40,60,base,0,40,60,left,1,9999.0,1
scenario90,c4,right,0,0.2,60,right,80,0,100,base,20,0,60,left,1,1.82597673823234,1
