Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario62,c4,base,40,1.0,60,left,80,0,40,right,80,40,90,right,0,2.0544633076338155,0
scenario63,c4,base,20,0.1,40,left,20,60,80,base,100,20,0,right,0,2.3919278004590847,0
scenario64,c4,right,40,0.4,20,right,100,0,0,base,100,80,-60,left,0,9999.0,0
scenario65,c1,right,0,0.2,20,base,80,0,80,right,0,60,-30,left,0,1.90062528630566,0
scenario66,c1,right,60,1.0,40,left,20,0,40,right,20,40,0,base,0,2.814813312523429,0
scenario67,c1,right,40,1.0,40,left,80,0,60,right,0,100,-30,base,0,2.541343219428436,0
scenario68,c1,right,0,0.8,0,base_left_lane,60,60,100,left,100,100,60,left,0,1.2399313244108334,0
scenario69,c2,base,0,0.2,40,base_left_lane,60,100,80,left,60,60,30,right,0,2.000596127712313,0
scenario70,c4,base,40,0.4,80,left,40,80,80,base,0,0,90,right,0,2.549599477130849,0
scenario71,c4,base,60,0.4,0,right,20,60,100,base,80,20,90,left,0,1.9767318203650783,0
scenario72,c2,left,60,0.8,20,right,80,60,60,base,20,40,-90,base,0,3.879054513352364,0
scenario73,c4,base,100,0.1,100,left,40,20,60,right,20,100,90,right,0,1.163176856410352,0
scenario74,c1,right,20,0.4,60,base,20,40,100,right,60,20,0,left,0,2.3302057102462346,0
scenario75,c1,right,80,0.6,40,left,80,40,60,right,40,80,30,base,0,3.794831908084432,0
scenario76,c1,right,20,0.1,80,base,100,0,60,right,20,60,30,left,0,2.086117203874646,0
scenario77,c2,left,100,1.0,80,base_left_lane,0,0,40,left,60,20,30,right,0,1.3307925393157127,0
scenario78,c4,base,100,0.8,60,left,60,100,20,base,80,20,30,right,0,2.4064032354552354,0
scenario79,c2,left,80,1.0,20,right,100,0,40,left,60,0,-30,base,0,4.298230750431691,0
scenario80,c1,right,40,0.1,100,base_left_lane,60,20,80,left,80,60,-60,left,0,0.5145003241422178,0
scenario81,c4,base,100,0.2,100,left,80,20,0,right,20,40,-30,right,0,1.8049170770062557,0
scenario82,c4,base,40,0.4,80,right,20,80,0,base,0,80,90,left,0,9999.0,0
scenario83,c2,base,40,1.0,100,base_left_lane,80,100,100,left,100,0,-60,right,0,4.451622784962068,0
scenario84,c4,base,80,0.4,20,left,0,40,80,right,60,100,0,right,0,1.85814456479934,0
scenario85,c1,right,40,0.6,40,base,20,0,100,right,80,100,-90,left,0,1.460193336237872,0
