Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario52,-30,20,40,0,0,0,0.8,0,100,0,40,100,c1,0.00741,left,right,base,right,0,6100.706893298166,0
scenario53,-60,20,20,0,0,0,0.8,0,100,0,40,100,c2,0.00787,base,left,right,left,0,3.814137868307175,0
scenario54,60,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.00684,left,right,right,base,0,9999.0,0
scenario55,-90,40,40,0,0,0,0.8,0,100,0,60,0,c1,0.00563,left,right,base,left,0,9999.0,0
scenario56,-90,40,80,0,0,0,0.8,0,100,0,60,0,c2,0.00568,base,left,right,base,0,4.261401889936168,0
scenario57,0,20,20,0,0,0,0.8,0,100,0,60,0,c4,0.00526,left,base,right,base,0,9999.0,0
scenario58,60,40,40,0,0,0,0.8,0,100,0,60,20,c1,0.00295,base,left,left,right,0,3.1881871350481794,0
scenario59,-30,40,20,0,0,0,0.8,0,100,0,60,20,c2,0.00231,right,base,base,left,0,2.5398917085263326,0
scenario60,-90,20,60,0,0,0,0.8,0,100,0,60,20,c4,0.01474,right,base,left,right,0,1.1541032095637966,0
scenario61,-90,20,100,0,0,0,0.8,0,100,0,60,40,c1,0.0129,base,right,left,right,0,3.3658982836092566,0
scenario62,30,20,40,0,0,0,0.8,0,100,0,60,40,c2,0.00825,right,left,base,left,0,2.937801367810001,0
scenario63,0,20,60,0,0,0,0.8,0,100,0,60,40,c4,0.00787,right,base,left,base,1,2.176313953173794,1
scenario64,0,20,80,0,0,0,0.8,0,100,0,60,60,c1,0.00833,left,right,base,right,0,2003.1886276517348,0
scenario65,90,20,40,0,0,0,0.8,0,100,0,60,60,c2,0.00691,base,left,right,left,0,4.540644697521109,0
scenario66,-30,20,100,0,0,0,0.8,0,100,0,60,60,c4,0.0069,left,right,right,base,0,9999.0,0
scenario67,60,20,60,0,0,0,0.8,0,100,0,60,80,c1,0.00697,left,right,base,left,0,7341.882481651748,0
scenario68,-30,20,60,0,0,0,0.8,0,100,0,60,80,c2,0.00674,base,left,right,base,0,4.16436416284224,0
scenario69,-60,20,100,0,0,0,0.8,0,100,0,60,80,c4,0.00664,left,base,right,base,0,9999.0,0
scenario70,60,20,100,0,0,0,0.8,0,100,0,60,100,c1,0.00591,base,left,left,right,1,9999.0,1
scenario71,90,20,80,0,0,0,0.8,0,100,0,60,100,c2,0.00611,right,base,base,left,0,0.6492882646887814,0
scenario72,30,20,100,0,0,0,0.8,0,100,0,60,100,c4,0.00574,right,base,left,right,0,1.394959123084292,0
scenario73,-60,20,60,0,0,0,0.8,0,100,0,80,0,c1,0.00587,base,right,left,right,0,2.2019113395798025,0
scenario74,-90,40,60,0,0,0,0.8,0,100,0,80,0,c2,0.00583,right,left,base,left,0,0.6478870231217734,0
scenario75,-90,40,100,0,0,0,0.8,0,100,0,80,0,c4,0.00499,right,base,left,base,0,1.3190322929414966,0
scenario76,-90,60,40,0,0,0,0.8,0,100,0,80,20,c1,0.00481,left,right,base,right,0,9999.0,0
scenario77,-90,60,80,0,0,0,0.8,0,100,0,80,20,c2,0.00442,base,left,right,left,0,4.278500829829791,0
scenario78,-90,40,20,0,0,0,0.8,0,100,0,80,20,c4,0.00368,left,right,right,base,0,9999.0,0
scenario79,90,60,40,0,0,0,0.8,0,100,0,80,40,c1,0.00319,left,right,base,left,0,9999.0,0
scenario80,0,40,40,0,0,0,0.8,0,100,0,80,40,c2,0.00296,base,left,right,base,0,2.892816184157998,0
scenario81,-30,40,40,0,0,0,0.8,0,100,0,80,40,c4,0.00294,left,base,right,base,0,9999.0,0
scenario82,-30,40,80,0,0,0,0.8,0,100,0,80,60,c1,0.0029,base,left,left,right,0,2.959138559328761,0
scenario83,90,40,20,0,0,0,0.8,0,100,0,80,60,c2,0.00293,right,base,base,left,0,0.8586225664651881,0
scenario84,-60,60,20,0,0,0,0.8,0,100,0,80,60,c4,0.00276,right,base,left,right,0,1.3445904411330056,0
scenario85,60,60,40,0,0,0,0.8,0,100,0,80,80,c1,0.00278,base,right,left,right,0,2.6647877599469787,0
scenario86,0,40,100,0,0,0,0.8,0,100,0,80,80,c2,0.00283,right,left,base,left,0,1.0471533799024308,0
scenario87,30,60,40,0,0,0,0.8,0,100,0,80,80,c4,0.00273,right,base,left,base,0,1.104461226353736,0
scenario88,30,40,80,0,0,0,0.8,0,100,0,80,100,c1,0.00264,left,right,base,right,0,9999.0,0
scenario89,60,40,20,0,0,0,0.8,0,100,0,80,100,c2,0.00264,base,left,right,left,0,4.429753442852061,0
scenario90,30,40,60,0,0,0,0.8,0,100,0,80,100,c4,0.0027,left,right,right,base,0,9999.0,0
scenario91,-60,40,40,0,0,0,0.8,0,100,0,100,0,c1,0.00273,left,right,base,left,0,1735.2351446422367,0
scenario92,60,40,60,0,0,0,0.8,0,100,0,100,0,c2,0.00243,base,left,right,base,0,3.9936017777072954,0
scenario93,-60,60,100,0,0,0,0.8,0,100,0,100,0,c4,0.00236,left,base,right,base,0,9999.0,0
scenario94,90,60,80,0,0,0,0.8,0,100,0,100,20,c1,0.00239,base,left,left,right,0,2.6504363066936043,0
scenario95,-90,20,60,0,20,40,0.8,0,100,0,100,20,c2,0.00245,right,base,base,left,0,3.0390337061179054,0
scenario96,0,60,80,0,0,0,0.8,0,100,0,100,20,c4,0.00241,right,base,left,right,0,2.1972892598854643,0
scenario97,-90,20,80,0,20,40,0.8,0,100,0,100,40,c1,0.0025,base,right,left,right,0,1.9161279540478984,0
scenario98,-60,40,80,0,0,0,0.8,0,100,0,100,40,c2,0.00247,right,left,base,left,0,1.4328076758532082,0
