Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario69,c4,left,right,right,base,80,80,20,100,90,100,40,80,1.0,False,1.811,0
scenario70,c1,left,right,base,left,40,20,0,60,-30,100,20,100,1.0,False,2.736,0
scenario71,c1,left,right,base,left,20,40,20,80,-90,100,20,40,1.0,False,2.759,0
scenario72,c4,left,base,right,base,40,40,80,60,-90,100,40,60,1.0,False,2.338,0
scenario73,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario74,c4,right,base,left,right,0,0,20,40,30,40,100,0,0.4,False,1.394,0
scenario75,c4,right,base,left,base,60,60,0,20,-60,60,20,40,0.2,False,3.027,0
scenario76,c2,right,left,base,left,20,80,0,60,-60,80,100,80,0.8,False,1.099,0
scenario77,c2,right,left,base,left,40,40,80,100,-30,0,40,20,0.6,False,0.76,0
scenario78,c1,base,right,left,right,60,60,0,0,-60,60,20,0,0.4,False,2.859,0
scenario79,c2,right,base,base,left,0,20,80,80,-60,80,60,60,0.8,False,0.774,0
scenario80,c4,left,base,right,base,40,40,80,60,-90,100,60,60,0.8,False,2.312,0
scenario81,c2,right,base,base,left,40,40,80,60,-90,80,60,60,1.0,False,0.626,0
scenario82,c2,right,left,base,left,100,0,20,0,-30,60,100,60,0.4,True,0.0,1
scenario83,c2,base,left,right,left,100,20,20,40,30,100,100,20,0.4,False,3.687,0
scenario84,c4,left,right,right,base,60,60,0,100,-60,60,0,80,0.4,True,0.0,1
scenario85,c2,right,base,base,left,40,40,80,60,-90,80,60,60,1.0,False,3.786,0
scenario86,c2,right,base,base,left,20,40,80,60,-60,60,80,60,0.8,True,0.0,1
scenario87,c2,right,base,base,left,40,20,100,60,-90,100,20,80,1.0,True,0.0,1
scenario88,c2,right,base,base,left,60,40,60,60,-90,100,80,80,1.0,True,0.0,1
scenario89,c4,left,base,right,base,40,0,80,60,-90,80,80,80,0.8,False,2.324,0
scenario90,c2,right,left,base,left,40,20,100,80,-90,80,80,80,0.2,False,1.05,0
scenario91,c2,right,base,base,left,40,40,80,60,-90,80,40,40,1.0,False,2.908,0
scenario92,c1,left,right,base,right,40,20,80,0,-90,80,60,60,1.0,False,2.849,0
scenario93,c2,right,base,base,left,60,60,40,60,-90,80,60,60,1.0,False,0.532,0
scenario94,c2,base,left,right,base,20,40,80,80,-90,100,40,60,1.0,False,3.857,0
scenario95,c2,right,base,base,left,60,20,80,80,-90,80,0,60,0.2,True,0.0,1
scenario96,c1,base,left,left,right,20,20,0,40,-60,60,60,60,1.0,False,3.452,0
scenario97,c2,right,base,base,left,20,40,80,60,-60,60,80,60,0.8,False,0.821,0
scenario98,c2,right,base,base,left,40,20,80,40,-90,60,80,40,1.0,False,3.936,0
scenario99,c2,right,left,base,left,60,40,20,60,-30,100,40,60,0.8,False,0.763,0
scenario100,c2,base,left,right,base,20,40,100,100,-90,100,20,80,0.8,False,2.893,0
scenario101,c2,base,left,right,base,0,80,0,20,-90,80,40,80,1.0,False,4.098,0
scenario102,c4,left,base,right,base,40,0,80,20,-90,60,40,20,0.1,False,2.856,0
scenario103,c4,right,base,left,right,20,0,0,40,-30,40,0,40,0.6,False,1.191,0
scenario104,c2,right,base,base,left,20,20,80,60,-60,100,60,80,0.8,True,0.0,1
scenario105,c2,right,base,base,left,40,40,60,60,-60,60,80,80,0.8,False,1.183,0
scenario106,c4,left,right,right,base,40,20,100,80,-90,80,20,60,0.8,False,1.433,0
scenario107,c1,base,right,left,right,60,0,80,60,-60,60,80,80,0.8,False,2.689,0
scenario108,c2,right,base,base,left,20,0,80,40,-90,100,100,80,1.0,True,0.0,1
scenario109,c2,right,base,base,left,20,20,80,60,-60,100,60,80,0.8,True,0.0,1
scenario110,c2,right,base,base,left,0,20,0,40,30,60,40,100,1.0,True,0.0,1
scenario111,c2,base,left,right,left,60,20,100,20,-90,60,80,40,1.0,False,3.597,0
scenario112,c2,base,left,right,base,40,20,60,60,-60,100,80,100,0.8,False,3.813,0
scenario113,c2,right,base,base,left,0,20,100,100,-60,60,100,80,0.8,True,0.0,1
scenario114,c2,right,base,base,left,60,60,40,80,-90,60,80,60,0.8,True,0.0,1
scenario115,c1,left,right,base,left,20,80,20,0,-90,60,40,80,0.1,False,2.463,0
scenario116,c2,base,left,right,base,0,60,100,100,-30,80,40,80,0.8,False,3.67,0
scenario117,c2,right,left,base,left,80,20,80,40,-90,20,40,0,0.1,True,0.0,1
scenario118,c4,left,base,right,base,40,0,60,20,-90,40,60,20,0.1,False,2.563,0
scenario119,c4,left,base,right,base,40,20,80,20,-90,100,100,60,0.8,False,2.364,0
scenario120,c1,left,right,base,left,40,60,40,60,30,60,60,80,0.6,False,1.811,0
scenario121,c2,right,base,base,left,20,20,80,60,-60,100,60,80,0.8,True,0.0,1
scenario122,c1,left,right,base,right,20,40,20,60,60,80,60,60,0.4,False,1.578,0
scenario123,c2,base,left,right,left,40,40,60,60,-30,100,60,100,1.0,False,4.159,0
scenario124,c4,right,base,left,base,80,40,60,80,60,60,80,100,0.8,False,2.416,0
scenario125,c1,base,left,left,right,40,80,20,20,-90,60,60,60,0.1,False,2.666,0
scenario126,c1,base,right,left,right,20,0,80,80,-90,100,80,100,0.8,False,2.886,0
scenario127,c1,left,right,base,right,40,0,40,20,-90,60,80,0,0.6,False,3.085,0
scenario128,c2,base,left,right,left,20,40,80,40,-90,100,80,60,0.6,False,3.824,0
scenario129,c4,left,right,right,base,60,100,60,40,-60,60,60,60,1.0,False,2.342,0
scenario130,c2,base,left,right,base,0,20,80,80,-30,100,60,100,0.8,False,3.875,0
scenario131,c4,right,base,left,right,60,20,100,40,-90,40,80,20,0.8,False,2.779,0
scenario132,c2,base,left,right,left,20,60,40,100,-60,40,80,60,1.0,False,4.21,0
scenario133,c2,right,base,base,left,20,20,80,60,-60,100,60,80,0.8,True,0.0,1
scenario134,c2,base,left,right,left,0,100,100,60,-60,100,80,60,1.0,False,4.261,0
scenario135,c1,base,right,left,right,100,80,100,100,-90,100,80,100,0.2,False,2.807,0
scenario136,c1,left,right,base,right,20,60,0,80,-30,100,60,60,0.4,False,1.149,0
scenario137,c1,left,right,base,left,40,20,80,100,-90,100,100,40,0.6,False,0.753,0
scenario138,c1,base,right,left,right,60,100,0,0,-90,80,60,60,0.1,False,2.122,0
scenario139,c4,right,base,left,base,60,20,100,20,-90,40,80,0,0.6,False,3.857,0
scenario140,c1,left,right,base,right,40,60,40,100,-60,60,80,80,0.8,False,3.033,0
scenario141,c2,base,left,right,base,80,40,40,100,60,40,60,100,1.0,False,3.299,0
scenario142,c4,left,right,right,base,0,100,40,80,-90,60,100,60,1.0,False,1.918,0
scenario143,c1,base,right,left,right,20,0,80,100,-90,100,100,80,0.6,False,2.66,0
scenario144,c4,right,base,left,right,60,40,60,60,0,100,40,100,0.8,False,2.627,0
scenario145,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario146,c4,right,base,left,base,0,20,40,40,60,40,100,20,0.4,True,0.0,1
scenario147,c1,base,right,left,right,60,60,0,0,-30,60,20,0,0.2,False,3.239,0
scenario148,c2,right,base,base,left,60,40,80,100,-60,100,80,100,0.8,True,0.0,1
scenario149,c2,right,base,base,left,20,40,80,40,-60,60,100,40,0.8,True,0.0,1
scenario150,c4,left,right,right,base,60,60,0,100,-30,40,0,80,0.4,False,1.752,0
scenario151,c4,left,right,right,base,60,60,20,100,-30,40,0,60,0.2,False,1.724,0
scenario152,c2,right,base,base,left,20,40,80,60,-90,60,80,60,0.8,False,2.856,0
scenario153,c2,base,left,right,base,20,40,80,80,-60,60,40,60,0.8,False,3.935,0
scenario154,c1,left,right,base,right,0,20,80,80,-60,80,100,60,0.4,False,1.352,0
scenario155,c2,right,left,base,left,80,0,20,20,-30,60,60,60,0.8,False,3.807,0
scenario156,c4,left,right,right,base,0,80,20,60,-60,80,80,80,0.8,False,1.905,0
scenario157,c1,left,right,base,right,0,20,80,80,-60,80,100,60,0.4,False,1.662,0
scenario158,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario159,c4,right,base,left,base,0,20,40,40,60,40,100,20,0.4,False,2.596,0
scenario160,c1,base,right,left,right,60,60,0,0,-30,60,20,0,0.2,False,3.376,0
scenario161,c2,right,base,base,left,60,40,80,100,-60,100,80,100,0.8,False,0.613,0
scenario162,c2,right,base,base,left,20,40,80,40,-60,60,100,40,0.8,True,0.0,1
scenario163,c4,left,right,right,base,60,60,0,100,-30,40,0,80,0.4,False,1.718,0
scenario164,c4,left,right,right,base,60,60,20,100,-30,40,0,60,0.2,False,2.399,0
scenario165,c2,right,base,base,left,20,40,80,60,-90,60,80,60,0.8,True,0.0,1
scenario166,c2,base,left,right,base,20,40,80,80,-60,60,40,60,0.8,False,3.055,0
scenario167,c1,left,right,base,right,0,20,80,80,-60,80,100,60,0.4,False,2.686,0
scenario168,c2,right,left,base,left,80,0,20,20,-30,60,60,60,0.8,False,3.683,0
scenario169,c4,left,right,right,base,0,80,20,60,-60,80,80,80,0.8,False,1.927,0
scenario170,c2,right,base,base,left,60,40,80,100,-60,100,80,100,0.8,True,0.0,1
scenario171,c1,left,right,base,right,0,60,80,100,-60,0,80,100,0.6,False,9999.0,0
scenario172,c1,base,right,left,right,40,40,20,100,-60,0,80,100,0.6,False,2.5,0
scenario173,c2,right,base,base,left,60,60,100,100,-60,0,100,80,0.6,True,0.0,1
scenario174,c2,right,base,base,left,60,40,60,100,-60,80,100,100,1.0,True,0.0,1
scenario175,c2,right,left,base,left,60,60,100,100,-90,100,100,80,0.8,False,3.604,0
scenario176,c2,right,base,base,left,80,40,100,100,0,100,100,100,0.8,True,0.0,1
scenario177,c2,right,base,base,left,40,60,60,80,-60,80,80,0,0.6,False,0.624,0
scenario178,c2,right,base,base,left,60,40,60,80,30,100,80,100,0.8,True,0.0,1
scenario179,c4,left,base,right,base,40,40,100,100,90,100,60,80,0.8,False,2.718,0
scenario180,c1,left,right,base,right,80,60,100,100,-30,40,60,80,0.6,False,2.542,0
scenario181,c2,right,base,base,left,60,80,80,80,-90,100,40,100,0.8,True,0.0,1
scenario182,c2,right,base,base,left,60,40,80,100,-60,100,80,100,0.8,True,0.0,1
scenario183,c4,left,base,right,base,60,40,100,100,60,0,0,100,0.4,False,2.566,0
scenario184,c2,right,base,base,left,60,80,100,80,60,0,100,80,0.6,True,0.0,1
scenario185,c4,left,base,right,base,80,40,80,80,-60,60,0,100,1.0,False,2.619,0
scenario186,c2,right,base,base,left,0,20,60,100,-90,40,100,100,1.0,True,0.0,1
scenario187,c4,right,base,left,base,60,80,80,60,-60,100,20,80,0.6,False,3.102,0
scenario188,c4,left,base,right,base,40,80,100,100,90,80,60,100,0.8,False,2.445,0
scenario189,c1,left,right,base,left,60,40,60,100,30,80,100,80,0.8,False,1.132,0
scenario190,c1,left,right,base,left,0,40,100,80,-60,40,100,80,0.6,False,9999.0,0
scenario191,c1,left,right,base,left,80,60,100,100,0,20,60,20,0.8,False,3.4,0
scenario192,c1,base,right,left,right,40,40,80,100,-60,20,100,20,0.8,False,2.71,0
scenario193,c1,base,right,left,right,0,60,20,100,-60,0,80,100,0.6,False,2.901,0
scenario194,c2,right,base,base,left,60,40,80,100,-60,100,80,100,0.8,True,0.0,1
scenario195,c4,right,base,left,base,40,60,80,60,-30,80,0,80,0.6,False,2.541,0
scenario196,c1,left,right,base,left,100,80,80,100,0,20,60,0,1.0,False,3.925,0
scenario197,c4,left,base,right,base,40,80,80,60,90,80,60,100,1.0,False,2.148,0
scenario198,c1,base,right,left,right,20,40,80,20,-30,20,80,40,0.6,False,3.13,0
scenario199,c4,right,base,left,base,20,40,60,100,-90,20,100,80,1.0,False,9999.0,0
scenario200,c1,left,right,base,left,80,40,100,100,-30,40,100,80,0.8,True,0.0,1
scenario201,c2,right,left,base,left,0,40,60,100,-60,60,80,80,1.0,False,3.454,0
scenario202,c2,base,left,right,base,20,60,100,100,-60,20,100,100,0.6,False,3.889,0
scenario203,c1,base,right,left,right,60,100,20,80,-30,0,20,80,0.6,False,2.541,0
scenario204,c1,left,right,base,right,100,60,80,100,30,20,60,40,0.6,False,2.945,0
scenario205,c4,right,base,left,right,80,80,100,60,60,20,100,100,0.6,False,1.616,0
scenario206,c2,right,base,base,left,60,40,80,100,-60,100,80,100,0.8,False,0.798,0
scenario207,c1,base,left,left,right,100,60,80,80,30,20,0,0,0.8,False,2.143,0
scenario208,c1,base,right,left,right,80,100,20,100,-30,0,20,100,0.4,False,2.875,0
scenario209,c4,right,base,left,base,80,80,0,100,-60,20,20,100,0.6,False,2.398,0
scenario210,c2,base,left,right,base,60,100,80,40,60,0,80,100,0.6,False,3.212,0
scenario211,c4,left,base,right,base,100,60,80,100,30,20,40,60,0.6,False,2.237,0
scenario212,c4,right,base,left,base,0,100,0,100,-30,20,100,60,0.6,True,0.0,1
scenario213,c2,right,left,base,left,0,60,40,100,-90,60,80,80,1.0,False,2.546,0
scenario214,c1,left,right,base,left,100,60,60,80,-30,20,40,40,1.0,False,3.42,0
scenario215,c2,base,left,right,base,100,60,60,100,60,0,60,40,0.6,False,3.714,0
scenario216,c2,base,left,right,left,100,40,80,100,0,20,40,40,0.4,False,4.164,0
scenario217,c1,left,right,base,right,60,100,60,80,90,80,20,40,1.0,False,2.66,0
scenario218,c4,right,base,left,base,0,100,0,100,-30,20,100,60,0.6,False,1.562,0
scenario219,c1,base,left,left,right,100,20,60,100,-60,40,40,40,1.0,False,2.688,0
scenario220,c4,left,base,right,base,40,60,60,80,-90,100,60,80,0.8,False,2.487,0
scenario221,c4,left,base,right,base,80,20,60,100,0,40,20,0,0.6,False,2.603,0
scenario222,c1,base,right,left,right,60,100,40,0,60,60,20,40,0.8,False,1.967,0
scenario223,c1,base,right,left,right,100,100,60,80,0,0,20,100,0.4,False,3.046,0
scenario224,c2,base,left,right,left,100,60,60,80,60,0,80,40,0.8,False,4.45,0
scenario225,c4,right,base,left,base,80,80,100,40,90,0,20,100,0.8,False,2.213,0
scenario226,c4,left,right,right,base,80,60,80,80,-30,40,20,40,0.8,False,2.034,0
scenario227,c4,right,base,left,base,100,40,80,100,90,60,40,60,0.6,False,2.834,0
scenario228,c1,left,right,base,right,20,80,80,80,90,80,20,60,1.0,False,2.855,0
scenario229,c4,right,base,left,right,100,80,80,60,0,0,20,0,0.8,False,2.711,0
scenario230,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario231,c1,left,right,base,right,20,40,80,40,-90,60,60,60,1.0,False,1.585,0
scenario232,c4,left,base,right,base,20,40,100,60,-60,40,100,60,0.8,False,9999.0,0
scenario233,c2,right,left,base,left,80,60,20,0,-30,60,20,0,0.1,False,0.712,0
scenario234,c4,left,base,right,base,60,40,80,60,-90,60,40,60,0.6,False,2.437,0
scenario235,c4,left,right,right,base,0,80,20,60,-60,80,40,80,0.1,False,1.689,0
scenario236,c1,left,right,base,right,20,20,80,40,90,80,100,20,0.8,False,0.837,0
scenario237,c1,base,right,left,right,0,20,80,60,-60,60,100,60,0.8,False,2.202,0
scenario238,c2,right,base,base,left,40,40,20,80,-60,80,100,60,0.4,False,2.889,0
scenario239,c4,left,right,right,base,0,80,20,60,-60,80,80,80,0.8,False,1.438,0
scenario240,c2,right,base,base,left,20,40,80,40,-90,60,100,40,0.8,True,0.0,1
scenario241,c2,right,left,base,left,20,40,100,80,-90,60,80,60,0.8,False,0.56,0
scenario242,c2,right,left,base,left,20,40,100,80,-90,60,80,60,0.8,False,3.53,0
scenario243,c2,right,base,base,left,60,20,100,60,-60,60,100,40,1.0,True,0.0,1
scenario244,c2,base,left,right,left,40,40,100,100,-90,60,100,40,1.0,False,4.57,0
scenario245,c2,base,left,right,left,40,60,100,60,-60,0,100,40,0.6,False,3.575,0
scenario246,c4,left,base,right,base,20,40,0,80,-90,100,60,20,0.6,False,2.399,0
scenario247,c4,left,right,right,base,20,20,100,80,-90,80,80,60,1.0,False,2.031,0
scenario248,c2,base,left,right,left,40,100,100,60,90,40,100,40,0.8,False,4.331,0
scenario249,c2,right,left,base,left,0,40,100,60,-90,80,80,40,0.8,False,3.875,0
scenario250,c1,left,right,base,left,0,60,100,80,-90,80,80,20,0.8,False,1.567,0
scenario251,c1,left,right,base,left,20,40,100,60,-90,40,60,80,0.6,False,2.177,0
scenario252,c2,right,left,base,left,40,40,100,60,-60,60,80,60,0.8,False,0.67,0
scenario253,c2,right,base,base,left,20,60,40,80,-90,60,60,60,0.8,True,0.0,1
scenario254,c2,right,base,base,left,60,20,100,60,-60,60,100,40,1.0,False,0.76,0
scenario255,c2,right,base,base,left,20,40,0,100,-90,100,40,60,0.6,True,0.0,1
scenario256,c2,right,base,base,left,60,60,100,60,-60,0,0,40,0.2,True,0.0,1
scenario257,c2,base,left,right,left,0,20,0,40,-60,60,80,40,0.8,False,4.479,0
scenario258,c2,right,left,base,left,20,20,100,60,-90,40,100,40,0.8,False,1.2,0
scenario259,c1,left,right,base,left,0,40,80,80,-30,100,40,20,0.6,False,2.999,0
scenario260,c1,left,right,base,left,20,40,100,80,-90,40,40,100,0.4,False,3.402,0
scenario261,c2,base,left,right,base,0,80,20,60,-90,80,40,80,0.8,False,3.952,0
scenario262,c4,left,right,right,base,0,20,100,80,-90,60,60,20,0.1,False,1.908,0
scenario263,c4,right,base,left,right,20,40,0,80,-60,40,0,40,0.6,False,1.423,0
scenario264,c2,right,left,base,left,0,20,100,80,-60,80,80,80,0.6,False,0.765,0
scenario265,c2,right,left,base,left,40,40,80,80,-60,60,100,80,0.6,False,0.917,0
scenario266,c2,right,base,base,left,20,40,0,100,-90,100,40,60,0.6,True,0.0,1
scenario267,c4,left,right,right,base,40,20,20,80,-60,20,0,40,0.4,False,1.603,0
scenario268,c1,base,right,left,right,40,20,100,60,-60,20,100,40,0.8,False,2.72,0
scenario269,c2,right,base,base,left,40,40,80,40,-60,20,100,40,1.0,True,0.0,1
scenario270,c2,right,base,base,left,20,20,100,80,30,20,100,60,0.8,True,0.0,1
scenario271,c2,base,left,right,left,60,40,20,80,-90,100,40,60,0.6,False,4.119,0
scenario272,c2,base,left,right,base,20,80,0,60,-90,100,60,100,0.8,False,4.685,0
scenario273,c2,right,base,base,left,40,0,100,100,-60,60,100,60,1.0,True,0.0,1
scenario274,c4,left,right,right,base,60,40,80,80,-90,60,60,0,0.1,False,1.335,0
scenario275,c1,left,right,base,left,20,80,20,60,-30,100,40,80,0.4,False,2.41,0
scenario276,c2,base,left,right,base,0,40,20,40,-30,40,100,40,0.8,False,4.225,0
scenario277,c2,right,left,base,left,80,20,80,100,-30,20,40,0,0.6,False,2.023,0
scenario278,c2,right,base,base,left,20,40,0,100,-90,100,40,60,0.6,False,0.901,0
scenario279,c2,right,base,base,left,60,20,0,80,-90,80,60,60,0.6,True,0.0,1
scenario280,c4,left,right,right,base,100,40,80,80,-30,40,60,60,0.4,False,1.336,0
scenario281,c1,left,right,base,left,60,60,60,80,30,60,40,0,0.6,True,0.0,1
scenario282,c2,right,base,base,left,60,0,60,100,0,40,40,0,0.4,True,0.0,1
scenario283,c2,base,left,right,left,40,60,80,40,-30,20,60,40,1.0,False,4.731,0
scenario284,c4,right,base,left,base,80,40,40,80,60,100,40,100,0.8,False,2.628,0
scenario285,c2,base,left,right,left,40,80,0,80,-90,100,80,80,0.8,False,4.315,0
scenario286,c1,base,right,left,right,20,20,100,60,-90,20,100,40,1.0,False,2.9,0
scenario287,c1,left,right,base,left,20,80,0,60,-60,100,80,60,0.6,False,3.075,0
scenario288,c2,base,left,right,left,20,60,0,80,-90,100,60,40,0.4,False,4.243,0
scenario289,c4,left,right,right,base,40,100,60,80,-30,20,80,60,0.8,False,1.85,0
scenario290,c2,right,base,base,left,60,20,0,80,-90,80,60,60,0.6,False,0.637,0
