Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario63,-60,c2,base,left,right,base,0.8,40,100,60,80,40,60,40,0,3.4627435693692594,0
scenario64,-30,c4,right,base,left,base,0.2,60,60,20,40,60,0,20,0,2.197454542246885,0
scenario65,-60,c4,left,right,right,base,0.4,80,80,20,0,40,0,0,0,2.136526071859789,0
scenario66,60,c1,base,right,left,right,0.1,60,100,80,80,60,100,40,0,2.670295812214772,0
scenario67,0,c4,left,base,right,base,1.0,20,60,80,20,80,100,100,0,9999.0,0
scenario68,30,c1,left,right,base,left,0.2,40,20,80,100,100,100,20,0,1.989444295359776,0
scenario69,-90,c1,base,left,left,right,1.0,60,20,80,40,40,0,80,0,3.080554371553984,0
scenario70,-30,c1,left,right,base,right,1.0,60,0,100,100,0,80,20,0,1.6707360231129609,0
scenario71,-30,c2,base,left,right,left,0.2,60,20,20,80,60,40,40,0,4.735449915105349,0
scenario72,-30,c1,base,right,left,right,0.8,80,20,0,60,100,20,80,0,3.258319547920397,0
scenario73,0,c2,right,left,base,left,0.6,20,60,0,80,80,40,20,0,0.747496341574725,0
scenario74,0,c1,left,right,base,left,0.6,20,80,0,100,80,20,0,0,1.3374362336478745,0
scenario75,0,c4,right,base,left,right,0.6,20,20,60,60,80,0,60,0,1.1210917219558212,0
scenario76,-60,c4,right,base,left,base,0.1,40,60,60,60,100,80,0,0,16.869929381699116,0
scenario77,0,c2,right,base,base,left,0.8,40,40,40,40,20,40,100,1,9999.0,1
scenario78,-30,c1,base,left,left,right,0.2,60,20,100,0,60,60,20,0,2.635553283604629,0
scenario79,30,c2,base,left,right,base,0.8,40,20,0,100,40,40,60,0,4.423871894289118,0
scenario80,90,c1,left,right,base,right,0.2,80,60,20,40,100,100,40,0,2.526524793163427,0
scenario81,-90,c4,left,right,right,base,0.8,20,80,60,40,20,60,40,0,1.5930005469001658,0
scenario82,30,c4,left,base,right,base,0.6,60,40,60,100,100,20,40,0,2.31098216027986,0
scenario83,60,c2,base,left,right,left,0.4,40,40,0,100,100,60,20,0,4.66492482135315,0
scenario84,0,c1,base,right,left,right,1.0,40,40,40,0,60,80,100,0,2.705455352392707,0
scenario85,60,c1,left,right,base,left,0.8,80,60,80,20,100,40,80,0,1.4072005801438106,0
scenario86,-30,c2,right,left,base,left,0.2,60,40,100,60,100,0,40,1,0.6483862678209136,1
scenario87,30,c1,base,left,left,right,0.1,40,80,80,20,60,20,20,0,2.001535324870964,0
scenario88,0,c4,right,base,left,right,0.2,60,80,40,40,80,100,20,0,1.6159767805600749,0
scenario89,60,c2,right,base,base,left,0.1,0,0,60,40,60,100,80,1,1.3764218444049765,1
scenario90,30,c1,left,right,base,right,0.2,60,20,60,80,20,40,100,0,2.2495324623117203,0
scenario91,-30,c1,base,right,left,right,0.1,20,40,40,100,80,100,40,0,2.594159927531051,0
scenario92,-90,c2,base,left,right,base,0.2,40,40,20,40,40,100,40,0,4.08607267273003,0
scenario93,-90,c4,right,base,left,base,0.2,60,100,100,40,60,80,0,0,3.266579537484918,0
scenario94,-90,c4,left,right,right,base,0.4,60,100,60,20,20,100,20,1,9999.0,1
scenario95,-60,c2,base,left,right,left,0.8,0,20,20,80,100,100,60,0,4.024729647904828,0
scenario96,90,c1,left,right,base,left,0.8,40,60,80,60,80,100,60,0,1.618234822426614,0
scenario97,0,c4,left,base,right,base,0.4,0,20,0,40,0,80,40,0,9999.0,0
scenario98,30,c1,base,left,left,right,0.6,20,100,80,40,20,100,100,0,2.96101909439853,0
scenario99,60,c2,right,left,base,left,0.2,60,20,40,80,100,60,20,1,0.6174089695835587,1
scenario100,30,c2,right,base,base,left,0.1,60,40,40,100,20,40,100,0,1.1282376468838449,0
scenario101,-30,c2,base,left,right,base,1.0,0,100,100,100,20,40,40,0,4.404734468847667,0
scenario102,0,c1,left,right,base,right,0.2,60,60,80,20,40,40,100,0,2.9673095729862924,0
scenario103,-90,c1,base,right,left,right,0.4,40,20,80,100,100,40,80,0,2.734176913424652,0
scenario104,90,c2,base,left,right,left,0.1,80,40,60,80,60,60,20,0,4.52329990780639,0
scenario105,-30,c2,right,left,base,left,0.8,80,80,20,20,60,20,100,0,3.701939736762772,0
scenario106,60,c1,left,right,base,left,0.8,40,80,60,100,60,20,80,0,1.31377652936781,0
scenario107,0,c2,right,base,base,left,0.1,60,100,20,80,20,60,20,1,9999.0,1
scenario108,30,c1,base,left,left,right,0.1,80,20,40,80,100,60,100,0,2.1374931230749725,0
scenario109,90,c4,right,base,left,right,0.2,0,40,100,0,100,100,80,0,1.601384385758092,0
scenario110,-90,c2,base,left,right,base,0.8,20,60,60,80,60,60,60,0,3.2484372830743142,0
scenario111,60,c2,base,left,right,left,0.6,40,20,20,80,20,40,20,0,4.099158613484294,0
scenario112,90,c1,left,right,base,right,0.2,0,80,20,40,60,0,20,0,1616.1584067746792,0
scenario113,90,c1,base,right,left,right,0.2,60,60,20,100,60,20,20,0,2.1577384292134703,0
scenario114,60,c2,right,left,base,left,0.8,40,40,40,20,40,60,100,0,0.743078958515598,0
scenario115,0,c1,left,right,base,left,0.2,80,100,80,40,100,80,80,0,1.860139832561448,0
scenario116,-90,c2,right,base,base,left,0.6,20,20,60,60,100,20,20,0,0.6812734062605473,0
scenario117,90,c1,base,left,left,right,0.1,0,60,0,40,20,40,0,0,2.532920891316252,0
scenario118,60,c1,left,right,base,right,0.4,40,80,60,40,100,20,60,0,2.9154090933124586,0
scenario119,0,c2,base,left,right,base,0.6,80,40,40,100,20,40,80,0,4.268196473808212,0
scenario120,-30,c2,base,left,right,left,0.2,80,60,60,60,80,20,80,0,4.14891625844902,0
scenario121,30,c1,base,right,left,right,0.2,20,40,60,80,40,20,60,0,3.8750132328253577,0
scenario122,-90,c1,left,right,base,left,0.1,20,100,40,60,60,40,60,0,2.333806353117301,0
scenario123,-30,c2,right,left,base,left,0.6,60,80,100,100,60,40,80,0,3.595167870677733,0
scenario124,-30,c2,right,base,base,left,0.8,40,20,100,20,100,80,60,0,0.7747201170110962,0
scenario125,-90,c4,right,base,left,base,0.1,80,40,20,80,20,60,80,0,2.8848665766059973,0
scenario126,30,c1,base,left,left,right,0.4,60,100,60,100,20,80,60,0,1.0452654082405708,0
scenario127,60,c1,left,right,base,right,0.1,20,20,20,40,80,40,20,0,2.456744962503864,0
scenario128,90,c1,base,right,left,right,0.1,60,20,40,20,40,40,20,0,2.672245115191696,0
scenario129,90,c2,base,left,right,base,0.6,0,60,20,40,100,60,40,0,3.887941404359792,0
scenario130,-30,c2,base,left,right,left,0.4,20,60,100,80,60,80,20,0,4.52587474498859,0
scenario131,0,c1,left,right,base,left,0.6,0,80,80,80,20,60,100,0,9999.0,0
scenario132,60,c1,base,left,left,right,0.2,20,100,100,100,20,60,100,0,2.6807613197443523,0
scenario133,-90,c2,right,left,base,left,0.6,60,40,20,20,80,60,100,1,2.136373340949457,1
scenario134,-30,c2,right,base,base,left,0.4,0,20,100,40,40,100,80,1,9999.0,1
scenario135,90,c2,base,left,right,base,0.4,80,40,40,100,80,60,60,0,3.8235860518645977,0
scenario136,0,c1,left,right,base,right,0.1,60,20,20,60,100,20,80,0,2.9606291455072724,0
scenario137,0,c2,base,left,right,left,0.4,80,100,20,20,20,40,80,0,4.47579874291655,0
scenario138,30,c1,base,right,left,right,0.2,80,20,20,100,40,80,20,0,1.6554916645048663,0
scenario139,30,c4,left,right,right,base,0.1,80,60,40,20,100,20,80,0,2.0569342590368964,0
scenario140,60,c4,left,base,right,base,0.1,20,80,20,20,100,20,60,0,2.768246423662646,0
scenario141,90,c2,right,left,base,left,0.4,60,100,100,80,80,40,100,0,3.8464693036062862,0
scenario142,0,c4,right,base,left,right,0.6,20,20,40,80,40,60,60,0,1.3963929507376147,0
scenario143,90,c2,right,base,base,left,0.8,0,80,40,60,20,60,100,1,9999.0,1
scenario144,-30,c2,base,left,right,base,0.6,60,100,100,40,100,80,80,0,3.0888109263976844,0
scenario145,90,c4,right,base,left,base,0.6,20,40,20,20,20,20,60,0,3.515452542331451,0
scenario146,0,c4,left,right,right,base,0.4,80,20,40,60,100,20,100,0,2.2060854457410217,0
scenario147,-90,c4,left,base,right,base,0.1,20,20,40,60,80,20,60,0,2.3947737553948425,0
scenario148,0,c4,right,base,left,right,0.6,20,60,100,60,20,60,100,0,1.5353118143104276,0
scenario149,0,c1,left,right,base,left,0.1,0,80,60,80,40,80,20,0,9999.0,0
scenario150,30,c4,right,base,left,base,0.6,20,80,40,60,80,80,60,0,5.939174852186669,0
scenario151,60,c4,left,right,right,base,0.6,80,100,20,60,80,20,80,0,1.5303367601863471,0
scenario152,-90,c2,base,left,right,left,0.6,0,60,20,40,40,40,100,0,4.661480036599688,0
scenario153,-90,c4,left,base,right,base,0.4,0,80,100,100,60,80,80,0,2.9931139373536157,0
scenario154,60,c4,right,base,left,right,0.2,0,60,100,20,100,80,100,0,1.8963987381107787,0
scenario155,0,c4,right,base,left,base,0.4,80,40,100,60,80,80,100,0,3.999256231820648,0
scenario156,30,c4,left,right,right,base,0.4,80,40,100,20,40,20,60,0,1.7465727572631091,0
scenario157,60,c4,left,base,right,base,0.4,20,100,100,60,40,80,60,0,1.9722099397585235,0
scenario158,90,c4,right,base,left,right,0.4,80,20,100,60,20,80,80,0,1.496401372038702,0
scenario159,90,c4,right,base,left,base,0.1,0,60,100,20,80,60,60,0,2.7950312671310176,0
scenario160,90,c4,left,right,right,base,0.4,80,80,20,0,40,80,80,0,2.7780003319499413,0
scenario161,-30,c4,left,base,right,base,0.4,0,60,40,60,40,20,0,0,9999.0,0
scenario162,-60,c4,right,base,left,right,1.0,20,0,0,0,0,0,80,0,1.1643477680750944,0
scenario163,0,c4,right,base,left,base,0.6,0,20,20,0,20,0,0,0,9999.0,0
scenario164,30,c4,left,right,right,base,1.0,0,40,0,0,0,0,0,0,9999.0,0
scenario165,-60,c4,left,base,right,base,1.0,0,100,0,0,0,0,0,0,9999.0,0
