Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario63,90,c4,left,right,right,base,0.1,40,0,20,60,0,20,40,1,0.9876745846254495,1
scenario64,90,c4,right,base,left,base,0.8,20,80,0,40,40,0,80,1,3.4388665103891207,1
scenario65,30,c2,base,left,right,left,1.0,40,20,60,60,20,60,60,0,4.330782419786132,0
scenario66,-90,c2,right,base,base,left,0.4,40,100,60,80,0,20,100,0,0.7013724357674302,0
scenario67,-60,c1,left,right,base,right,0.2,20,40,0,40,20,100,0,0,2.7681800955944165,0
scenario68,90,c2,base,left,right,left,0.6,0,20,60,80,80,80,40,0,3.856684395284757,0
scenario69,-30,c1,left,right,base,left,0.6,100,80,60,20,20,20,0,0,2.3375234095457924,0
scenario70,0,c1,left,right,base,right,0.8,40,40,60,20,100,0,60,0,1.6952984151961676,0
scenario71,-60,c4,left,right,right,base,0.8,20,80,20,60,80,80,20,0,3.4848147721733422,0
scenario72,0,c2,base,left,right,left,0.4,40,80,40,0,20,0,80,0,4.181939500794111,0
scenario73,90,c2,base,left,right,base,0.1,20,40,60,0,60,40,20,0,4.815514253010979,0
scenario74,-30,c1,left,right,base,right,0.4,40,20,40,60,40,40,40,0,1.250605598629852,0
scenario75,-60,c4,right,base,left,base,0.2,80,0,80,20,100,60,60,0,3.200468392480976,0
scenario76,90,c4,left,base,right,base,0.8,60,60,100,80,60,20,0,0,2.018548166561765,0
scenario77,-60,c1,base,right,left,right,0.6,20,0,60,100,80,40,60,0,1.8958837820371064,0
scenario78,30,c4,right,base,left,base,0.6,20,60,0,100,60,0,0,0,3.806128447656993,0
scenario79,60,c2,base,left,right,base,1.0,100,80,0,100,0,100,20,0,3.559471147928902,0
scenario80,0,c2,right,left,base,left,0.6,40,40,20,80,0,40,0,0,1.1230241744523386,0
scenario81,-60,c2,base,left,right,left,1.0,40,100,80,40,20,80,100,0,3.583816539570236,0
scenario82,-30,c1,left,right,base,right,0.1,100,100,0,20,0,60,60,0,1.5064721972730442,0
scenario83,60,c4,right,base,left,base,1.0,20,20,100,40,60,80,60,0,2.478045326928371,0
