Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,-60,c2,base,left,right,base,1.0,0,100,80,80,80,80,80,0,3.692932909170352,0
scenario2,0,c1,base,right,left,right,0.4,60,60,0,40,40,60,20,0,2.894723535582569,0
scenario3,90,c2,right,base,base,left,0.6,0,40,40,20,20,40,0,0,0.7969567385166817,0
scenario4,-30,c2,base,left,right,left,0.2,80,0,60,0,0,100,60,0,3.915839884359656,0
scenario5,90,c4,right,base,left,right,0.1,100,20,100,80,60,0,100,0,2.7624433945498064,0
scenario6,60,c4,left,right,right,base,0.1,40,80,20,60,100,20,40,1,9999.0,1
scenario7,0,c1,left,right,base,right,0.8,20,20,80,100,0,40,40,1,9999.0,1
scenario8,60,c4,right,base,left,base,0.4,20,100,60,100,20,100,100,1,4.235430284428377,1
scenario9,-60,c2,right,left,base,left,1.0,20,40,100,0,40,20,0,0,1.8024316615730516,0
scenario10,-30,c1,left,right,base,left,0.4,100,0,0,20,100,0,80,0,1.6621850598153012,0
scenario11,60,c1,left,right,base,right,0.2,80,60,20,20,60,80,20,0,0.8910577724873976,0
scenario12,-90,c1,left,right,base,right,0.6,60,80,100,60,80,60,60,0,1.200302693587182,0
scenario13,0,c1,base,left,left,right,0.1,40,0,40,40,80,100,0,0,1.6014007470203409,0
scenario14,30,c2,base,left,right,left,0.8,60,0,20,0,20,60,100,0,3.9047014397642537,0
scenario15,-60,c4,right,base,left,base,1.0,100,80,60,40,100,40,20,0,2.827570517134604,0
scenario16,60,c4,right,base,left,base,0.8,80,40,40,60,40,0,80,0,1.2467881977151556,0
scenario17,-90,c2,base,left,right,base,0.6,80,20,0,100,100,80,0,0,4.232568650038035,0
scenario18,-60,c2,base,left,right,left,0.2,60,100,40,100,60,60,40,0,3.841101245784574,0
scenario19,60,c4,right,base,left,base,0.6,0,60,0,80,0,20,60,0,0.9809171496368122,0
scenario20,-60,c1,left,right,base,left,0.6,40,80,80,20,40,100,100,0,9999.0,0
scenario21,90,c4,right,base,left,right,0.4,40,80,40,0,0,80,80,0,2.41390487522405,0
scenario22,-60,c4,right,base,left,right,0.2,0,20,20,40,20,0,60,0,2.084353025855984,0
scenario23,-60,c2,base,left,right,left,0.8,100,60,60,0,80,0,40,0,3.330694483657067,0
scenario24,-30,c4,right,base,left,base,0.2,20,80,80,80,60,60,0,0,2.353727486049793,0
scenario25,0,c1,left,right,base,right,0.6,60,40,60,40,60,20,80,0,1.836865171717186,0
scenario26,-90,c1,base,right,left,right,1.0,80,100,100,20,20,20,40,0,1.6037847501584612,0
scenario27,0,c2,base,left,right,left,0.8,0,40,100,80,100,100,20,0,3.76104088296966,0
scenario28,-90,c2,base,left,right,left,0.4,20,0,80,60,80,40,20,0,3.837412443018719,0
scenario29,60,c1,left,right,base,left,0.8,40,100,0,0,60,40,0,1,0.666048520240911,1
scenario30,30,c1,left,right,base,left,0.2,40,20,20,80,40,40,80,0,2.9201592092785424,0
scenario31,90,c2,base,left,right,left,0.1,0,0,60,100,40,80,60,0,4.439038090416339,0
scenario32,-90,c4,left,base,right,base,0.8,100,40,100,40,0,80,100,0,2.5011277797711933,0
scenario33,-30,c1,left,right,base,right,0.6,20,60,0,60,20,80,40,0,1.0371032946484149,0
scenario34,30,c4,right,base,left,right,0.1,100,100,40,20,100,20,60,0,1.905505819145336,0
scenario35,-90,c1,left,right,base,left,1.0,40,60,40,100,0,0,20,0,3.0740060994347864,0
scenario36,30,c4,left,right,right,base,0.4,0,40,80,60,60,100,40,1,1.2179966679662204,1
scenario37,30,c4,left,base,right,base,1.0,80,20,0,20,80,60,100,0,2.703841015070327,0
scenario38,-60,c4,right,base,left,base,0.1,60,40,0,60,0,60,80,0,2.4424629110580995,0
scenario39,-60,c4,right,base,left,base,0.4,80,100,20,80,0,0,0,0,2.822846536313178,0
scenario40,-30,c1,base,left,left,right,0.2,60,20,40,100,80,20,100,0,2.874466395405074,0
scenario41,90,c4,left,right,right,base,1.0,100,20,20,60,80,100,20,1,9999.0,1
scenario42,30,c4,right,base,left,base,0.1,60,60,80,0,100,0,0,0,2.815120587075175,0
scenario43,30,c2,right,base,base,left,1.0,20,0,100,40,60,40,60,0,0.8307182933430136,0
scenario44,90,c2,right,base,base,left,0.8,80,100,80,40,40,20,40,0,1.1626670033645246,0
scenario45,30,c2,base,left,right,left,0.6,0,80,20,0,20,0,20,0,4.502533048953066,0
scenario46,-30,c2,right,left,base,left,0.1,40,60,100,100,20,40,80,0,0.9948127870536908,0
scenario47,-90,c2,base,left,right,base,0.2,20,0,60,80,100,100,80,0,3.661694550461898,0
scenario48,0,c4,left,base,right,base,0.2,100,100,60,60,20,60,0,0,2.857624117637992,0
scenario49,-90,c2,base,left,right,left,0.1,0,40,20,0,100,60,100,0,4.474041961598061,0
scenario50,60,c4,right,base,left,base,1.0,60,0,100,80,80,20,40,0,3.303819790305034,0
scenario51,60,c2,base,left,right,base,0.8,40,40,80,80,20,60,60,0,4.229146252681478,0
scenario52,60,c2,right,left,base,left,0.4,100,20,60,60,40,40,100,0,0.7470986545849931,0
scenario53,30,c1,base,right,left,right,0.8,100,80,60,100,0,20,20,0,0.503022756720443,0
scenario54,-30,c2,right,left,base,left,0.8,60,100,60,20,40,40,20,0,0.6863297210655261,0
scenario55,-30,c4,right,base,left,base,0.2,0,40,0,40,80,100,20,0,1.3935894113634684,0
scenario56,0,c4,right,base,left,right,1.0,20,80,20,20,0,0,60,0,1.284983924965373,0
scenario57,30,c4,left,right,right,base,0.6,60,40,20,100,20,80,100,0,3.512923554375834,0
scenario58,90,c4,left,base,right,base,0.1,20,60,40,80,100,60,100,0,9999.0,0
scenario59,90,c1,base,right,left,right,0.4,60,60,0,0,20,100,60,0,3.5508686866361665,0
scenario60,0,c4,left,base,right,base,0.6,40,100,60,40,60,80,100,0,1.88326776298842,0
scenario61,90,c4,left,base,right,base,0.2,80,20,100,0,0,40,80,0,1.6035145310769332,0
scenario62,-90,c1,left,right,base,right,0.1,80,80,0,100,60,20,20,0,0.6456076060512647,0
scenario63,0,c2,base,left,right,base,0.6,100,0,80,0,80,20,80,0,3.836319787227396,0
scenario64,0,c1,left,right,base,right,0.4,80,40,100,40,40,20,60,0,2.425414687695597,0
scenario65,-30,c2,right,left,base,left,1.0,0,80,20,60,100,20,40,0,1.5363948658694389,0
scenario66,60,c1,base,right,left,right,0.4,0,0,100,40,100,60,100,0,3.0933890599511207,0
scenario67,-60,c4,right,base,left,right,0.4,40,0,40,80,80,20,100,0,1.7055145490388213,0
scenario68,-90,c4,right,base,left,base,0.4,0,20,100,0,40,40,60,0,1.506035083364071,0
