instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,60,40,80,20,100,60,0.6,0,100,1,0,0,0,1e-05,0,0.9706287585137326,26.798901796340942,0
scenario2,-90,40,20,20,0,80,0.8,100,0,0,0,0,20,1e-05,0,1.0762784718183631,22.29301953315735,0
scenario3,90,60,100,0,0,80,0.2,100,0,0,0,0,40,1e-05,0,1.1920773116068106,21.998676538467407,0
scenario4,-90,60,60,40,0,0,0.8,0,100,1,0,0,60,1e-05,0,0.8237130393692805,27.05667495727539,0
scenario5,30,40,40,100,0,80,0.4,20,80,0,0,0,80,1e-05,0,1.0434539688377955,22.279869556427,0
scenario6,30,20,60,40,100,40,0.6,100,0,1,0,0,100,1e-05,0,0.9457275957187312,26.401307582855225,0
scenario7,-90,20,20,40,100,40,0.4,20,80,0,0,20,0,1e-05,0,1.0118346301102634,22.295359134674072,0
scenario8,-60,20,80,0,0,100,0.2,20,80,0,0,20,20,1e-05,0,2.852745796996384,59.99759840965271,0
scenario9,90,60,20,0,0,100,0.8,0,100,1,0,20,40,1e-05,0,0.804328273813589,26.20514440536499,0
scenario10,30,0,40,0,0,0,0.6,0,100,0,0,20,60,1e-05,0,1.0402738756131795,22.19326066970825,0
scenario11,-60,80,100,0,100,40,0.6,0,100,1,0,20,80,1e-05,0,0.9374966013974164,27.094465494155884,0
scenario12,30,60,20,0,60,0,0.6,40,60,1,0,20,100,1e-05,0,0.940088594579652,26.49113845825196,0
scenario13,-60,60,100,0,40,40,0.6,80,20,1,0,40,0,1e-05,0,0.9908613508352556,27.19473910331726,0
scenario14,30,60,100,20,20,40,0.8,40,60,0,0,40,20,1e-05,0,1.054063296801737,24.90238809585572,0
scenario15,90,80,60,0,0,0,0.8,80,20,1,0,40,40,1e-05,0,0.757772006827424,26.2938334941864,0
scenario16,-90,40,60,100,0,80,0.4,40,60,1,0,40,60,1e-05,0,0.8740248155343331,26.973175525665283,0
scenario17,-90,60,100,100,100,40,0.6,100,0,1,0,40,80,1e-05,0,0.8230410906783779,27.041987895965576,0
scenario18,0,20,60,40,0,80,0.2,100,0,1,0,40,100,1e-05,0,0.8104722386202559,27.165834426879883,0
scenario19,90,60,20,80,0,80,0.4,100,0,1,0,60,0,1e-05,0,0.8400453665645113,26.409000158309937,0
scenario20,0,20,60,100,100,40,0.6,40,60,0,0,60,20,1e-05,0,1.0863017102817238,22.83905243873596,0
scenario21,-90,20,20,0,100,40,0.6,80,20,1,0,60,40,1e-05,0,0.8290348082037085,26.88096618652344,0
scenario22,-30,20,60,20,0,0,0.8,100,0,0,0,60,60,1e-05,0,1.16335535687266,22.40684151649475,0
scenario23,60,20,100,0,0,100,0.1,20,80,1,0,60,80,1e-05,0,0.8821189939033813,26.284584760665894,0
scenario24,60,20,20,0,0,80,0.1,80,20,0,0,60,100,1e-05,0,1.209709975667396,22.06861162185669,0
scenario25,90,40,100,0,0,0,0.8,20,80,1,0,80,0,1e-05,0,0.7796036552655796,26.389907836914062,0
scenario26,-30,80,20,0,20,40,0.8,0,100,0,0,80,20,1e-05,0,1.036268013661268,22.30561089515686,0
scenario27,-30,60,100,60,100,60,0.6,60,40,1,0,80,40,1e-05,0,0.9666646393613452,27.155522346496586,0
scenario28,90,60,40,80,80,40,0.6,40,60,1,0,80,60,1e-05,0,0.8426697456132728,26.174400806427,0
scenario29,90,20,100,20,80,0,0.6,20,80,0,0,80,80,1e-05,0,1.119894504159825,22.26366639137268,0
scenario30,-90,60,80,100,0,100,0.1,100,0,0,0,80,100,1e-05,0,1.0451889568220225,22.439066410064697,0
scenario31,-60,0,100,0,40,40,0.8,0,100,1,0,100,0,1e-05,0,0.9245781017022136,27.002032995224,0
scenario32,-30,60,100,0,20,0,0.8,0,100,0,0,100,20,1e-05,0,0.993838525863852,22.25099015235901,0
scenario33,-90,60,20,0,0,100,0.4,0,100,1,0,100,40,1e-05,0,0.8318817411682959,26.694833993911743,0
scenario34,0,20,20,20,0,100,0.8,20,80,1,0,100,60,1e-05,0,0.8616176032494576,26.849034547805783,0
scenario35,-30,80,20,20,100,40,0.6,0,100,1,0,100,80,1e-05,0,0.8757435230808998,27.00385570526123,0
scenario36,90,60,20,0,100,40,0.6,80,20,0,0,100,100,1e-05,0,1.1779831155332126,21.854013681411743,0
scenario37,0,20,20,20,80,60,0.6,20,80,0,20,0,0,1e-05,0,1.079522001613069,22.549336194992065,0
scenario38,90,80,80,60,0,80,0.4,40,60,0,20,0,20,1e-05,0,1.1694530593410402,22.03502368927002,0
scenario39,-30,20,100,40,100,60,0.6,0,100,0,20,0,40,1e-05,0,1.3573168041623491,24.652778387069706,0
scenario40,90,40,40,20,40,40,0.6,0,100,0,20,0,60,1e-05,0,1.1963767730621482,22.372409105300903,0
scenario41,-90,60,100,0,0,100,0.1,80,20,0,20,0,80,1e-05,0,1.001845078178918,22.291195392608643,0
scenario42,-30,80,100,0,0,100,0.1,0,100,1,20,0,100,1e-05,0,5.071104132053358,59.91833019256592,0
scenario43,30,20,20,100,0,0,0.8,20,80,1,20,20,0,1e-05,0,0.9685775874066722,26.11559748649597,0
scenario44,-90,20,80,40,100,0,0.6,20,80,1,20,20,20,1e-05,0,0.8854714029982738,27.068273067474365,0
scenario45,-90,20,20,0,0,0,0.4,80,20,1,20,20,40,1e-05,0,0.936834156108132,27.00696921348572,0
scenario46,0,40,20,0,100,100,0.6,80,20,0,20,20,60,1e-05,0,1.1154155731022168,22.88131332397461,0
