Rootdir,Boundary_area,prunedBoundaryArea,Footprint_area,COV_boundary,COV_prunnedBoundary,Footprint_density,Good_footprint_area
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_avfuzzer_run1/,32.171642669581,32.171642669581,16.947666314946,52.6788964088875,52.6788964088875,37.5272906712304,16.781
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_avfuzzer_run2/,35.0532889363359,35.0532889363359,16.2523419411007,46.3646705751873,46.3646705751873,39.317410519405,16.147
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_avfuzzer_run3/,42.3506339039193,42.3506339039193,19.7689632440403,46.6792617293288,46.6792617293288,32.2728102695186,18.488
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_bayscen_run1/,47.1506497865312,47.0802434038496,28.6999823115734,60.8686888547858,60.9597152363633,22.3345085387566,27.592
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_bayscen_run2/,53.5739389307956,53.5730824187469,32.7083932570678,61.052806476147,61.0537825720144,19.5668431331981,32.567
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_bayscen_run3/,41.4470503800498,41.4011722983283,26.6586715046183,64.3198279736939,64.3911030164108,24.1197315435845,26.422
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_bayscen_common_run1/,3.31328747516182,3.31328747516182,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_bayscen_common_run2/,6.4692038876926,6.4692038876926,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_bayscen_common_run3/,3.29398251960091,3.29398251960091,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_ctbc_run1/,39.5094553539127,38.6988594824671,8.50334010464584,21.5222913818369,21.9731026142989,10.9368787859242,8.448
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_ctbc_run2/,40.3320118172438,38.0182427562324,6.83453262932138,16.9456774442363,17.9769819271854,12.875788992866,7.959
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_ctbc_run3/,39.4665314036997,38.6292413806161,8.30561976913075,21.0447168112477,21.5008617106793,11.3176382513159,8.044
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_pict_2way_run1/,26.874952908606,26.874952908606,2.5535212411502,9.50149103454799,9.50149103454799,18.0143400644985,2.237
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_pict_2way_run2/,24.4031215032428,24.4031215032428,2.36290257903677,9.6827882397044,9.6827882397044,20.7372070413392,1.977
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_pict_2way_run3/,25.8982390247777,25.8982390247777,2.7210781761785,10.506807716058,10.506807716058,18.7425706642596,1.87
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_pict_3way_run1/,17.2108724329228,17.2108724329228,1.71971053213062,9.99200092170209,9.99200092170209,226.200859233009,1.508
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_pict_3way_run2/,17.925006602656,17.925006602656,2.04057719858572,11.3839690205936,11.3839690205936,197.003083381809,1.81
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_pict_3way_run3/,17.0356748000169,17.0356748000169,1.71499125970871,10.0670579818007,10.0670579818007,231.488060217537,1.616
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_random_run1/,28.372094945484,28.372094945484,6.56023999756685,23.1221558019318,23.1221558019318,93.7465702822,6.464
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Interfuser_1_random_run2/,28.1142848824539,28.1142848824539,6.77948633706623,24.1140273188927,24.1140273188927,92.4848828991562,6.862
