instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario74,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario75,c4,2,0,1,2,0,60,100,80,60,60,60,0.8,True,0.0,1
scenario76,c2,0,1,2,0,40,0,0,20,60,20,20,0.2,False,3.752,0
scenario77,c4,1,2,2,0,60,100,60,20,40,40,100,0.6,False,1.93,0
scenario78,c2,0,1,2,0,20,60,0,40,40,80,60,0.1,False,3.967,0
scenario79,c2,0,1,2,0,100,0,20,80,60,20,20,0.8,False,1.966,0
scenario80,c2,0,1,2,0,60,0,0,20,60,20,0,0.6,False,2.548,0
scenario81,c4,2,0,1,2,0,40,100,80,60,100,80,1.0,True,0.0,1
scenario82,c4,1,2,2,0,60,40,80,40,60,0,100,0.2,True,0.0,1
scenario83,c1,0,2,1,2,100,80,20,100,60,100,20,0.8,False,9999.0,0
scenario84,c4,2,0,1,0,40,60,20,40,60,20,0,0.6,False,2.987,0
scenario85,c4,1,2,2,0,60,100,60,20,40,40,100,0.6,False,1.527,0
scenario86,c4,1,0,2,0,40,100,40,0,60,40,100,0.8,False,2.197,0
scenario87,c1,1,2,0,1,80,20,60,60,60,20,40,0.6,False,4.719,0
scenario88,c2,2,1,0,1,40,100,100,0,20,20,100,0.1,False,3.859,0
scenario89,c2,2,1,0,1,60,100,80,20,20,40,100,0.8,False,4888.667,0
scenario90,c2,2,1,0,1,60,80,80,0,20,40,100,0.6,False,5676.244,0
scenario91,c4,1,2,2,0,80,100,80,40,60,60,100,0.6,False,1.896,0
scenario92,c4,1,0,2,0,60,100,60,20,40,40,100,0.6,False,1.97,0
scenario93,c4,1,0,2,0,60,100,80,0,40,40,100,0.6,False,2.122,0
scenario94,c2,2,0,0,1,60,80,60,0,60,40,100,0.4,False,3.774,0
scenario95,c1,0,1,1,2,80,100,60,20,60,20,100,0.8,False,4.167,0
scenario96,c1,0,2,1,2,60,100,60,100,60,60,100,0.4,False,5.35,0
scenario97,c4,1,2,2,0,60,100,60,20,40,40,100,0.6,True,0.0,1
scenario98,c4,1,2,2,0,80,80,40,0,40,40,80,0.1,False,2.131,0
scenario99,c1,1,2,0,2,60,60,80,20,0,60,100,0.4,False,1659.587,0
scenario100,c1,1,2,0,2,20,100,40,0,80,20,100,0.8,False,2.99,0
scenario101,c2,2,1,0,1,60,100,40,20,40,60,100,0.8,False,3.894,0
scenario102,c4,1,2,2,0,60,0,80,0,0,40,100,0.8,False,2.34,0
scenario103,c4,1,0,2,0,60,100,40,40,60,40,100,0.8,False,2.044,0
scenario104,c4,1,0,2,0,20,100,80,20,40,20,100,0.4,False,2.403,0
