Row,z_1,z_2
bnd_pnt_1,-2.02515273845612,2.97906863669131
bnd_pnt_2,-2.64528294256561,1.66331792491744
bnd_pnt_3,-2.7323935255728,1.42565405384603
bnd_pnt_4,-2.54241434070056,-0.153255016128618
bnd_pnt_5,-2.37994026127747,-0.729627474822822
bnd_pnt_6,-2.18711280176852,-0.995640902136323
bnd_pnt_7,-1.71376958485379,-1.5772068047983
bnd_pnt_8,-0.595501557886636,-2.79964671752803
bnd_pnt_9,-0.311499560773372,-3.07614834548753
bnd_pnt_10,-0.0821563112591626,-3.1542771590872
bnd_pnt_11,0.557733636751049,-3.1820495021476
bnd_pnt_12,1.93484003535949,-2.84421195067288
bnd_pnt_13,2.10451460925687,-2.74139274755624
bnd_pnt_14,2.72464481336636,-1.42564203578237
bnd_pnt_15,2.81175539637354,-1.18797816471096
bnd_pnt_16,2.62177621150131,0.390930905263692
bnd_pnt_17,2.45930213207821,0.967303363957895
bnd_pnt_18,2.26647467256927,1.2333167912714
bnd_pnt_19,1.79313145565454,1.81488269393337
bnd_pnt_20,0.674863428687382,3.0373226066631
bnd_pnt_21,0.390861431574119,3.3138242346226
bnd_pnt_22,0.161518182059909,3.39195304822227
bnd_pnt_23,-0.478371765950302,3.41972539128267
bnd_pnt_24,-1.85547816455874,3.08188783980795
bnd_pnt_25,-2.02515273845612,2.97906863669131
