Row,z_1,z_2
bnd_pnt_1,-2.7470377309343,-1.35571660974305
bnd_pnt_2,-2.22938162317306,-1.05874465353062
bnd_pnt_3,-2.33318192111147,-0.145163727154616
bnd_pnt_4,-1.4677284639464,0.109533333551255
bnd_pnt_5,-1.31585997148139,0.708627559495594
bnd_pnt_6,-1.50127323428024,0.932646452078025
bnd_pnt_7,-1.24176966465423,0.933508472826961
bnd_pnt_8,-0.497055492262011,1.27985709805429
bnd_pnt_9,-0.229612055992811,1.7448781047667
bnd_pnt_10,0.322887322856375,1.90212810777615
bnd_pnt_11,0.64273835357262,2.14494343212586
bnd_pnt_12,1.05087534084923,2.14538547921802
bnd_pnt_13,1.77583848698356,2.37769002304599
bnd_pnt_14,1.94797211592515,1.98614389104406
bnd_pnt_15,2.50984232657248,1.83886557487027
bnd_pnt_16,2.88416243507846,2.51086293412272
bnd_pnt_17,2.50824480874906,0.698604852747991
bnd_pnt_18,2.08572175045827,0.104395734908569
bnd_pnt_19,1.82117179543546,0.0309278544738033
bnd_pnt_20,1.10685884263878,-0.512519440213456
bnd_pnt_21,0.903787597628661,-1.16171490450837
bnd_pnt_22,0.398924183055903,-1.4204858226557
bnd_pnt_23,0.0841210903703665,-1.77152461047007
bnd_pnt_24,-0.43508630088547,-1.82948986830283
bnd_pnt_25,-0.943027596333566,-2.1710732374067
bnd_pnt_26,-1.70293952792728,-1.97581092954808
bnd_pnt_27,-1.92274892417645,-2.0381070523034
bnd_pnt_28,-2.55952240279164,-1.43949100625803
