Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
Z_{1},-0.1032,0.061,0.0954,0.1068,-0.8829,0.0415,-0.1291,0.0023,0.6538,0.096,-0.0664,0.0607,0.5441
Z_{2},-0.8368,0.1576,-0.0323,0.166,0.0273,0.0205,0.0641,0.0237,-0.5516,0.0418,-0.0816,0.1394,0.7621
