instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario64,c4,2,40,0.4,20,3,100,0,0,0,100,80,-60,1,0,4.812659364368902,0
scenario65,c1,2,0,0.2,20,0,80,0,80,2,0,60,-30,1,0,3.2786938575389253,0
scenario66,c1,2,60,1.0,40,2,20,0,40,2,20,40,0,0,0,4.060537304227798,0
scenario67,c1,2,40,1.0,40,2,80,0,60,2,0,100,-30,0,0,2.1081175840238635,0
scenario68,c1,2,0,0.8,0,1,60,60,100,1,100,100,60,1,0,1.08487414566789,0
scenario69,c2,0,0,0.2,40,1,60,100,80,1,60,60,30,2,0,3.173258073793717,0
scenario70,c4,0,40,0.4,80,2,40,80,80,0,0,0,90,2,0,2.7149620072313687,0
scenario71,c4,0,60,0.4,0,3,20,60,100,0,80,20,90,1,0,2.7503996723651385,0
scenario72,c2,1,60,0.8,20,3,80,60,60,0,20,40,-90,0,1,0.0,1
scenario73,c4,0,100,0.1,100,2,40,20,60,2,20,100,90,2,0,0.9430052329936832,0
scenario74,c1,2,20,0.4,60,0,20,40,100,2,60,20,0,1,0,3.009836141864339,0
scenario75,c1,2,80,0.6,40,2,80,40,60,2,40,80,30,0,0,2.4372382551185523,0
scenario76,c1,2,20,0.1,80,0,100,0,60,2,20,60,30,1,0,3.0844774474211007,0
scenario77,c2,1,100,1.0,80,1,0,0,40,1,60,20,30,2,0,5.412142718379784,0
scenario78,c4,0,100,0.8,60,2,60,100,20,0,80,20,30,2,0,2.186398247133623,0
scenario79,c2,1,80,1.0,20,3,100,0,40,1,60,0,-30,0,0,2.993346522823664,0
scenario80,c1,2,40,0.1,100,1,60,20,80,1,80,60,-60,1,0,0.9671942200429112,0
scenario81,c4,0,100,0.2,100,2,80,20,0,2,20,40,-30,2,0,0.9978849888787632,0
scenario82,c4,0,40,0.4,80,3,20,80,0,0,0,80,90,1,0,2.3854170109305857,0
scenario83,c2,0,40,1.0,100,1,80,100,100,1,100,0,-60,2,0,2.804009037724016,0
scenario84,c4,0,80,0.4,20,2,0,40,80,2,60,100,0,2,0,1.509784042481935,0
scenario85,c1,2,40,0.6,40,0,20,0,100,2,80,100,-90,1,0,3.537516538486799,0
scenario86,c4,2,0,0.6,60,3,0,0,40,0,60,60,-30,1,0,4.809905300084618,0
scenario87,c1,1,40,0.8,40,2,20,20,0,2,20,0,-90,0,0,1.7565190910156825,0
scenario88,c2,1,60,1.0,80,3,40,0,20,0,40,20,-90,0,0,1.7590075336326083,0
scenario89,c1,2,0,1.0,0,2,40,80,80,2,0,40,-60,0,0,3.143320208771794,0
scenario90,c1,1,0,0.6,100,2,100,80,0,2,40,80,60,0,0,1.961239698174548,0
scenario91,c4,0,20,0.4,20,2,100,60,100,0,100,0,-60,2,0,2.446536113180181,0
scenario92,c1,2,80,0.6,100,1,60,40,20,1,100,100,90,1,0,1.1702197185083385,0
scenario93,c4,0,60,0.6,100,2,60,20,80,0,0,0,30,2,0,2.834303483377204,0
scenario94,c2,1,0,0.2,0,3,80,60,0,1,60,0,-30,0,0,3.315787014985537,0
scenario95,c2,0,60,0.4,80,1,80,100,20,1,40,80,30,2,0,3.096063201629549,0
scenario96,c2,1,60,0.1,80,3,80,80,60,0,0,40,60,0,0,1.6490097922956564,0
scenario97,c4,0,20,0.4,40,2,0,20,60,2,0,60,60,2,0,0.0871057801047617,1
scenario98,c1,2,20,0.1,40,2,60,100,20,2,40,0,-30,0,0,4.205035068726672,0
scenario99,c1,2,80,0.2,80,1,20,80,0,1,20,0,-30,1,0,1.0071549984962649,0
scenario100,c2,1,40,0.2,40,3,60,40,40,0,100,40,-90,0,1,0.0,1
scenario101,c2,1,100,0.2,100,3,40,80,80,1,40,100,-30,0,0,2.78532218635992,0
scenario102,c1,1,0,0.2,0,2,20,40,100,2,0,0,30,0,0,2.7572281297502546,0
scenario103,c4,0,100,1.0,40,2,100,80,60,0,60,60,-30,2,0,2.864856983404871,0
scenario104,c2,0,80,0.1,40,1,0,100,80,1,60,40,90,2,0,2.7520880897050137,0
scenario105,c4,0,0,0.4,80,2,0,100,20,2,40,100,90,2,0,0.98881619701441,0
scenario106,c2,1,80,0.4,100,1,100,100,20,1,60,0,30,2,0,3.556254635168778,0
scenario107,c1,2,60,1.0,0,2,0,80,40,2,100,100,-90,0,1,0.0,1
scenario108,c1,2,0,0.1,60,1,60,0,40,1,0,100,60,1,1,0.0,1
scenario109,c2,1,60,0.2,40,3,40,40,0,1,60,40,60,0,0,3.836787630338102,0
scenario110,c4,0,20,0.4,80,3,40,60,40,0,20,40,90,1,0,2.0323942563595923,0
scenario111,c1,2,0,0.6,80,0,60,100,20,2,100,100,0,1,0,3.5377138832738586,0
scenario112,c1,2,0,0.8,60,2,0,40,60,2,80,80,30,0,0,1.5804656829021662,0
