Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
Z_{1},-0.2725,0.3506,-0.0596,0.2043,0.2743,-0.3035,-0.3461,-0.0052,-0.1765,-0.0979,-0.2607,-0.1081
Z_{2},-0.5654,0.2588,0.5045,-0.4612,-0.1499,-0.0193,0.0669,-0.092,0.0946,0.2282,0.0627,-0.0432
