Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
Z_{1},-0.1673,0.6532,-0.5337,-0.1814,-0.1589,0.2664,0.1416,-0.3693,-0.2647,-0.4047,-0.3796,-0.4181,-0.2525
Z_{2},-0.2011,-0.5278,0.2204,0.6161,-0.2641,0.1609,0.1506,-0.1807,-0.2169,-0.0852,-0.2068,-0.0644,-0.3157
