instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,60,40,80,20,100,60,0.6,0,100,1,0,0,0,1e-05,0,2.3310472736208534,138.64291381835938,0
scenario2,-90,40,20,20,0,80,0.8,100,0,0,0,0,20,1e-05,0,1.350808278958434,82.28516793251038,0
scenario3,90,60,100,0,0,80,0.2,100,0,0,0,0,40,1e-05,0,1.332558698990872,80.41693353652954,0
scenario4,-90,60,60,40,0,0,0.8,0,100,1,0,0,60,1e-05,0,0.8111648786690842,162.16340470314026,0
scenario5,30,40,40,100,0,80,0.4,20,80,0,0,0,80,1e-05,0,1.511952601939896,77.73527503013611,0
scenario6,30,20,60,40,100,40,0.6,100,0,1,0,0,100,1e-05,0,1.1240987032413967,168.71007704734802,0
scenario7,-90,20,20,40,100,40,0.4,20,80,0,0,20,0,1e-05,0,1.38866067699492,83.32174396514893,0
scenario8,-60,20,80,0,0,100,0.2,20,80,0,0,20,20,1e-05,0,1.386147123823186,81.93297028541565,0
scenario9,90,60,20,0,0,100,0.8,0,100,1,0,20,40,1e-05,0,0.7655179685086735,87.85984992980957,0
scenario10,30,0,40,0,0,0,0.6,0,100,0,0,20,60,1e-05,0,1.492706717307411,78.55225610733032,0
scenario11,-60,80,100,0,100,40,0.6,0,100,1,0,20,80,1e-05,0,0.9334692366319112,102.80939364433289,0
scenario12,30,60,20,0,60,0,0.6,40,60,1,0,20,100,1e-05,0,0.7864117500433189,89.93319916725159,0
scenario13,-60,60,100,0,40,40,0.6,80,20,1,0,40,0,1e-05,0,0.8528031934229421,111.57764554023744,0
scenario14,30,60,100,20,20,40,0.8,40,60,0,0,40,20,1e-05,0,1.429137300670129,77.66094923019409,0
scenario15,90,80,60,0,0,0,0.8,80,20,1,0,40,40,1e-05,0,2.029239996905989,167.8874387741089,0
scenario16,-90,40,60,100,0,80,0.4,40,60,1,0,40,60,1e-05,0,1.0143532258187478,110.665137052536,0
scenario17,-90,60,100,100,100,40,0.6,100,0,1,0,40,80,1e-05,0,1.3689106853598882,190.6592283248901,0
scenario18,0,20,60,40,0,80,0.2,100,0,1,0,40,100,1e-05,0,1.8585161067970168,170.2316071987152,0
scenario19,90,60,20,80,0,80,0.4,100,0,1,0,60,0,1e-05,0,2.022743886547401,166.12477040290833,0
scenario20,0,20,60,100,100,40,0.6,40,60,0,0,60,20,1e-05,0,1.5216350729689103,80.674311876297,0
scenario21,-90,20,20,0,100,40,0.6,80,20,1,0,60,40,1e-05,0,1.0112478291780576,102.0611515045166,0
