PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c1,right,80,1.0,0,left,80,0,100,right,60,20,base,2.554705056619937,False
c2,left,60,0.8,80,base_left_lane,60,0,20,left,0,40,right,5.143767882578662,False
c2,base,100,0.6,20,base_left_lane,60,100,60,left,40,60,right,2.6808521687170757,False
c4,base,40,0.1,20,right,0,40,40,base,40,40,left,2.9363766678944367,False
c1,right,100,0.4,0,base_left_lane,80,80,20,left,20,60,left,1.0149201980066005,False
c1,left,80,0.2,100,left,20,20,20,right,20,100,base,2.8879975188106632,False
c2,left,60,0.1,20,right,80,100,40,base,60,100,base,2.0832386281520394,False
c2,left,80,0.4,80,base_left_lane,100,40,0,left,100,100,right,5.361805216227737,False
c2,left,60,0.2,0,base_left_lane,40,40,80,left,60,80,right,3.7271797342143116,False
c1,right,40,0.2,60,left,0,60,80,right,40,100,base,0.0,True
c1,left,40,0.6,40,left,40,60,40,right,100,40,base,2.7421996333965333,False
c4,base,20,0.2,20,right,60,100,80,base,20,100,left,2.1443192865719856,False
c4,base,100,0.6,100,left,80,60,40,right,80,80,right,1.3268945469277338,False
c4,base,80,0.2,20,right,20,0,100,base,60,20,left,3.3040872596111717,False
c4,base,80,0.1,100,right,20,80,80,base,40,20,left,2.9291431398543337,False
c2,left,20,0.1,80,right,80,80,40,left,100,60,base,3.453619812893065,False
c4,base,20,1.0,0,right,60,20,0,base,40,60,left,2.516252686119186,False
c4,base,100,0.2,40,right,40,0,100,base,0,60,left,3.0128236799056114,False
c1,right,0,1.0,0,base,80,20,20,right,80,100,left,5.705022920897622,False
c4,base,80,0.1,20,right,40,60,80,base,80,40,left,3.408438560486062,False
c4,base,100,0.4,100,right,0,20,40,base,100,20,left,3.6594039416650794,False
c4,base,0,1.0,80,left,60,100,0,base,0,40,right,12.694039345439846,False
c2,base,60,0.8,0,base_left_lane,0,0,0,left,60,100,right,3.436821885494739,False
c1,right,20,0.2,60,left,100,40,40,right,80,0,base,3.0967256265775847,False
c2,base,100,0.2,0,base_left_lane,80,40,0,left,60,40,right,4.0974187095890695,False
c1,left,100,0.2,20,left,80,20,40,right,100,80,base,2.887164365383505,False
c1,right,60,0.4,0,left,20,60,80,right,80,60,base,2.2616825363947144,False
c1,right,60,0.6,60,base,40,60,100,right,60,0,left,5.9965710127860135,False
c1,right,20,1.0,100,left,0,60,100,right,20,40,base,2.415313719969323,False
c2,left,80,0.4,60,base_left_lane,20,80,40,left,20,20,right,3.212350656267179,False
c1,right,0,0.2,100,left,100,60,60,right,80,20,base,2.009784030876636,False
c1,right,60,0.6,0,left,60,100,60,right,100,20,base,2.9137607805005845,False
c4,base,0,0.4,100,right,40,40,20,base,0,100,left,0.0,True
c1,right,40,0.2,0,left,80,20,60,right,100,80,base,2.4154303912180026,False
c2,base,20,0.1,100,base_left_lane,60,40,100,left,60,0,right,4.328213829791943,False
