Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario1,1,0,2,0,100,0,60,80,0,100,40,0.6
scenario2,1,0,2,0,0,60,100,100,100,60,0,0.2
scenario3,1,2,2,0,20,60,80,40,0,60,20,0.4
scenario4,1,2,0,1,20,0,40,100,80,20,0,0.8
scenario5,0,1,1,2,80,100,20,100,20,100,0,0.6
scenario6,0,1,2,0,0,60,0,0,60,20,60,0.6
scenario7,1,2,2,0,100,60,80,20,40,0,20,0.8
scenario8,0,1,2,0,100,0,80,60,40,20,20,0.1
scenario9,2,0,0,1,80,60,0,0,60,80,0,0.8
scenario10,1,2,0,1,80,60,100,20,40,0,40,0.8
scenario11,1,2,0,2,20,100,60,40,60,100,20,0.4
scenario12,1,2,2,0,60,60,60,100,20,40,40,0.1
scenario13,1,2,2,0,60,60,60,100,20,40,40,0.1
scenario14,0,2,1,2,40,80,60,100,20,20,20,0.4
scenario15,2,0,1,0,60,40,20,100,20,60,40,0.1
scenario16,1,0,2,0,60,40,80,80,40,20,60,0.1
scenario17,1,2,2,0,60,100,40,100,20,40,40,0.1
scenario18,0,1,2,1,60,60,60,100,20,60,60,0.2
scenario19,0,1,1,2,60,80,60,100,0,20,40,0.1
scenario20,1,0,2,0,80,80,80,100,20,40,40,0.1
scenario21,2,0,1,2,60,40,60,100,20,20,80,0.1
scenario22,0,2,1,2,80,40,60,100,40,40,40,0.1
scenario23,2,1,0,1,60,80,80,80,20,60,60,0.8
scenario24,2,1,0,1,60,60,80,80,0,20,60,0.1
scenario25,1,2,2,0,60,60,60,100,20,40,40,0.1
scenario26,2,0,1,0,80,40,100,100,0,100,20,0.2
scenario27,1,2,0,1,40,40,60,60,0,0,40,0.2
scenario28,1,0,2,0,60,100,40,100,40,40,60,0.2
scenario29,2,0,1,2,60,80,80,60,60,40,60,0.1
scenario30,1,2,0,2,80,100,80,80,0,40,60,0.1
scenario31,0,1,1,2,100,60,60,100,20,40,40,0.2
scenario32,1,2,0,2,20,80,80,80,100,20,20,0.6
scenario33,2,1,0,1,40,80,80,100,40,20,80,0.1
scenario34,0,1,2,0,20,100,40,100,20,20,0,0.2
scenario35,2,1,0,1,40,60,80,100,40,20,60,0.2
scenario36,0,2,1,2,60,60,80,100,20,60,80,0.2
scenario37,1,2,2,0,60,60,60,100,20,40,40,0.1
scenario38,2,0,1,2,40,80,60,40,60,20,80,0.2
scenario39,1,2,0,1,20,40,20,80,0,80,40,1
scenario40,2,0,0,1,60,80,0,100,20,40,0,0.1
scenario41,2,0,1,2,80,100,40,100,40,40,60,0.2
scenario42,2,0,1,2,60,60,100,80,0,20,40,0.2
scenario43,0,2,1,2,40,60,60,100,20,60,60,0.4
scenario44,2,0,1,0,60,60,100,100,20,60,80,0.2
scenario45,2,0,1,2,60,60,80,100,80,80,40,0.2
