Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
Z_{1},0.4359,-0.2965,0.0267,0.038,-0.2924,-0.1174,0.2909,0.2277,0.1613,0.0449,-0.2945,-0.2314
Z_{2},-0.0664,-0.0011,0.9269,-0.4496,-0.0517,0.0589,0.1187,0.1387,0.1312,-0.0938,-0.1099,0.0215
