instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,c4,1,0,2,0,100,0,60,80,0,100,40,0.6,False,9999.0,0
scenario2,c4,1,0,2,0,0,60,100,100,100,60,0,0.2,True,0.0,1
scenario3,c4,1,2,2,0,20,60,80,40,0,60,20,0.4,False,9999.0,0
scenario4,c1,1,2,0,1,20,0,40,100,80,20,0,0.8,False,3.67,0
scenario5,c1,0,1,1,2,80,100,20,100,20,100,0,0.6,False,9999.0,0
scenario6,c2,0,1,2,0,0,60,0,0,60,20,60,0.6,False,3.091,0
scenario7,c4,1,2,2,0,100,60,80,20,40,0,20,0.8,True,0.0,1
scenario8,c2,0,1,2,0,100,0,80,60,40,20,20,0.1,False,3.483,0
scenario9,c2,2,0,0,1,80,60,0,0,60,80,0,0.8,False,9999.0,0
scenario10,c1,1,2,0,1,80,60,100,20,40,0,40,0.8,False,4.175,0
scenario11,c1,1,2,0,2,20,100,60,40,60,100,20,0.4,False,6.468,0
scenario12,c4,1,2,2,0,60,60,60,100,20,40,40,0.1,False,2.061,0
scenario13,c4,1,2,2,0,60,60,60,100,20,40,40,0.1,True,0.0,1
scenario14,c1,0,2,1,2,40,80,60,100,20,20,20,0.4,False,7.393,0
scenario15,c4,2,0,1,0,60,40,20,100,20,60,40,0.1,False,3.789,0
scenario16,c4,1,0,2,0,60,40,80,80,40,20,60,0.1,True,0.0,1
scenario17,c4,1,2,2,0,60,100,40,100,20,40,40,0.1,True,0.0,1
scenario18,c2,0,1,2,1,60,60,60,100,20,60,60,0.2,False,9.711,0
scenario19,c1,0,1,1,2,60,80,60,100,0,20,40,0.1,False,7.945,0
scenario20,c4,1,0,2,0,80,80,80,100,20,40,40,0.1,True,0.0,1
scenario21,c4,2,0,1,2,60,40,60,100,20,20,80,0.1,True,0.0,1
scenario22,c1,0,2,1,2,80,40,60,100,40,40,40,0.1,False,4.289,0
scenario23,c2,2,1,0,1,60,80,80,80,20,60,60,0.8,False,3.098,0
scenario24,c2,2,1,0,1,60,60,80,80,0,20,60,0.1,False,4562.119,0
scenario25,c4,1,2,2,0,60,60,60,100,20,40,40,0.1,True,0.0,1
scenario26,c4,2,0,1,0,80,40,100,100,0,100,20,0.2,False,3.058,0
scenario27,c1,1,2,0,1,40,40,60,60,0,0,40,0.2,False,1894.648,0
scenario28,c4,1,0,2,0,60,100,40,100,40,40,60,0.2,True,0.0,1
scenario29,c4,2,0,1,2,60,80,80,60,60,40,60,0.1,True,0.0,1
scenario30,c1,1,2,0,2,80,100,80,80,0,40,60,0.1,False,3657.376,0
scenario31,c1,0,1,1,2,100,60,60,100,20,40,40,0.2,False,3.655,0
scenario32,c1,1,2,0,2,20,80,80,80,100,20,20,0.6,True,0.0,1
scenario33,c2,2,1,0,1,40,80,80,100,40,20,80,0.1,False,2.695,0
scenario34,c2,0,1,2,0,20,100,40,100,20,20,0,0.2,False,4.183,0
scenario35,c2,2,1,0,1,40,60,80,100,40,20,60,0.2,False,2.987,0
scenario36,c1,0,2,1,2,60,60,80,100,20,60,80,0.2,False,4.33,0
scenario37,c4,1,2,2,0,60,60,60,100,20,40,40,0.1,True,0.0,1
scenario38,c4,2,0,1,2,40,80,60,40,60,20,80,0.2,True,0.0,1
scenario39,c1,1,2,0,1,20,40,20,80,0,80,40,1.0,False,1024.783,0
scenario40,c2,2,0,0,1,60,80,0,100,20,40,0,0.1,False,9999.0,0
scenario41,c4,2,0,1,2,80,100,40,100,40,40,60,0.2,True,0.0,1
