Row,IsBetaEasy
scenario456,1
scenario457,1
scenario458,0
scenario459,1
scenario460,1
scenario461,0
scenario462,1
scenario463,1
scenario464,1
scenario465,0
scenario466,1
scenario467,1
scenario468,1
scenario469,0
scenario470,1
scenario471,0
scenario472,1
scenario473,1
scenario474,1
scenario475,1
scenario476,1
scenario477,1
scenario478,0
scenario479,1
scenario480,1
scenario481,0
scenario482,1
scenario483,1
scenario484,1
scenario485,1
scenario486,1
scenario487,1
scenario488,1
scenario489,1
scenario490,1
scenario491,1
scenario492,1
scenario493,1
scenario494,1
scenario495,1
scenario496,1
scenario497,0
scenario498,1
scenario499,1
scenario500,1
scenario501,1
scenario502,1
scenario503,0
scenario504,1
scenario505,1
scenario506,1
scenario507,1
scenario508,1
scenario509,1
scenario510,1
scenario511,1
scenario512,1
scenario513,1
scenario514,1
scenario515,1
scenario516,1
scenario517,1
scenario518,1
scenario519,1
scenario520,0
scenario521,1
scenario522,1
scenario523,0
scenario524,1
scenario525,1
scenario526,0
scenario527,1
scenario528,1
scenario529,0
scenario530,1
scenario531,1
scenario532,1
scenario533,1
scenario534,1
scenario535,1
scenario536,1
scenario537,1
scenario538,1
scenario539,1
scenario540,1
scenario541,0
scenario542,1
scenario543,1
scenario544,1
scenario545,1
scenario546,1
scenario547,1
scenario548,1
scenario549,1
scenario550,1
scenario551,1
scenario552,1
scenario553,0
scenario554,1
scenario555,1
scenario556,1
scenario557,1
scenario558,1
scenario559,1
scenario560,1
scenario561,1
scenario562,1
scenario563,1
scenario564,1
scenario565,0
scenario566,1
scenario567,0
scenario568,1
scenario569,1
scenario570,1
scenario571,1
scenario572,1
scenario573,1
scenario574,1
scenario575,1
scenario576,1
scenario577,1
scenario578,1
scenario579,0
scenario580,1
scenario581,0
scenario582,1
scenario583,0
scenario584,1
scenario585,1
scenario586,1
scenario587,1
scenario588,1
scenario589,1
scenario590,1
scenario591,1
scenario592,1
scenario593,1
scenario594,1
scenario595,1
scenario596,0
scenario597,1
scenario598,1
scenario599,0
scenario600,1
scenario601,1
scenario602,1
scenario603,1
scenario604,1
scenario605,1
scenario606,1
scenario607,0
scenario608,1
scenario609,0
scenario610,1
scenario611,1
scenario612,1
scenario613,1
scenario614,1
scenario615,1
scenario616,1
scenario617,0
scenario618,1
scenario619,1
scenario620,0
scenario621,1
scenario622,1
scenario623,1
scenario624,0
scenario625,0
scenario626,1
scenario627,1
scenario628,1
scenario629,1
scenario630,1
scenario631,0
scenario632,0
scenario633,1
scenario634,1
scenario635,1
scenario636,1
scenario637,0
scenario638,1
scenario639,0
scenario640,1
scenario641,1
scenario642,1
scenario643,1
scenario644,1
scenario645,1
scenario646,1
scenario647,1
scenario648,0
