instances,feature_timeofday,feature_direction,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,run_duration,algo_safety
scenario1,-60,1,1.0,0,100,80,80,80,80,80,0,0.8055000504913767,136.5032033920288,0
scenario2,-30,0,1.0,60,60,0,40,60,20,20,0,1.3600067654118448,83.49388146400452,0
scenario3,-90,1,0.2,20,80,100,60,20,40,20,0,0.9570866462412936,104.9440577030182,0
scenario4,-90,0,0.6,40,0,60,20,40,100,0,0,1.4221053696237065,82.53507041931152,0
scenario5,-90,0,0.4,80,40,20,100,0,0,100,0,1.3863361287528857,81.28505682945251,0
scenario6,-60,0,0.8,100,20,40,0,100,60,60,0,1.4731143827358564,82.70842123031616,0
scenario7,-30,1,0.4,100,0,100,20,80,60,40,0,0.977873887536972,103.35482168197632,0
scenario8,-90,1,1.0,60,40,80,60,100,100,60,0,0.93684879947761,104.3210334777832,0
scenario9,60,1,0.1,0,60,60,0,20,0,40,0,1.1336324322294402,171.85188055038452,0
scenario10,-90,0,0.1,20,60,0,80,40,60,80,0,1.430486215339599,81.76601243019104,0
scenario11,0,1,0.8,0,100,40,20,60,40,100,0,1.58663101910925,108.24973917007446,0
scenario12,-60,1,0.1,40,20,20,40,0,40,0,0,0.6489435818106442,104.93151450157166,0
scenario13,-60,1,0.2,80,0,80,100,40,0,20,0,1.4680292006098583,171.66793036460876,0
scenario14,60,0,0.2,40,100,100,100,100,20,0,0,1.3485449672726268,79.82995891571045,0
scenario15,30,0,0.6,60,80,40,60,0,80,40,0,1.3476335140650408,79.98689818382263,0
scenario16,-30,0,0.8,100,80,20,100,20,100,80,0,0.9999996776222853,109.31168746948242,0
scenario17,0,0,0.6,100,40,20,0,40,80,20,0,1.3592881480999293,82.11560034751892,0
scenario18,90,1,0.6,80,80,60,40,80,20,60,0,0.9962508626156924,113.1081006526947,0
scenario19,60,0,0.2,60,20,20,60,80,60,100,0,1.5450981080613322,78.34492206573486,0
scenario20,60,1,0.4,100,80,0,80,60,0,0,0,0.8763103875095649,115.6322102546692,0
scenario21,0,0,1.0,80,0,60,80,100,40,80,0,1.424989051253595,80.34695768356323,0
scenario22,90,0,1.0,20,20,0,20,20,80,100,0,1.9100988008875013,80.32553791999817,0
scenario23,-30,0,0.4,20,100,80,0,40,40,60,0,1.3937999042809308,82.27635097503662,0
scenario24,60,0,0.8,40,60,40,80,0,100,20,0,1.3864534146194,79.200679063797,0
scenario25,90,0,0.8,60,40,100,60,60,0,80,0,1.4268225539555968,80.1648542881012,0
scenario26,0,0,0.6,0,20,80,100,40,20,40,0,1.548858989123837,80.15150499343872,0
scenario27,-60,1,0.2,20,40,0,40,60,100,40,0,0.9047796473733366,95.39597511291504,0
scenario28,-30,0,0.6,0,60,100,40,100,0,100,0,1.3796705672935712,83.66941928863525,0
