Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario60,c2,base,left,right,base,60,100,0,0,-90,60,0,20,0.6,True,0.0,1
scenario61,c2,base,left,right,base,60,100,0,0,-90,60,0,20,0.6,False,1.674,0
scenario62,c4,right,base,left,base,20,100,60,80,90,80,100,80,0.8,False,4036.793,0
scenario63,c4,right,base,left,right,0,100,60,0,-90,100,20,0,1.0,False,0.924,0
scenario64,c4,left,right,right,base,80,20,20,80,90,40,20,40,1.0,False,4.072,0
scenario65,c4,left,right,right,base,80,80,40,80,-30,100,0,40,1.0,False,3.978,0
scenario66,c2,base,left,right,base,80,60,40,100,90,60,40,60,1.0,False,1.752,0
scenario67,c2,base,left,right,base,20,80,80,0,-90,60,20,40,0.8,True,0.0,1
scenario68,c4,left,right,right,base,100,100,60,80,0,80,20,80,1.0,False,3.455,0
scenario69,c4,left,right,right,base,80,80,20,100,90,100,0,80,1.0,False,3.682,0
scenario70,c1,left,right,base,left,40,20,0,60,-30,100,20,100,1.0,False,3.311,0
scenario71,c1,left,right,base,left,20,40,20,80,-90,100,20,40,1.0,False,4.585,0
scenario72,c4,right,base,left,base,20,80,80,20,-90,100,0,20,1.0,False,2.471,0
scenario73,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,False,1.984,0
scenario74,c4,right,base,left,base,0,60,60,0,-90,40,100,80,0.4,False,3953.649,0
scenario75,c4,right,base,left,base,60,100,60,20,-90,80,0,80,0.1,False,4106.62,0
scenario76,c2,right,left,base,left,20,80,0,60,60,80,100,100,0.8,False,3.88,0
scenario77,c2,right,left,base,left,60,100,80,100,-30,0,40,20,0.6,False,7.832,0
scenario78,c1,base,right,left,right,60,60,0,0,-60,60,20,0,0.4,False,2.625,0
scenario79,c2,base,left,right,base,0,20,0,100,-30,80,0,60,1.0,True,0.0,1
scenario80,c4,left,base,right,base,40,40,80,60,-90,100,60,60,0.8,False,2.309,0
scenario81,c2,base,left,right,base,40,80,0,60,-60,80,0,60,1.0,False,2.983,0
scenario82,c2,right,left,base,left,40,20,80,60,-30,80,100,80,0.8,False,2.992,0
scenario83,c1,base,left,left,right,100,60,40,0,90,100,60,80,1.0,False,3.375,0
scenario84,c4,left,right,right,base,60,60,0,100,-60,60,0,80,0.4,False,4.615,0
scenario85,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,False,3.374,0
scenario86,c2,right,base,base,left,20,80,0,100,-60,80,20,60,0.8,True,0.0,1
scenario87,c2,right,base,base,left,40,60,20,100,-60,100,20,80,1.0,True,0.0,1
scenario88,c2,base,left,right,base,60,80,0,100,-60,100,20,80,1.0,False,4.11,0
scenario89,c4,right,base,left,base,40,0,0,100,-90,100,20,80,0.8,False,4891.476,0
scenario90,c2,right,left,base,left,40,60,20,100,-60,100,20,80,0.2,False,0.983,0
scenario91,c2,right,base,base,left,40,80,0,100,-90,100,0,40,1.0,False,3.251,0
scenario92,c1,left,right,base,right,40,60,0,0,-60,100,0,60,1.0,False,12.748,0
scenario93,c2,base,left,right,base,60,100,40,100,-60,100,60,60,1.0,False,1.763,0
scenario94,c2,base,left,right,base,20,80,0,100,-60,100,0,60,1.0,False,1.755,0
scenario95,c2,base,left,right,base,60,20,0,100,-60,100,0,60,0.2,False,1.714,0
scenario96,c1,base,left,left,right,20,60,0,80,-30,80,0,60,1.0,False,2.886,0
scenario97,c2,right,base,base,left,20,80,0,100,-60,80,20,60,0.8,True,0.0,1
scenario98,c2,base,left,right,base,40,60,0,80,-60,80,20,40,1.0,False,0.794,0
scenario99,c2,right,left,base,left,60,80,20,100,-30,100,40,60,0.8,False,1.085,0
scenario100,c2,base,left,right,base,20,80,20,100,-90,100,0,80,0.8,True,0.0,1
scenario101,c2,base,left,right,base,0,80,0,60,-60,100,0,80,1.0,False,1.224,0
scenario102,c4,left,base,right,base,40,40,0,20,-60,80,0,20,0.1,False,2.701,0
scenario103,c4,right,base,left,right,20,40,0,80,0,60,0,40,0.6,False,2.081,0
scenario104,c2,base,left,right,base,20,60,0,100,-30,100,0,80,0.8,True,0.0,1
scenario105,c2,base,left,right,base,40,80,0,100,-30,60,20,80,0.8,False,1.855,0
scenario106,c4,left,right,right,base,40,60,20,80,-60,80,0,60,0.8,False,4.113,0
scenario107,c1,base,right,left,right,60,0,0,100,-60,80,20,80,0.8,False,3.17,0
scenario108,c2,right,base,base,left,20,40,0,80,-60,100,100,80,1.0,False,2749.665,0
scenario109,c2,right,base,base,left,20,80,0,100,-60,80,20,60,0.8,True,0.0,1
scenario110,c2,right,base,base,left,0,20,0,80,30,80,0,100,1.0,True,0.0,1
scenario111,c2,base,left,right,left,60,60,20,60,-60,80,20,40,1.0,False,4.006,0
scenario112,c2,base,left,right,base,40,60,0,100,-30,100,20,100,0.8,False,3.681,0
scenario113,c2,right,base,base,left,0,60,20,100,-60,80,40,80,0.8,True,0.0,1
scenario114,c2,base,left,right,base,60,100,0,80,-60,60,20,60,0.8,False,1.767,0
scenario115,c1,left,right,base,left,20,80,20,0,-60,80,0,80,0.1,False,4.093,0
scenario116,c2,base,left,right,base,0,100,40,100,-30,80,20,80,0.8,False,1.762,0
scenario117,c2,right,left,base,left,80,20,0,40,-60,20,0,0,0.1,False,3.735,0
scenario118,c4,left,base,right,base,40,20,0,20,-90,60,20,20,0.1,False,4.525,0
scenario119,c4,left,base,right,base,40,60,0,60,-60,100,100,60,0.8,False,2.779,0
scenario120,c1,left,right,base,left,40,100,0,100,30,60,0,80,0.6,False,3.931,0
scenario121,c2,right,base,base,left,20,80,0,100,-60,80,20,60,0.8,False,2.973,0
scenario122,c1,left,right,base,right,20,80,0,100,60,80,0,60,0.4,False,4.052,0
scenario123,c2,base,left,right,left,40,80,0,100,0,100,60,100,1.0,False,2.927,0
scenario124,c4,right,base,left,base,80,40,20,80,60,60,20,100,0.8,False,6025.422,0
scenario125,c1,base,left,left,right,40,80,20,20,-60,80,20,60,0.1,False,3.145,0
scenario126,c1,base,right,left,right,20,40,20,100,-60,100,20,100,0.8,True,0.0,1
scenario127,c1,left,right,base,right,40,20,0,20,-90,80,80,0,0.6,False,23.329,0
scenario128,c2,base,left,right,left,20,100,0,80,-90,80,40,40,0.6,False,3.811,0
scenario129,c4,left,right,right,base,60,100,60,80,-30,80,0,60,1.0,False,3.7,0
scenario130,c2,base,left,right,base,0,80,0,100,-30,100,60,80,0.8,False,1.731,0
scenario131,c4,right,base,left,right,60,60,40,80,-60,60,20,20,0.8,False,10.165,0
scenario132,c2,base,left,right,left,20,100,0,100,-30,40,20,60,1.0,False,3.202,0
scenario133,c1,base,right,left,right,20,40,20,100,-60,100,20,100,0.8,False,1.884,0
scenario134,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,True,0.0,1
scenario135,c4,right,base,left,base,0,60,60,0,-90,40,100,80,0.4,False,4027.117,0
scenario136,c4,right,base,left,base,60,100,60,20,-90,80,0,80,0.1,False,2.18,0
scenario137,c2,right,left,base,left,20,80,0,60,60,80,100,100,0.8,False,4.443,0
scenario138,c2,right,left,base,left,60,100,80,100,-30,0,40,20,0.6,False,38.677,0
scenario139,c1,base,right,left,right,60,60,0,0,-60,60,20,0,0.4,True,0.0,1
scenario140,c2,base,left,right,base,0,20,0,100,-30,80,0,60,1.0,False,1.891,0
scenario141,c4,left,base,right,base,40,40,80,60,-90,100,60,60,0.8,False,3.072,0
scenario142,c2,base,left,right,base,40,80,0,60,-60,80,0,60,1.0,False,1.758,0
scenario143,c2,right,left,base,left,40,20,80,60,-30,80,100,80,0.8,False,4.812,0
scenario144,c1,base,left,left,right,100,60,40,0,90,100,60,80,1.0,False,2.67,0
scenario145,c4,left,right,right,base,60,60,0,100,-60,60,0,80,0.4,False,7.299,0
scenario146,c2,base,left,right,base,40,80,0,60,-60,80,0,60,1.0,False,1.484,0
scenario147,c1,base,right,left,right,0,100,0,80,-60,0,0,80,0.8,False,5.251,0
scenario148,c1,base,right,left,right,20,80,20,60,-60,0,80,80,0.8,False,3.248,0
scenario149,c2,base,left,right,base,40,100,20,60,-60,0,20,40,0.8,False,2334.288,0
scenario150,c2,base,left,right,base,40,80,0,80,-60,60,100,80,1.0,False,2563.797,0
scenario151,c2,right,left,base,left,40,100,20,80,-90,80,100,40,1.0,False,46.632,0
scenario152,c2,base,left,right,base,60,80,20,80,0,80,100,60,1.0,False,561.806,0
scenario153,c2,base,left,right,base,20,100,0,40,-60,60,0,0,0.8,False,1.597,0
scenario154,c2,right,base,base,left,40,80,60,40,30,80,80,60,1.0,True,0.0,1
scenario155,c4,right,base,left,base,20,80,20,80,90,80,60,40,1.0,False,4.937,0
scenario156,c1,base,right,left,right,60,100,20,80,-30,40,0,40,0.8,True,0.0,1
scenario157,c2,base,left,right,base,60,80,0,40,-90,80,40,80,1.0,False,1.629,0
scenario158,c2,right,base,base,left,40,80,60,40,30,80,80,60,1.0,False,2.378,0
scenario159,c4,left,base,right,base,60,80,40,60,60,0,0,60,0.6,False,4914.744,0
scenario160,c2,base,left,right,base,40,100,20,40,60,0,20,40,0.8,False,37.303,0
scenario161,c4,right,base,left,base,60,80,20,60,-60,40,0,100,1.0,False,1.921,0
scenario162,c2,base,left,right,base,0,60,0,100,-90,40,100,100,1.0,False,42.751,0
scenario163,c4,right,base,left,base,60,80,0,20,-60,80,20,60,0.8,False,2.666,0
scenario164,c4,right,base,left,base,20,80,40,80,90,60,60,60,0.8,False,5446.362,0
scenario165,c1,left,right,base,left,40,80,60,80,30,60,100,40,1.0,False,4.502,0
scenario166,c1,left,right,base,left,0,40,40,40,-60,40,20,40,0.8,False,4.015,0
scenario167,c1,left,right,base,left,60,100,40,80,0,20,0,20,1.0,False,16.08,0
scenario168,c1,base,right,left,right,20,80,20,80,-60,20,100,20,0.8,False,2.579,0
scenario169,c1,base,right,left,right,0,100,20,100,-60,0,0,100,0.8,False,1.98,0
scenario170,c4,right,base,left,base,60,80,20,60,-60,40,0,100,1.0,False,1.995,0
scenario171,c4,right,base,left,base,40,60,0,20,-30,80,0,60,0.8,False,4271.379,0
scenario172,c1,left,right,base,left,80,100,80,80,0,20,0,0,1.0,False,3.823,0
scenario173,c4,right,base,left,base,20,80,20,60,90,60,60,60,1.0,False,7195.634,0
scenario174,c1,base,right,left,right,0,80,20,20,-30,20,80,40,0.6,True,0.0,1
