Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,-60,c2,base,left,right,base,1.0,0,100,80,80,80,80,80,0,1.7761415612771478,0
scenario2,0,c1,base,right,left,right,0.4,60,60,0,40,40,60,20,0,2.48458041978355,0
scenario3,90,c2,right,base,base,left,0.6,0,40,40,20,20,40,0,0,3.718035158304952,0
scenario4,-30,c2,base,left,right,left,0.2,80,0,60,0,0,100,60,0,3.304835586272914,0
scenario5,90,c4,right,base,left,right,0.1,100,20,100,80,60,0,100,0,1.001409775380932,0
scenario6,60,c4,left,right,right,base,0.1,40,80,20,60,100,20,40,0,3.7849759284824263,0
scenario7,0,c1,left,right,base,right,0.8,20,20,80,100,0,40,40,0,3.0650826809307885,0
scenario8,60,c4,right,base,left,base,0.4,20,100,60,100,20,100,100,0,4.110471384727626,0
scenario9,-60,c2,right,left,base,left,1.0,20,40,100,0,40,20,0,0,4.180828692321967,0
scenario10,-30,c1,left,right,base,left,0.4,100,0,0,20,100,0,80,0,3.982200477526578,0
scenario11,60,c1,left,right,base,right,0.2,80,60,20,20,60,80,20,0,3.2391274380685235,0
scenario12,-90,c1,left,right,base,right,0.6,60,80,100,60,80,60,60,0,3.388501677961903,0
scenario13,0,c1,base,left,left,right,0.1,40,0,40,40,80,100,0,0,3.5602797646248083,0
scenario14,30,c2,base,left,right,left,0.8,60,0,20,0,20,60,100,0,3.2328140799454865,0
scenario15,-60,c4,right,base,left,base,1.0,100,80,60,40,100,40,20,0,2.8448154810248822,0
scenario16,60,c4,right,base,left,base,0.8,80,40,40,60,40,0,80,0,3.923165204825732,0
scenario17,-90,c2,base,left,right,base,0.6,80,20,0,100,100,80,0,1,2385.947704630038,1
scenario18,-60,c2,base,left,right,left,0.2,60,100,40,100,60,60,40,0,3.2183647571691822,0
scenario19,60,c4,right,base,left,base,0.6,0,60,0,80,0,20,60,0,3.763629430382329,0
scenario20,-60,c1,left,right,base,left,0.6,40,80,80,20,40,100,100,0,2.660729764245976,0
scenario21,90,c4,right,base,left,right,0.4,40,80,40,0,0,80,80,1,9999.0,1
scenario22,-60,c4,right,base,left,right,0.2,0,20,20,40,20,0,60,0,0.9544761829416546,0
scenario23,-60,c2,base,left,right,left,0.8,100,60,60,0,80,0,40,0,2.971535226607141,0
scenario24,-30,c4,right,base,left,base,0.2,20,80,80,80,60,60,0,0,1.9302789249048329,0
scenario25,0,c1,left,right,base,right,0.6,60,40,60,40,60,20,80,0,3.197021194819605,0
scenario26,-90,c1,base,right,left,right,1.0,80,100,100,20,20,20,40,0,3.029616895974263,0
scenario27,0,c2,base,left,right,left,0.8,0,40,100,80,100,100,20,0,3.245671141996611,0
scenario28,-90,c2,base,left,right,left,0.4,20,0,80,60,80,40,20,0,3.136946577535749,0
scenario29,60,c1,left,right,base,left,0.8,40,100,0,0,60,40,0,0,2.7761022416550576,0
scenario30,30,c1,left,right,base,left,0.2,40,20,20,80,40,40,80,0,4.543461901240062,0
scenario31,90,c2,base,left,right,left,0.1,0,0,60,100,40,80,60,0,2.984344006792912,0
scenario32,-90,c4,left,base,right,base,0.8,100,40,100,40,0,80,100,0,2.8818737549778994,0
scenario33,-30,c1,left,right,base,right,0.6,20,60,0,60,20,80,40,0,3.596043451192316,0
scenario34,30,c4,right,base,left,right,0.1,100,100,40,20,100,20,60,1,9999.0,1
scenario35,-90,c1,left,right,base,left,1.0,40,60,40,100,0,0,20,0,2.6084739210797885,0
scenario36,30,c4,left,right,right,base,0.4,0,40,80,60,60,100,40,0,4.529401136961715,0
scenario37,30,c4,left,base,right,base,1.0,80,20,0,20,80,60,100,0,2.824020608159155,0
scenario38,-60,c4,right,base,left,base,0.1,60,40,0,60,0,60,80,0,2.5658477824269066,0
scenario39,-60,c4,right,base,left,base,0.4,80,100,20,80,0,0,0,1,2.3104009072135585,1
