Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c1,right,20,0.6,20,left,0,40,0,right,80,40,-60,base,0,3.234241262456323,0
scenario2,c4,right,80,1.0,0,right,0,20,60,base,100,20,0,left,0,3.9431370190275374,0
scenario3,c2,left,0,0.8,40,right,0,100,0,left,0,100,90,base,0,2.872207115663186,0
scenario4,c4,base,20,0.2,40,right,80,80,20,base,100,100,60,left,0,1.7033329180794856,0
scenario5,c2,left,60,0.1,0,right,40,60,60,left,20,60,-90,base,0,2.93490147983835,0
scenario6,c1,right,100,0.4,20,base_left_lane,60,60,100,left,60,0,30,left,0,0.9701041352744986,0
scenario7,c2,left,80,0.6,100,base_left_lane,60,80,20,left,100,40,-30,right,0,3.7248926937912015,0
scenario8,c1,right,40,0.2,60,left,60,100,100,right,40,0,-60,base,0,3.1287222227112563,0
scenario9,c4,base,0,1.0,100,left,80,20,80,base,80,20,90,right,0,2.508645645759114,0
scenario10,c2,base,0,0.6,20,base_left_lane,20,100,0,left,60,100,-90,right,0,3.581978277149213,0
scenario11,c1,left,0,0.8,80,left,60,60,20,right,100,40,60,base,0,2.154076736504128,0
scenario12,c4,base,20,0.6,0,right,0,0,60,base,0,0,30,left,0,2.751520933718696,0
scenario13,c1,right,100,0.1,60,base,60,80,20,right,20,60,60,left,0,3.56831876486478,0
scenario14,c1,left,60,0.1,80,left,100,60,60,right,20,80,-30,base,0,2.313124397573304,0
scenario15,c4,base,80,0.1,60,left,20,80,80,base,0,100,-60,right,0,2.313209829695879,0
scenario16,c4,base,100,0.4,100,left,80,0,60,base,20,60,90,right,0,2.496626017607473,0
scenario17,c1,right,20,0.1,0,base_left_lane,20,40,40,left,100,100,-90,left,0,0.9826283596332956,0
scenario18,c1,left,100,0.4,40,left,60,20,100,right,100,40,60,base,0,2.997530923767313,0
scenario19,c2,left,40,0.1,20,right,100,60,60,left,40,80,90,base,0,2.940385672931734,0
scenario20,c4,base,60,0.8,60,left,100,100,60,right,40,20,60,right,1,0.0,1
scenario21,c2,base,40,1.0,40,base_left_lane,40,20,40,left,60,60,-30,right,0,2.53689605874064,0
scenario22,c1,right,100,0.8,20,left,100,20,20,right,80,80,30,base,0,2.743791852208972,0
scenario23,c4,base,40,0.2,40,left,40,40,0,right,80,0,-30,right,0,0.9637725746841684,0
scenario24,c4,right,20,0.2,100,right,20,0,20,base,40,100,0,left,0,5.16492610047554,0
scenario25,c2,left,40,0.2,0,right,100,20,20,base,20,40,30,base,1,0.0,1
scenario26,c4,base,80,1.0,100,left,40,80,40,right,20,80,-90,right,0,1.0302875032309389,0
scenario27,c1,right,80,0.8,80,base_left_lane,60,80,80,left,80,20,-90,left,0,0.9846134640183316,0
scenario28,c4,base,100,0.6,60,right,0,100,100,base,20,100,0,left,0,2.33941111033626,0
scenario29,c1,right,0,0.4,80,left,80,0,100,right,0,60,-30,base,0,0.6719239932753032,0
scenario30,c4,right,80,0.4,60,right,20,20,0,base,20,20,0,left,0,4.351755738394165,0
scenario31,c1,right,60,1.0,0,base,40,40,80,right,80,60,90,left,0,4.522087068562932,0
scenario32,c4,base,60,0.6,100,right,80,0,40,base,60,40,60,left,0,1.6477802148029042,0
scenario33,c2,left,0,0.4,40,right,40,0,80,base,0,80,-90,base,0,1.9005284544408227,0
scenario34,c2,base,0,1.0,60,base_left_lane,80,100,0,left,0,0,30,right,0,3.727222670210829,0
scenario35,c4,right,100,0.2,80,right,60,0,80,base,20,100,90,left,0,4.320348041251451,0
scenario36,c1,right,40,0.2,20,left,60,40,20,right,0,60,-30,base,0,3.1725543829328013,0
scenario37,c1,left,80,0.1,100,left,20,0,60,right,60,0,90,base,0,2.5979070100946577,0
scenario38,c1,right,20,0.6,20,base,0,60,40,right,20,60,-30,left,0,3.344334615703248,0
scenario39,c2,base,100,0.6,40,base_left_lane,60,80,60,left,100,40,-30,right,0,2.6343828057322685,0
