Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario62,c4,base,40,1.0,60,left,80,0,40,right,80,40,90,right,0,1.04856222891575,0
scenario63,c4,base,20,0.1,40,left,20,60,80,base,100,20,0,right,0,3.93685548926752,0
scenario64,c4,right,40,0.4,20,right,100,0,0,base,100,80,-60,left,0,4.45299621906735,0
scenario65,c1,right,0,0.2,20,base,80,0,80,right,0,60,-30,left,0,2.886386542927955,0
scenario66,c1,right,60,1.0,40,left,20,0,40,right,20,40,0,base,1,0.0,1
scenario67,c1,right,40,1.0,40,left,80,0,60,right,0,100,-30,base,0,3.755323183266159,0
scenario68,c1,right,0,0.8,0,base_left_lane,60,60,100,left,100,100,60,left,0,0.9080892389532168,0
scenario69,c2,base,0,0.2,40,base_left_lane,60,100,80,left,60,60,30,right,0,2.77573132089738,0
scenario70,c4,base,40,0.4,80,left,40,80,80,base,0,0,90,right,0,3.8264765133568495,0
scenario71,c4,base,60,0.4,0,right,20,60,100,base,80,20,90,left,0,2.112438528648359,0
scenario72,c2,left,60,0.8,20,right,80,60,60,base,20,40,-90,base,0,1.727761076263873,0
scenario73,c4,base,100,0.1,100,left,40,20,60,right,20,100,90,right,0,0.6431962905260865,0
scenario74,c1,right,20,0.4,60,base,20,40,100,right,60,20,0,left,0,3.3501738902420266,0
scenario75,c1,right,80,0.6,40,left,80,40,60,right,40,80,30,base,0,3.2028208016847577,0
scenario76,c1,right,20,0.1,80,base,100,0,60,right,20,60,30,left,0,3.505123509606394,0
scenario77,c2,left,100,1.0,80,base_left_lane,0,0,40,left,60,20,30,right,0,5.3721428225381045,0
scenario78,c4,base,100,0.8,60,left,60,100,20,base,80,20,30,right,0,2.722267568305318,0
scenario79,c2,left,80,1.0,20,right,100,0,40,left,60,0,-30,base,0,2.8082497257774213,0
scenario80,c1,right,40,0.1,100,base_left_lane,60,20,80,left,80,60,-60,left,0,1.009947871482611,0
scenario81,c4,base,100,0.2,100,left,80,20,0,right,20,40,-30,right,0,0.8578868158000497,0
scenario82,c4,base,40,0.4,80,right,20,80,0,base,0,80,90,left,0,3.491719134555143,0
scenario83,c2,base,40,1.0,100,base_left_lane,80,100,100,left,100,0,-60,right,0,2.8353591924355777,0
scenario84,c4,base,80,0.4,20,left,0,40,80,right,60,100,0,right,0,1.5310642346253045,0
scenario85,c1,right,40,0.6,40,base,20,0,100,right,80,100,-90,left,0,3.75716951736803,0
scenario86,c4,right,0,0.6,60,right,0,0,40,base,60,60,-30,left,0,4.037803526345336,0
scenario87,c1,left,40,0.8,40,left,20,20,0,right,20,0,-90,base,0,2.780778175634839,0
scenario88,c2,left,60,1.0,80,right,40,0,20,base,40,20,-90,base,1,0.0,1
scenario89,c1,right,0,1.0,0,left,40,80,80,right,0,40,-60,base,0,4.231204750749138,0
scenario90,c1,left,0,0.6,100,left,100,80,0,right,40,80,60,base,0,2.708247138649936,0
scenario91,c4,base,20,0.4,20,left,100,60,100,base,100,0,-60,right,0,2.24870303822298,0
scenario92,c1,right,80,0.6,100,base_left_lane,60,40,20,left,100,100,90,left,0,1.0821374472353749,0
scenario93,c4,base,60,0.6,100,left,60,20,80,base,0,0,30,right,0,6.06923962948416,0
scenario94,c2,left,0,0.2,0,right,80,60,0,left,60,0,-30,base,0,2.944369926247437,0
scenario95,c2,base,60,0.4,80,base_left_lane,80,100,20,left,40,80,30,right,0,3.482253243557196,0
scenario96,c2,left,60,0.1,80,right,80,80,60,base,0,40,60,base,0,1.716436204909689,0
scenario97,c4,base,20,0.4,40,left,0,20,60,right,0,60,60,right,1,0.0,1
scenario98,c1,right,20,0.1,40,left,60,100,20,right,40,0,-30,base,1,0.0,1
scenario99,c1,right,80,0.2,80,base_left_lane,20,80,0,left,20,0,-30,left,0,1.1074846724663323,0
scenario100,c2,left,40,0.2,40,right,60,40,40,base,100,40,-90,base,1,0.0,1
scenario101,c2,left,100,0.2,100,right,40,80,80,left,40,100,-30,base,0,3.126258240629253,0
scenario102,c1,left,0,0.2,0,left,20,40,100,right,0,0,30,base,0,3.0300589683751475,0
scenario103,c4,base,100,1.0,40,left,100,80,60,base,60,60,-30,right,0,1.6507750741982998,0
scenario104,c2,base,80,0.1,40,base_left_lane,0,100,80,left,60,40,90,right,0,3.177266563783424,0
scenario105,c4,base,0,0.4,80,left,0,100,20,right,40,100,90,right,0,1.0407218991935372,0
scenario106,c2,left,80,0.4,100,base_left_lane,100,100,20,left,60,0,30,right,0,5.043410337556136,0
scenario107,c1,right,60,1.0,0,left,0,80,40,right,100,100,-90,base,0,2.346516283858941,0
scenario108,c1,right,0,0.1,60,base_left_lane,60,0,40,left,0,100,60,left,0,0.9634287126788216,0
scenario109,c2,left,60,0.2,40,right,40,40,0,left,60,40,60,base,0,2.735290522165509,0
scenario110,c4,base,20,0.4,80,right,40,60,40,base,20,40,90,left,0,2.2824795949267886,0
scenario111,c1,right,0,0.6,80,base,60,100,20,right,100,100,0,left,0,4.289623729103872,0
scenario112,c1,right,0,0.8,60,left,0,40,60,right,80,80,30,base,1,0.0,1
scenario113,c1,right,100,0.4,40,base_left_lane,40,60,20,left,0,40,-30,left,0,1.0932866308751017,0
scenario114,c4,base,80,0.1,20,left,0,100,100,base,60,0,30,right,0,2.781609423292601,0
scenario115,c1,right,80,0.6,100,base,60,0,100,right,100,0,60,left,0,3.122110436760853,0
scenario116,c2,left,80,0.8,60,right,100,40,0,base,20,20,-90,base,0,1.8911077754459704,0
scenario117,c2,base,100,1.0,80,base_left_lane,80,20,0,left,40,80,-90,right,0,3.7146275296207727,0
scenario118,c4,base,20,0.1,100,right,100,40,100,base,40,100,-30,left,0,2.604153637777076,0
scenario119,c2,left,100,0.1,20,right,60,100,20,base,100,20,-60,base,0,1.4085847452098057,0
scenario120,c4,base,100,0.4,20,left,60,40,80,base,60,100,60,right,0,2.7968407925300256,0
scenario121,c4,base,80,0.2,20,left,0,0,40,base,20,0,-30,right,0,3.304447841208152,0
scenario122,c4,base,40,1.0,100,left,0,20,100,right,100,40,0,right,0,1.0257425059657843,0
scenario123,c2,left,100,0.2,0,right,40,80,20,left,0,20,0,base,0,3.0591618958351074,0
scenario124,c1,right,0,0.6,0,base,20,60,100,right,60,40,-60,left,0,3.163415469148935,0
scenario125,c1,left,60,0.6,40,left,0,20,20,right,60,20,30,base,0,1.8622731553353915,0
scenario126,c2,base,20,1.0,40,base_left_lane,0,40,20,left,80,60,30,right,0,3.8909294944611954,0
