Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,-90,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.01539,base,right,left,right,0,2.0269842257295885,0
scenario2,90,60,100,0,0,0,0.8,0,100,0,0,0,c2,0.00234,right,left,base,left,0,3.667223042723312,0
scenario3,30,20,20,0,0,0,0.8,0,100,0,0,0,c4,0.00616,right,base,left,base,0,3.90059250495389,0
scenario4,0,60,100,0,0,0,0.8,0,100,0,0,20,c1,0.00192,left,right,base,right,0,3.462902976036438,0
scenario5,-90,20,100,0,20,40,0.8,0,100,0,0,20,c2,0.002,base,left,right,left,0,2.905050195144584,0
scenario6,90,60,20,0,0,0,0.8,0,100,0,0,20,c4,0.00311,left,right,right,base,0,3.892843311348825,0
scenario7,-30,60,40,0,0,0,0.8,0,100,0,0,40,c1,0.0024,left,right,base,left,0,3.931845268126108,0
scenario8,-90,60,100,0,0,0,0.8,0,100,0,0,40,c2,0.00387,base,left,right,base,0,1.748560415678673,0
scenario9,90,20,60,0,0,0,0.8,0,100,0,0,40,c4,0.0053,left,base,right,base,0,2.3457208639747225,0
scenario10,-30,20,80,0,0,0,0.8,0,100,0,0,60,c1,0.00757,base,left,left,right,0,2.5810763797435565,0
scenario11,30,20,80,0,0,0,0.8,0,100,0,0,60,c2,0.00677,right,base,base,left,0,2.21427812796385,0
scenario12,60,60,60,0,0,0,0.8,0,100,0,0,60,c4,0.00245,right,base,left,right,0,1.0061956853373637,0
scenario13,-90,20,40,0,20,40,0.8,0,100,0,0,80,c1,0.00264,base,right,left,right,1,0.0,1
scenario14,-30,20,20,0,0,0,0.8,0,100,0,0,80,c2,0.00632,right,left,base,left,0,4.444445814423788,0
scenario15,-90,60,20,0,0,0,0.8,0,100,0,0,80,c4,0.00342,right,base,left,base,0,2.754093189457681,0
scenario16,0,40,60,0,0,0,0.8,0,100,0,0,100,c1,0.00289,left,right,base,right,0,3.424670389914237,0
scenario17,-90,20,80,0,0,0,0.8,0,100,0,0,100,c2,0.01511,base,left,right,left,0,3.3186679055701305,0
scenario18,-60,40,60,0,0,0,0.8,0,100,0,0,100,c4,0.00205,left,right,right,base,0,4.177016716322347,0
scenario19,90,20,20,0,0,0,0.8,0,100,0,20,0,c1,0.00805,left,right,base,left,0,4.166450274423017,0
scenario20,90,20,100,0,0,0,0.8,0,100,0,20,0,c2,0.00546,base,left,right,base,0,1.6951384782454633,0
scenario21,-90,20,80,0,0,0,0.8,80,20,0,20,0,c4,0.00197,left,base,right,base,0,1.6545235410845398,0
scenario22,30,60,20,0,0,0,0.8,0,100,0,20,20,c1,0.00214,base,left,left,right,0,2.6644713596803142,0
scenario23,-90,60,60,0,0,0,0.8,0,100,0,20,20,c2,0.00438,right,base,base,left,0,2.50833666074809,0
scenario24,-60,40,100,0,0,0,0.8,0,100,0,20,20,c4,0.00213,right,base,left,right,0,0.8849495823262743,0
scenario25,60,40,100,0,0,0,0.8,0,100,0,20,40,c1,0.00199,base,right,left,right,0,2.1689949305859395,0
scenario26,60,20,40,0,0,0,0.8,0,100,0,20,40,c2,0.00777,right,left,base,left,0,4.309533548312258,0
scenario27,0,20,100,0,0,0,0.8,0,100,0,20,40,c4,0.00625,right,base,left,base,0,4.460226319164796,0
scenario28,-60,40,20,0,0,0,0.8,0,100,0,20,60,c1,0.00261,left,right,base,right,0,3.3468072094447487,0
scenario29,-30,60,80,0,0,0,0.8,0,100,0,20,60,c2,0.00233,base,left,right,left,0,1.905846759144905,0
scenario30,30,60,80,0,0,0,0.8,0,100,0,20,60,c4,0.00198,left,right,right,base,0,3.9759191113553167,0
scenario31,0,40,20,0,0,0,0.8,0,100,0,20,80,c1,0.00203,left,right,base,left,0,3.5720783888363843,0
scenario32,90,60,60,0,0,0,0.8,0,100,0,20,80,c2,0.00233,base,left,right,base,0,1.79840800769791,0
scenario33,60,60,20,0,0,0,0.8,0,100,0,20,80,c4,0.00235,left,base,right,base,0,2.353125466134567,0
scenario34,0,20,40,0,0,0,0.8,0,100,0,20,100,c1,0.00804,base,left,left,right,0,3.001862665645768,0
scenario35,-60,20,40,0,0,0,0.8,0,100,0,20,100,c2,0.00692,right,base,base,left,0,2.4316679846212725,0
scenario36,-60,20,80,0,0,0,0.8,0,100,0,20,100,c4,0.00606,right,base,left,right,0,0.996783699342882,0
scenario37,60,20,80,0,0,0,0.8,0,100,0,40,0,c1,0.00578,base,right,left,right,0,3.158227324373308,0
scenario38,30,40,40,0,0,0,0.8,0,100,0,40,0,c2,0.00326,right,left,base,left,0,3.3212048399851613,0
scenario39,90,40,40,0,0,0,0.8,0,100,0,40,0,c4,0.00265,right,base,left,base,0,2.760115975445365,0
scenario40,-60,60,40,0,0,0,0.8,0,100,0,40,20,c1,0.0026,left,right,base,right,0,3.214792177154036,0
scenario41,-30,40,100,0,0,0,0.8,0,100,0,40,20,c2,0.00285,base,left,right,left,0,3.935409469172035,0
scenario42,-30,40,60,0,0,0,0.8,0,100,0,40,20,c4,0.00246,left,right,right,base,0,4.371826890210037,0
scenario43,-60,60,80,0,0,0,0.8,0,100,0,40,40,c1,0.00224,left,right,base,left,0,4.728834847263725,0
scenario44,0,60,40,0,0,0,0.8,0,100,0,40,40,c2,0.00242,base,left,right,base,0,1.7887438621164038,0
scenario45,30,40,100,0,0,0,0.8,0,100,0,40,40,c4,0.002,left,base,right,base,0,2.709653141860881,0
scenario46,30,20,60,0,0,0,0.8,0,100,0,40,60,c1,0.00704,base,left,left,right,0,2.353359669374972,0
scenario47,0,40,80,0,0,0,0.8,0,100,0,40,60,c2,0.00261,right,base,base,left,0,3.504913856493696,0
scenario48,60,60,80,0,0,0,0.8,0,100,0,40,60,c4,0.00218,right,base,left,right,0,0.9730282075853024,0
scenario49,90,40,80,0,0,0,0.8,0,100,0,40,80,c1,0.00203,base,right,left,right,0,1.9537299837698845,0
scenario50,30,60,60,0,0,0,0.8,0,100,0,40,80,c2,0.00201,right,left,base,left,0,2.236695464986848,0
scenario51,-90,20,20,0,0,0,0.8,0,100,0,40,80,c4,0.01057,right,base,left,base,0,2.8691592932773813,0
scenario52,-30,20,40,0,0,0,0.8,0,100,0,40,100,c1,0.00741,left,right,base,right,0,3.179700388838892,0
scenario53,-60,20,20,0,0,0,0.8,0,100,0,40,100,c2,0.00787,base,left,right,left,0,5.114999591773586,0
scenario54,60,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.00684,left,right,right,base,0,3.830664636984272,0
scenario55,-90,40,40,0,0,0,0.8,0,100,0,60,0,c1,0.00563,left,right,base,left,0,4.273343878534635,0
scenario56,-90,40,80,0,0,0,0.8,0,100,0,60,0,c2,0.00568,base,left,right,base,0,1.8100805333448688,0
scenario57,0,20,20,0,0,0,0.8,0,100,0,60,0,c4,0.00526,left,base,right,base,0,1.99758280878979,0
scenario58,60,40,40,0,0,0,0.8,0,100,0,60,20,c1,0.00295,base,left,left,right,0,2.695893475015082,0
scenario59,-30,40,20,0,0,0,0.8,0,100,0,60,20,c2,0.00231,right,base,base,left,0,2.1872058699031904,0
scenario60,-90,20,60,0,0,0,0.8,0,100,0,60,20,c4,0.01474,right,base,left,right,0,0.9578385913538284,0
scenario61,-90,20,100,0,0,0,0.8,0,100,0,60,40,c1,0.0129,base,right,left,right,0,3.0881498935581897,0
scenario62,30,20,40,0,0,0,0.8,0,100,0,60,40,c2,0.00825,right,left,base,left,0,2.982502358436418,0
scenario63,0,20,60,0,0,0,0.8,0,100,0,60,40,c4,0.00787,right,base,left,base,0,7.220353309418543,0
scenario64,0,20,80,0,0,0,0.8,0,100,0,60,60,c1,0.00833,left,right,base,right,0,3.358136733309736,0
scenario65,90,20,40,0,0,0,0.8,0,100,0,60,60,c2,0.00691,base,left,right,left,0,1.5536583087976847,0
scenario66,-30,20,100,0,0,0,0.8,0,100,0,60,60,c4,0.0069,left,right,right,base,0,4.15154956451438,0
scenario67,60,20,60,0,0,0,0.8,0,100,0,60,80,c1,0.00697,left,right,base,left,0,3.590808143158446,0
scenario68,-30,20,60,0,0,0,0.8,0,100,0,60,80,c2,0.00674,base,left,right,base,0,1.8011026074288858,0
scenario69,-60,20,100,0,0,0,0.8,0,100,0,60,80,c4,0.00664,left,base,right,base,0,1.915320150868716,0
scenario70,60,20,100,0,0,0,0.8,0,100,0,60,100,c1,0.00591,base,left,left,right,0,1.804572996905974,0
scenario71,90,20,80,0,0,0,0.8,0,100,0,60,100,c2,0.00611,right,base,base,left,0,2.6548670620666823,0
scenario72,30,20,100,0,0,0,0.8,0,100,0,60,100,c4,0.00574,right,base,left,right,0,0.9281611049479414,0
scenario73,-60,20,60,0,0,0,0.8,0,100,0,80,0,c1,0.00587,base,right,left,right,0,3.4095913930863544,0
scenario74,-90,40,60,0,0,0,0.8,0,100,0,80,0,c2,0.00583,right,left,base,left,0,3.4567358762059066,0
