Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario61,c2,left,20,0.1,60,base_left_lane,80,20,80,left,80,100,-30,right,0,3.777482064871361,0
scenario62,c1,left,20,0.6,60,left,80,60,100,right,40,80,-60,base,0,3.239844762171582,0
scenario63,c1,right,60,0.8,100,base_left_lane,80,100,0,left,20,0,60,left,0,1.054541071625253,0
scenario64,c1,right,60,0.6,60,base,100,60,60,right,80,100,60,left,0,3.2606597256796683,0
scenario65,c1,right,40,0.8,100,left,20,20,60,right,60,40,60,base,0,4.226890490545826,0
scenario66,c2,left,80,0.8,100,base_left_lane,60,80,40,left,80,0,-60,right,0,4.402297750318544,0
scenario67,c4,base,80,1.0,100,left,80,100,0,right,40,100,30,right,0,0.920156630877474,0
scenario68,c1,right,60,0.1,0,left,100,0,40,right,60,60,-90,base,0,2.227123029020423,0
scenario69,c2,base,80,0.4,60,base_left_lane,0,60,0,left,0,100,30,right,0,3.3520706934433364,0
scenario70,c1,right,0,0.6,80,left,0,0,80,right,40,0,-90,base,0,1.7109187633482112,0
scenario71,c2,base,40,0.6,20,base_left_lane,0,20,40,left,100,60,-30,right,0,3.494805954932793,0
scenario72,c1,right,60,0.6,100,left,40,80,100,right,80,20,60,base,0,3.392583011995977,0
scenario73,c2,left,60,0.8,0,base_left_lane,0,80,40,left,40,60,30,right,0,3.655911610037247,0
scenario74,c1,right,40,1.0,100,left,100,0,40,right,100,40,0,base,0,3.293402750776992,0
scenario75,c2,base,100,0.4,40,base_left_lane,0,0,40,left,80,100,-90,right,0,2.6058519602794337,0
scenario76,c4,base,40,0.1,40,right,40,40,80,base,20,40,90,left,1,0.0,1
scenario77,c1,left,100,1.0,20,left,20,40,40,right,80,40,90,base,0,3.1529721530031845,0
scenario78,c2,left,100,0.4,60,base_left_lane,40,80,20,left,40,20,90,right,0,6.448216147311827,0
scenario79,c2,left,20,0.4,0,base_left_lane,40,80,0,left,60,80,90,right,0,2.513670792012789,0
scenario80,c1,right,0,0.6,40,left,100,40,80,right,40,80,90,base,0,2.266729362744416,0
scenario81,c4,base,60,0.6,80,right,100,60,60,base,40,60,-30,left,0,2.6614848718305524,0
scenario82,c1,right,80,1.0,100,left,80,0,80,right,60,20,0,base,0,4.983455210814807,0
scenario83,c4,base,0,0.1,40,right,20,80,80,base,40,0,90,left,0,1.869156986620505,0
scenario84,c4,base,0,0.4,0,right,0,60,100,base,80,20,0,left,0,2.1559647727307496,0
scenario85,c2,left,0,0.8,40,right,60,80,0,left,80,20,30,base,0,2.1558482945711965,0
scenario86,c2,base,0,0.6,40,base_left_lane,80,20,20,left,0,20,-60,right,0,3.1581110245348603,0
scenario87,c4,base,80,0.4,60,right,40,40,80,base,20,0,30,left,0,1.84328596954515,0
scenario88,c4,base,0,0.8,0,left,0,20,60,right,0,100,-90,right,1,0.0,1
scenario89,c4,right,60,0.4,80,right,40,40,60,base,0,40,60,left,0,3.9984830123844186,0
scenario90,c4,right,0,0.2,60,right,80,0,100,base,20,0,60,left,0,4.442829412259673,0
scenario91,c4,base,60,0.4,80,left,80,80,0,base,100,60,60,right,0,2.850190704723373,0
scenario92,c1,right,0,0.8,80,base_left_lane,60,100,20,left,60,40,-60,left,0,1.0472813494589788,0
scenario93,c2,base,40,0.1,0,base_left_lane,40,20,40,left,0,60,30,right,0,2.487491718605791,0
scenario94,c1,right,100,0.1,20,left,0,20,60,right,40,0,0,base,0,0.2803521681057175,1
scenario95,c4,right,80,0.2,20,right,80,0,40,base,20,0,-30,left,0,4.554431696048924,0
scenario96,c2,base,40,0.4,40,base_left_lane,40,20,100,left,20,0,60,right,0,3.435707579154374,0
scenario97,c2,base,40,0.8,40,base_left_lane,60,20,80,left,20,0,-90,right,0,3.0962864640388057,0
scenario98,c4,base,40,0.4,20,right,80,60,60,base,60,20,0,left,0,2.476218526963185,0
scenario99,c4,base,40,0.4,100,right,100,0,80,base,60,60,30,left,0,2.562232965336025,0
scenario100,c2,base,100,0.6,40,base_left_lane,20,0,60,left,60,20,60,right,0,2.395358829394988,0
scenario101,c2,left,100,0.1,80,right,0,40,40,base,0,80,-60,base,0,1.9703482095989309,0
scenario102,c1,right,100,0.1,100,left,40,0,40,right,0,100,-90,base,0,2.032531195191542,0
scenario103,c4,right,60,0.8,100,right,100,40,80,base,20,0,90,left,0,4.004120470669663,0
scenario104,c2,left,80,0.1,80,right,60,20,40,base,40,0,-60,base,0,1.791922303373537,0
scenario105,c4,base,60,0.1,20,right,0,40,60,base,80,0,-60,left,0,2.616481894158602,0
scenario106,c4,base,80,0.4,60,right,20,80,80,base,100,80,-90,left,0,2.167566392248081,0
scenario107,c1,left,100,0.6,20,left,60,80,60,right,40,20,-60,base,0,2.717182701607893,0
scenario108,c1,right,100,0.1,60,left,20,60,20,right,60,20,0,base,0,3.002365846444885,0
scenario109,c2,left,20,0.4,20,base_left_lane,20,20,40,left,80,40,0,right,0,2.231285295381927,0
scenario110,c1,right,100,0.6,100,base,100,80,100,right,60,0,90,left,0,3.307423978269708,0
scenario111,c4,base,60,0.2,40,left,100,40,100,base,40,60,90,right,0,2.823431007920076,0
scenario112,c1,left,100,0.2,0,left,40,60,20,right,0,60,60,base,0,2.021259794933541,0
scenario113,c4,base,80,0.1,60,right,60,100,100,base,100,60,0,left,0,2.6185034124779154,0
scenario114,c4,right,0,0.2,20,right,40,0,60,base,80,80,0,left,0,3.937048324494888,0
scenario115,c1,left,0,0.8,80,left,0,80,100,right,60,0,-90,base,0,3.104583420823472,0
scenario116,c2,left,0,0.6,0,right,80,40,40,base,0,0,-30,base,0,1.6631633618378856,0
scenario117,c1,right,0,0.6,80,left,60,20,0,right,60,40,-90,base,0,3.246620181204192,0
scenario118,c1,left,100,0.2,60,left,20,0,60,right,100,0,-30,base,0,3.361153917152494,0
scenario119,c4,base,60,1.0,40,right,40,100,40,base,20,80,90,left,0,4.028550056085543,0
scenario120,c4,base,80,0.8,100,right,0,100,60,base,40,80,-90,left,0,2.783133741069796,0
scenario121,c4,base,20,0.1,100,left,40,60,20,base,40,0,90,right,0,2.800460592455744,0
scenario122,c2,base,80,0.4,20,base_left_lane,80,80,60,left,60,40,0,right,0,3.4857723124187348,0
scenario123,c2,base,20,0.2,20,base_left_lane,80,60,80,left,0,40,60,right,0,3.091904338603468,0
scenario124,c4,base,20,0.4,40,right,100,0,100,base,60,40,-30,left,0,2.3942521959968746,0
scenario125,c4,base,0,0.8,80,right,40,80,20,base,0,60,-60,left,0,4.1017234235784485,0
scenario126,c2,left,100,1.0,80,right,60,20,20,left,100,100,60,base,0,3.261029868696245,0
scenario127,c4,base,100,0.6,100,left,20,40,80,base,40,80,-30,right,0,2.710105591522025,0
scenario128,c1,left,40,0.1,100,left,100,80,100,right,40,100,90,base,0,2.1249613743092244,0
scenario129,c4,base,60,0.8,60,right,40,20,20,base,0,80,90,left,0,2.2933022445373936,0
scenario130,c2,base,40,0.8,20,base_left_lane,60,100,60,left,20,0,-60,right,0,3.657588135272471,0
scenario131,c4,base,20,0.4,20,right,0,20,20,base,0,20,90,left,0,2.669720678116183,0
scenario132,c2,left,60,0.2,40,right,20,20,0,base,100,60,-30,base,0,1.6949600959864284,0
scenario133,c1,right,80,0.4,40,left,0,80,100,right,80,0,60,base,0,3.779600171415587,0
scenario134,c4,base,60,0.1,20,left,20,100,100,right,40,0,0,right,1,0.0,1
scenario135,c2,left,60,0.2,60,base_left_lane,40,80,0,left,60,0,30,right,0,2.964441227687108,0
scenario136,c4,base,40,0.1,80,left,60,0,40,right,20,40,30,right,0,0.930779671542956,0
scenario137,c2,left,40,0.4,40,base_left_lane,20,60,80,left,0,20,30,right,0,3.5965945282142657,0
scenario138,c1,right,40,1.0,100,left,40,40,0,right,100,20,-60,base,0,2.3556039514462896,0
scenario139,c4,base,0,1.0,60,left,0,20,80,base,100,0,30,right,0,2.389796797811032,0
scenario140,c2,left,0,0.2,60,base_left_lane,20,100,0,left,60,40,60,right,0,5.031230811780967,0
scenario141,c1,right,20,0.4,20,base_left_lane,0,100,40,left,60,0,0,left,0,1.0280381895943564,0
scenario142,c1,right,40,0.2,40,base_left_lane,100,60,40,left,100,60,0,left,0,1.146564563927783,0
scenario143,c2,left,60,0.1,80,right,0,40,80,base,20,80,-30,base,0,1.9228649085744904,0
scenario144,c1,left,40,0.4,40,left,100,80,60,right,100,100,90,base,0,2.7772965742825377,0
scenario145,c4,base,40,1.0,60,left,40,60,40,base,80,40,60,right,0,1.7721510187820586,0
scenario146,c2,left,60,0.4,100,base_left_lane,100,100,20,left,40,60,-30,right,0,3.632375412460796,0
scenario147,c2,base,40,1.0,40,base_left_lane,20,80,60,left,20,100,90,right,0,2.744458679061613,0
scenario148,c2,left,100,0.4,80,base_left_lane,80,80,40,left,80,80,0,right,0,4.923171602224864,0
scenario149,c2,left,60,0.2,20,base_left_lane,80,20,100,left,20,20,30,right,0,4.136437012737075,0
scenario150,c2,left,0,0.2,40,base_left_lane,20,60,0,left,20,20,-60,right,0,5.256532120586336,0
scenario151,c2,base,60,0.2,0,base_left_lane,40,60,80,left,60,80,60,right,0,5.378493188664185,0
scenario152,c2,base,60,0.1,100,base_left_lane,40,40,0,left,60,80,90,right,0,3.386235229175268,0
scenario153,c4,base,40,0.6,40,left,80,40,40,right,80,20,30,right,0,1.0788239652413196,0
scenario154,c2,left,80,0.4,20,base_left_lane,60,20,20,left,80,80,0,right,0,2.337102895196591,0
scenario155,c1,right,80,0.8,20,left,40,60,80,right,0,40,30,base,0,2.0651845144405176,0
scenario156,c4,base,40,0.8,60,left,60,60,100,base,20,60,0,right,0,2.8740695649598,0
scenario157,c4,base,40,0.6,20,left,60,80,0,right,0,100,-90,right,0,0.9406220132193606,0
scenario158,c1,right,100,0.1,80,base_left_lane,20,40,60,left,60,80,90,left,0,0.9899810205812264,0
scenario159,c2,base,60,0.2,60,base_left_lane,40,40,40,left,0,100,90,right,0,2.957214037473643,0
scenario160,c2,left,100,1.0,20,base_left_lane,20,0,60,left,80,80,-30,right,0,2.855791883977441,0
scenario161,c2,left,80,0.1,40,base_left_lane,20,100,40,left,40,80,0,right,0,3.7506182809974575,0
scenario162,c4,base,40,0.2,20,right,100,0,100,base,80,60,-30,left,0,2.2934649002193703,0
scenario163,c4,base,20,0.8,0,left,0,100,20,base,80,100,90,right,0,2.548946832487321,0
scenario164,c2,base,20,0.8,0,base_left_lane,40,80,60,left,60,20,60,right,0,2.724034139187164,0
scenario165,c1,right,80,0.8,60,left,0,60,60,right,20,60,60,base,0,0.7119087797313146,0
scenario166,c2,left,0,0.6,100,base_left_lane,60,40,100,left,100,40,-60,right,0,3.9323143775347833,0
scenario167,c1,right,0,0.8,40,left,80,0,80,right,0,20,-30,base,0,2.44960450204896,0
scenario168,c1,right,60,1.0,40,left,60,80,60,right,40,80,30,base,0,2.429380532181591,0
scenario169,c4,right,60,1.0,60,right,60,20,100,base,100,40,-30,left,0,3.944908872316157,0
scenario170,c1,left,60,0.8,40,left,60,40,20,right,100,80,60,base,0,3.425053333667274,0
scenario171,c4,base,0,0.8,40,right,80,0,100,base,80,40,60,left,0,2.30926539994472,0
scenario172,c2,left,60,0.4,20,base_left_lane,60,80,0,left,0,60,30,right,0,6.6672470981797565,0
scenario173,c4,right,40,0.6,100,right,60,0,20,base,80,40,-90,left,0,4.014784025705574,0
scenario174,c1,right,40,0.4,100,base_left_lane,100,60,20,left,40,40,0,left,0,0.947343124537664,0
scenario175,c2,left,80,0.8,20,right,0,80,20,base,60,20,-90,base,0,1.7440416045229998,0
